比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年福建省板桥津点杯象棋锦标赛男子组	7	20131202	厦门集美区	邹进忠	先胜	陈礼建	福州罗源县	79	飞相进左马对进７卒	中国第一棋迷	打虎将	399	"1. 相七进五 *
 炮２平６
3. 兵七进一
 马２进３
5. 炮八平六
 车１平２
7. 马八进七
 卒７进１
9. 炮二进四
 马８进７
11. 马二进三
 马７进６
13. 炮二平七
 炮８进４
15. 车九平八
 象３进５
17. 车八进九
 马３退２
19. 车一进一
 马６进５
21. 车一平八
 马２进４
23. 炮七进三
 士４进５
25. 炮七退一
 马４进３
27. 车八进八
 士５退４
29. 马七进六
 马５退４
31. 兵七进一
 马３退１
33. 炮七平九
 车９进１
35. 兵七平六
 车９平１
37. 车八退三
 车１平３
39. 车八平五
 卒１进１
41. 兵九进一
 炮８进２
43. 仕四进五
 士４进５
45. 兵九进一
 马１进３
47. 兵六平七
 马３进１
49. 兵七平八
 马１退２
51. 兵八进一
 马２退３
53. 车五平二
 炮８平７
55. 马三进五
 车３进５
57. 马五进四
 炮７平９
59. 马四进六
 炮６退１
61. 后马进四
 炮６平７
63. 相五进七
 马３进４
65. 兵八平七
 马４退２
67. 车二进二
 炮９进１
69. 仕五退四
 车３平４
71. 仕六进五
 炮７进２
73. 马六进七
 车４退５
75. 马四进六
 马２进３
77. 炮六进六
 马３退４
79. 马六进八"
2	2013年福建省板桥津点杯象棋锦标赛男子组	4	20131201	三明永安市	赖前涌	先胜	李勇武	三明三元区	45	...	中国第一棋迷	...	62	"1. 相七进五 *
 炮２平６
3. 兵七进一
 卒７进１
5. 炮二平三
 马８进９
7. 马八进七
 马２进３
9. 车九平八
 车９平８
11. 马二进一
 象３进５
13. 兵一进一
 炮８进２
15. 车一平二
 卒３进１
17. 兵七进一
 炮８平３
19. 车二进九
 马９退８
21. 炮八平九
 卒９进１
23. 兵一进一
 炮３平９
25. 炮九退一
 马８进９
27. 车八进四
 炮９平８
29. 兵三进一
 卒７进１
31. 车八平三
 车１平２
33. 车三进三
 士６进５
35. 炮三进七
 象５退７
37. 车三进二
 炮６退２
39. 炮九平一
 车２进６
41. 炮一进六
 车２平３
43. 马一进三
 炮８平２
45. 马七退八"
3	2013年福建省板桥津点杯象棋锦标赛男子组	9	20131203	南平延平区	练荣和	先胜	王晓华	宁德霞浦县	81	...	中国第一棋迷	...	64	"1. 相七进五 *
 炮２平６
3. 马八进七
 马２进３
5. 兵七进一
 车１平２
7. 车九平八
 车２进４
9. 炮八平九
 车２平６
11. 马二进三
 马８进７
13. 仕六进五
 象７进５
15. 兵三进一
 卒７进１
17. 马七进六
 车６平４
19. 车八平六
 卒７进１
21. 相五进三
 马７进６
23. 马六进四
 车４平６
25. 前相退五
 炮８进４
27. 兵九进一
 车９平７
29. 车六进四
 车７进６
31. 炮二平一
 炮６平７
33. 车一平二
 炮８退２
35. 炮一进四
 炮７进５
37. 炮一退一
 炮８退４
39. 炮一进四
 炮８平７
41. 炮九平三
 车７进１
43. 车六进三
 车６平９
45. 炮一平二
 车７退６
47. 车六平七
 车９进２
49. 兵五进一
 车９退１
51. 车七退一
 车９平５
53. 车七平九
 车５进１
55. 车二进四
 卒５进１
57. 兵九进一
 卒５进１
59. 车九平四
 士４进５
61. 兵九进一
 车５平９
63. 兵九平八
 卒５平４
65. 兵八进一
 卒４平３
67. 相五进七
 车９退５
69. 车四平二
 车７进８
71. 兵八平七
 车９平７
73. 兵七进一
 前车退４
75. 兵七平六
 前车平８
77. 车二退二
 士５进６
79. 车二平六
 车７平８
81. 帅五平六"
4	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	6	20140521	浙江	徐崇峰	先胜	赵殿宇	河北金环建设集团	157	飞相互进七兵局	中国象棋协会	...	4034	"1. 相三进五 *
 卒７进１
3. 兵七进一
 马８进７
5. 马八进七
 马２进１
7. 车九进一
 象７进５
9. 车九平四
 车１进１
11. 兵九进一
 车９进１
13. 仕四进五
 车１平６
15. 炮二平三
 炮８进３
17. 炮八进二
 炮８平２
19. 马七进八
 炮２平４
21. 车四进七
 车９平６
23. 马二进一
 车６进５
25. 马八退七
 马１退３
27. 车一平四
 车６进３
29. 帅五平四
 马３进２
31. 马七进六
 马２进１
33. 马六进七
 马７进６
35. 兵一进一
 马６进５
37. 炮三退一
 马１进３
39. 马一进二
 士６进５
41. 炮三平一
 马５退４
43. 炮一进五
 马４进６
45. 兵三进一
 卒７进１
47. 相五进三
 马３进４
49. 兵一进一
 马４退２
51. 相三退五
 马２退４
53. 炮一平四
 象５退７
55. 帅四平五
 马４进３
57. 帅五平四
 炮４平６
59. 仕五进四
 马３退４
61. 仕六进五
 马６退４
63. 炮四退三
 卒５进１
65. 兵七进一
 后马进３
67. 帅四平五
 马４进３
69. 帅五平四
 前马退４
71. 帅四平五
 马３退１
73. 兵七平六
 卒５进１
75. 炮四进三
 马４进３
77. 帅五平四
 马１进３
79. 兵六平五
 前马退４
81. 马二进四
 炮６进２
83. 兵五平四
 马３退４
85. 炮四平六
 后马进２
87. 马七进六
 象７进５
89. 马六退八
 卒５进１
91. 兵一平二
 马２退４
93. 兵二进一
 后马进６
95. 兵二平三
 马４进３
97. 兵三进一
 将５平６
99. 兵三进一
 马６退４
101. 炮六进二
 马４退３
103. 兵三平四
 将６平５
105. 马八进七
 前马退４
107. 马七退八
 马４退３
109. 马八进九
 后马退２
111. 炮六退二
 象５退３
113. 后兵平五
 卒５平６
115. 兵五平六
 马３退４
117. 炮六平五
 士５进６
119. 兵四平三
 将５平６
121. 马九退八
 士６退５
123. 兵六进一
 马４进６
125. 兵三平二
 卒１进１
127. 炮五退一
 马６进７
129. 炮五平七
 马７退５
131. 马八进七
 马２进３
133. 马七退八
 马５退６
135. 兵六平七
 马３退２
137. 兵二平三
 马６进８
139. 兵三平二
 马８退６
141. 兵二平三
 卒１进１
143. 炮七平九
 马２进１
145. 炮九进一
 士５进４
147. 兵七进一
 后士进５
149. 马八退九
 马６进４
151. 炮九退二
 马１进２
153. 兵七进一
 马２进４
155. 相五进七
 后马进２
157. 马九进八"
5	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	6	20140521	内蒙古伊泰	王天一	先胜	许国义	广东碧桂园	73	飞相横车对右士角炮	中国象棋协会	...	5920	"1. 相三进五 *
 炮２平４
3. 车九进一
 马２进３
5. 车九平六
 马８进７
7. 兵三进一
 车１平２
9. 炮二平四
 车９平８
11. 马二进三
 炮８平９
13. 马三进四
 卒３进１
15. 马八进九
 炮４平５
17. 仕四进五
 车８进３
19. 兵九进一
 卒５进１
21. 车六进五
 炮５进４
23. 兵三进一
 马７退５
25. 车六平七
 卒５进１
27. 马四进三
 马３进５
29. 马三进四
 炮９平６
31. 炮四平三
 象７进９
33. 炮八进四
 象３进５
35. 兵三平二
 车８平６
37. 炮三进五
 后马进３
39. 炮三平五
 将５进１
41. 炮五平一
 将５平６
43. 炮一平七
 车２进２
45. 炮七平五
 车６进２
47. 车一平三
 炮６平７
49. 炮八平五
 车２平５
51. 炮五退三
 卒５进１
53. 车三进六
 卒５进１
55. 车七平四
 车６退２
57. 车三平四
 将６平５
59. 相七进五
 将５退１
61. 马九进八
 车５进５
63. 马八进九
 炮７平２
65. 帅五平四
 炮２进７
67. 帅四进一
 炮２退１
69. 仕五退四
 士４进５
71. 马九退七
 车５退３
73. 车四进三"
6	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	8	20140511	南京	言缵昭	先胜	徐向海	常州	139	飞相进三兵对进右马	钱宇新	...	165	"1. 相三进五 *
 马２进３
3. 兵三进一
 卒３进１
5. 马二进三
 马３进４
7. 仕四进五
 炮８平５
9. 马八进七
 马８进７
11. 马三进二
 炮２进３
13. 马二进三
 车９平８
15. 炮二平三
 炮５平３
17. 炮八平九
 车８进７
19. 车一平三
 车１平２
21. 车九平八
 炮３进４
23. 炮九进四
 卒３进１
25. 相五进七
 炮２平７
27. 炮三平四
 车２进９
29. 马七退八
 马４进５
31. 后相进五
 炮７平５
33. 炮九退二
 炮５平１
35. 兵九进一
 车８退１
37. 马三退四
 车８平６
39. 车三进七
 车６退１
41. 马八进九
 炮３平４
43. 车三退一
 车６平５
45. 车三平一
 象３进５
47. 车一退二
 车５退１
49. 马九进八
 炮４平２
51. 相五退七
 车５平８
53. 前相退五
 马５进７
55. 车一平三
 车８进５
57. 炮四退二
 马７进９
59. 马八进七
 士４进５
61. 马七进九
 炮２退４
63. 马九退八
 马９退８
65. 马八进六
 炮２平４
67. 兵九进一
 卒５进１
69. 兵九平八
 车８退１
71. 兵八进一
 车８平６
73. 炮四平二
 车６退２
75. 炮二进二
 马８退６
77. 炮二平四
 马６进４
79. 兵一进一
 车６平９
81. 兵八平七
 卒５进１
83. 马六退五
 炮４进２
85. 马五进六
 士５进４
87. 马六进四
 将５平４
89. 车三平六
 马４进３
91. 帅五平四
 炮４平６
93. 车六平四
 炮６平３
95. 马四退五
 车９进３
97. 帅四进一
 士６进５
99. 兵七进一
 马３进５
101. 相五进七
 车９退１
103. 帅四退一
 车９进１
105. 帅四进一
 车９退１
107. 帅四退一
 车９进１
109. 帅四进一
 马５退７
111. 炮四平六
 炮３平４
113. 兵七平六
 士５进４
115. 车四进五
 将４进１
117. 车四退一
 将４退１
119. 马五进六
 马７退９
121. 马六退八
 炮４平６
123. 马八进六
 炮６平４
125. 马六退五
 炮４平３
127. 车四进一
 将４进１
129. 马五进六
 炮３平４
131. 车四退一
 将４退１
133. 马六退八
 炮４平６
135. 车四进一
 将４进１
137. 马八退六
 将４平５
139. 马六进七"
7	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	7	20140511	安徽	吴健	先胜	蔡红军	盐城	51	飞相对进３卒	钱宇新	...	99	"1. 相三进五 *
 卒３进１
3. 马二进四
 马２进３
5. 马四进六
 炮２进２
7. 兵七进一
 卒３进１
9. 马六进七
 炮２平３
11. 马八进七
 车１平２
13. 后马进六
 马８进９
15. 仕四进五
 车９进１
17. 车一平四
 象３进５
19. 车四进七
 车９平４
21. 马六进四
 车４进３
23. 炮二进三
 士４进５
25. 车四平二
 车４平６
27. 炮二平七
 车６平３
29. 炮八平七
 车３平４
31. 炮七进五
 车４平３
33. 炮七平九
 卒９进１
35. 车二退三
 马９进８
37. 车九进二
 士５进４
39. 车九平八
 车２平１
41. 炮九平八
 车１平２
43. 炮八退一
 马８退９
45. 车二平五
 士６进５
47. 车五进二
 马９进８
49. 车五平三
 马８进６
51. 炮八平五"
8	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	6	20140511	浙江	郭凤达	先胜	宋昊明	浙江	45	飞相对左过宫炮	钱宇新	...	94	"1. 相三进五 *
 炮８平４
3. 炮二平四
 马８进７
5. 马二进三
 车９平８
7. 兵七进一
 卒７进１
9. 马八进七
 马２进３
11. 车一进一
 士４进５
13. 马七进六
 车８进４
15. 马六进七
 炮２进４
17. 兵九进一
 炮２平３
19. 车九进三
 炮３退３
21. 兵七进一
 炮３进６
23. 相五退七
 卒７进１
25. 兵七进一
 卒７进１
27. 兵七进一
 炮４平６
29. 车一平八
 卒７进１
31. 炮八进七
 车１平２
33. 车八进八
 卒７平６
35. 车八平七
 士５退４
37. 车九平六
 士６进５
39. 兵七平六
 炮６进７
41. 仕六进五
 卒６进１
43. 兵六进一
 象７进５
45. 帅五平六"
9	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	6	20140511	贵州	金华	先胜	姜海涛	湖南	89	飞相对右过宫炮	钱宇新	...	95	"1. 相三进五 *
 炮２平６
3. 车九进一
 马２进３
5. 车九平四
 士６进５
7. 马八进九
 象７进５
9. 马二进一
 卒９进１
11. 炮二平三
 马８进９
13. 车一平二
 车９平８
15. 车二进六
 车１平２
17. 车四进四
 卒７进１
19. 兵九进一
 车２进６
21. 炮八平七
 卒３进１
23. 兵三进一
 炮６退２
25. 车四进三
 卒７进１
27. 车四平一
 卒７进１
29. 马一进三
 象５退７
31. 炮七退一
 马３进４
33. 炮七平三
 炮６进６
35. 马三进四
 马４退６
37. 马四退六
 车２进２
39. 仕四进五
 炮６进２
41. 车二平四
 炮８进７
43. 车四退五
 炮８平９
45. 后炮平二
 车８进７
47. 炮三进二
 车２退６
49. 车一进一
 车２平７
51. 马六进五
 车７退１
53. 马五退七
 马９进８
55. 车一平二
 象３进１
57. 炮三平五
 士５进６
59. 马七进六
 将５进１
61. 马六退五
 将５平４
63. 马五进四
 象７进５
65. 车二退三
 士４进５
67. 马九进八
 车７进８
69. 车四退一
 车７退６
71. 车四平一
 车７平８
73. 马四退二
 车８进１
75. 马八进七
 将４退１
77. 马七进八
 将４进１
79. 车一平四
 马８进７
81. 车四进六
 象５进３
83. 马八退七
 将４退１
85. 车四平六
 士５进４
87. 车六进一
 将４平５
89. 马二进三"
10	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	镇江	栾乃武	先胜	侯振荣	无锡	27	飞相进左马对右士角炮	钱宇新	-	66	"1. 相三进五 *
 炮２平４
3. 马八进七
 卒３进１
5. 车九平八
 马２进３
7. 兵三进一
 马８进７
9. 马二进三
 车１平２
11. 马三进四
 车２进６
13. 炮二进一
 象７进５
15. 仕四进五
 士６进５
17. 车一平四
 炮８平９
19. 兵七进一
 车２退２
21. 兵七进一
 车２平３
23. 马七进六
 车９平８
25. 炮二平三
 马３进４
27. 马六退八"
