比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	湖北武汉光谷地产	李智屏	先和	李少庚	四川成都瀛嘉	50	过宫炮对进左马	中国象棋协会	打虎将	341	"1. 炮二平六 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进１
9. 兵九进一
 炮２平３
11. 马七进八
 炮８进３
13. 马八进九
 车１平２
15. 车九平八
 炮３进３
17. 相三进五
 炮３进１
19. 炮八进三
 马７进６
21. 兵九进一
 马６进４
23. 车一平二
 士４进５
25. 兵三进一
 卒７进１
27. 马三进二
 卒７平８
29. 车八进四
 马４进６
31. 车二进一
 车２进２
33. 车八退一
 车２平４
35. 车八平七
 车４进５
37. 兵五进一
 马６退７
39. 车七平五
 象７进５
41. 兵五进一
 卒５进１
43. 炮八平三
 象５进７
45. 车五进二
 象７退５
47. 车二平八
 车８进３
49. 马九进七
 卒３进１"
2	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	浙江	赵鑫鑫	先胜	谢靖	上海金外滩	67	对兵互进右马局	中国象棋协会	...	5086	"1. 兵七进一 *
 卒７进１
3. 马八进七
 马８进７
5. 车九进一
 象７进５
7. 炮二平五
 马２进３
9. 马二进三
 车９平８
11. 车一平二
 车１进１
13. 车九平六
 炮８进４
15. 车六进三
 车１平８
17. 炮五平四
 炮２进４
19. 车六进三
 马３退１
21. 相三进五
 马７进６
23. 兵三进一
 卒７进１
25. 相五进三
 炮２平３
27. 相七进五
 炮８平７
29. 车二进八
 车８进１
31. 兵五进一
 炮３平９
33. 马三进一
 车８进５
35. 车六退二
 马６退７
37. 车六进三
 炮７平９
39. 车六平九
 炮９进３
41. 相五退三
 车８平３
43. 相三退五
 士６进５
45. 车九平六
 马７进６
47. 仕六进五
 马６进７
49. 车六退四
 卒９进１
51. 兵九进一
 炮９退４
53. 兵五进一
 卒５进１
55. 车六平三
 炮９进４
57. 炮四进四
 车３进１
59. 炮四平五
 将５平６
61. 车三平四
 将６平５
63. 车四平二
 将５平６
65. 车二进五
 将６进１
67. 炮八进六"
3	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	北京威凯建设	张强	先负	才溢	广西跨世纪	84	飞相进七兵对进右马	中国象棋协会	...	2722	"1. 相三进五 *
 马２进３
3. 兵七进一
 炮８平５
5. 炮八平七
 象３进１
7. 马二进三
 马８进７
9. 车一平二
 车９平８
11. 炮二进四
 卒７进１
13. 炮七进四
 炮２进６
15. 车九进一
 车１平２
17. 炮七平八
 炮２退１
19. 马八进七
 卒５进１
21. 炮八平七
 士４进５
23. 炮二平三
 象７进９
25. 车二进九
 马７退８
27. 炮三进二
 车２进３
29. 车九平二
 车２平３
31. 车二进八
 车３平４
33. 炮三平一
 将５平４
35. 炮一进一
 将４进１
37. 炮一退一
 将４退１
39. 炮一进一
 将４进１
41. 炮一退一
 将４退１
43. 车二退二
 象９退７
45. 炮一进一
 将４进１
47. 仕四进五
 马３进２
49. 炮一退一
 将４退１
51. 炮一平四
 炮５平６
53. 马三退一
 车４进５
55. 马一进二
 炮２平５
57. 帅五平四
 炮５平７
59. 车二退一
 马２进３
61. 车二平八
 象１退３
63. 帅四平五
 马３进５
65. 仕五进六
 炮７平８
67. 仕六进五
 马５进７
69. 帅五平四
 马７退８
71. 马七进六
 车４平３
73. 相七进五
 车３平１
75. 车八进三
 将４平５
77. 车八平七
 士５退４
79. 车七退四
 士６进５
81. 车七平五
 车１进１
83. 帅四进一
 炮８进１"
4	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	厦门海翼	谢业枧	先和	陆伟韬	河北金环建设集团	51	中炮过河车互进七兵对屏风马平炮兑车	中国象棋协会	...	722	"1. 炮八平五 *
 马２进３
3. 马八进七
 车１平２
5. 车九平八
 马８进７
7. 兵七进一
 卒７进１
9. 马二进一
 卒９进１
11. 炮二平四
 炮２进２
13. 炮四进四
 象３进５
15. 车八进四
 卒９进１
17. 兵一进一
 车９进３
19. 炮四平七
 车９进２
21. 兵七进一
 车９平２
23. 马七进八
 车２进３
25. 炮五平七
 炮８进２
27. 兵七平八
 车２平３
29. 车一平二
 车３进３
31. 炮七进五
 车３退４
33. 相三进五
 炮８平２
35. 车二进六
 炮２退１
37. 车二退二
 车３进４
39. 兵九进一
 炮２进１
41. 车二平五
 马７进６
43. 马八进六
 车３平４
45. 马六进八
 车４退３
47. 车五平四
 车４平２
49. 车四进一
 炮２进５
51. 车四进一"
5	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	山东中国重汽	赵金成	先和	王斌	江苏句容茅山	50	对兵局	中国象棋协会	...	846	"1. 兵七进一 *
 卒７进１
3. 炮八平六
 马８进７
5. 马八进七
 炮８平９
7. 车九平八
 车９平８
9. 相三进五
 炮２平６
11. 车八进八
 士４进５
13. 马七进六
 象３进５
15. 马六进五
 马７进６
17. 炮二平四
 炮９退１
19. 车八退三
 炮６进５
21. 炮六平四
 马６进７
23. 马二进三
 马２进４
25. 马五进三
 车８进２
27. 前马退四
 车８进４
29. 车一平二
 车８进３
31. 马三退二
 马７退６
33. 车八平四
 炮９进５
35. 车四退二
 炮９退１
37. 车四进三
 卒９进１
39. 马二进四
 车１平４
41. 炮四平一
 炮９平８
43. 车四平二
 炮８平６
45. 马四进三
 马４进２
47. 车二平四
 炮６平８
49. 车四平七
 车４进３"
6	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	广西跨世纪	陈富杰	先和	金波	北京威凯建设	50	飞相对左过宫炮	中国象棋协会	...	567	"1. 相三进五 *
 炮８平４
3. 兵七进一
 马８进７
5. 马八进七
 车９平８
7. 马二进四
 马２进１
9. 车九进一
 车８进４
11. 车九平六
 士４进５
13. 车一平二
 卒３进１
15. 马七进八
 炮２进５
17. 炮二平八
 车８进５
19. 马四退二
 卒３进１
21. 相五进七
 象３进５
23. 车六进五
 卒１进１
25. 相七退五
 卒７进１
27. 马二进四
 卒１进１
29. 兵九进一
 马１退３
31. 车六平七
 车１进５
33. 马八进六
 马３进１
35. 车七进一
 炮４进１
37. 炮八平九
 车１退１
39. 马六退七
 炮４退１
41. 马四进六
 马１进２
43. 马七进八
 车１平２
45. 炮九进七
 车２平１
47. 车七进二
 炮４退２
49. 车七平八
 车１平３"
7	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	内蒙古伊泰	蔚强	先和	黄海林	杭州环境集团	56	五七炮互进三兵对屏风马边卒右马外盘河	中国象棋协会	...	594	"1. 炮二平五 *
 马８进７
3. 兵三进一
 车９平８
5. 马二进三
 炮８平９
7. 马八进七
 卒３进１
9. 炮八平九
 马２进３
11. 车九平八
 车１平２
13. 车八进四
 车８进４
15. 车一进二
 炮２平１
17. 车八进五
 马３退２
19. 炮九进四
 马２进３
21. 炮九平三
 象７进５
23. 车一平二
 车８进３
25. 炮五平二
 炮９进４
27. 相七进五
 炮９退１
29. 炮二进二
 马３进４
31. 兵七进一
 卒３进１
33. 炮二平七
 炮９平３
35. 相五进七
 炮１平４
37. 相七退五
 卒９进１
39. 兵九进一
 卒９进１
41. 马七进九
 马７进９
43. 马九进七
 马９进８
45. 炮三进二
 士６进５
47. 兵九进一
 马８进７
49. 炮三退六
 卒９平８
51. 兵九平八
 炮４平３
53. 炮三退一
 卒８平７
55. 相五进三
 象５进３"
8	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	北京威凯建设	王跃飞	先和	张兰天	广西跨世纪	50	起马转仕角炮对进７卒	中国象棋协会	...	659	"1. 马八进七 *
 卒３进１
3. 炮八平九
 马２进３
5. 车九平八
 车１平２
7. 兵三进一
 马８进７
9. 马二进三
 炮８进４
11. 相七进五
 炮８平７
13. 车一平二
 车９平８
15. 车八进四
 炮２平１
17. 车八进五
 马３退２
19. 炮九进四
 马２进３
21. 炮九退一
 车８进６
23. 炮二平一
 车８进３
25. 马三退二
 象７进５
27. 兵七进一
 卒３进１
29. 相五进七
 马３进２
31. 相三进五
 炮７平１
33. 马二进三
 前炮进３
35. 帅五进一
 马２进１
37. 炮九平七
 马１进３
39. 炮七退三
 前炮退４
41. 炮一退一
 卒５进１
43. 帅五退一
 卒５进１
45. 兵五进一
 前炮平５
47. 仕六进五
 炮１退１
49. 马三进四
 炮１平７"
9	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	内蒙古伊泰	洪智	先和	潘振波	杭州环境集团	71	对兵局	中国象棋协会	...	968	"1. 兵七进一 *
 卒７进１
3. 马二进一
 象３进５
5. 炮二平三
 马８进７
7. 车一平二
 车９平８
9. 炮八平五
 炮８进４
11. 马八进七
 士４进５
13. 车九进一
 马２进１
15. 兵一进一
 炮２平３
17. 车九平八
 车１平２
19. 车二进一
 炮３进３
21. 车八进八
 马１退２
23. 车二平八
 马２进３
25. 仕六进五
 卒３进１
27. 车八进六
 马７进６
29. 兵五进一
 炮３进１
31. 马七退八
 马６退４
33. 车八退一
 马４进２
35. 马八进九
 炮３平２
37. 车八平六
 卒３进１
39. 车六平七
 卒３平４
41. 炮三平二
 炮８平９
43. 炮二平四
 炮２平６
45. 兵五进一
 炮６退３
47. 车七退五
 卒５进１
49. 车七进五
 炮６退１
51. 兵九进一
 车８进５
53. 炮五平七
 卒４进１
55. 炮七进五
 炮６平３
57. 车七平八
 马２进４
59. 马九进八
 马４进２
61. 马八退六
 车８平４
63. 车八退三
 车４进１
65. 车八平六
 炮９平４
67. 炮四平九
 炮３平１
69. 炮九进四
 炮１进３
71. 马一进二"
10	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	江苏句容茅山	程鸣	先和	李翰林	山东中国重汽	50	飞相转屏风马对左中炮	中国象棋协会	...	468	"1. 相三进五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 卒７进１
7. 马八进七
 卒３进１
9. 炮八平九
 马２进３
11. 车九平八
 车１平２
13. 车八进四
 炮２平１
15. 车八进五
 马３退２
17. 炮二平一
 马２进３
19. 兵三进一
 卒７进１
21. 相五进三
 车９进２
23. 马三进四
 车９平８
25. 车二进七
 炮５平８
27. 相三退五
 马７进６
29. 兵七进一
 卒３进１
31. 相五进七
 炮８平６
33. 炮一平四
 炮６进３
35. 炮四进三
 马３进４
37. 炮九进四
 马４进５
39. 马七进五
 炮１平５
41. 炮九平一
 炮５进４
43. 帅五进一
 炮６进１
45. 兵九进一
 炮５平９
47. 炮一退一
 炮６平５
49. 兵九进一
 炮５退２"
11	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	江苏句容茅山	孙逸阳	先和	卜凤波	山东中国重汽	47	飞相对进３卒	中国象棋协会	...	537	"1. 相三进五 *
 卒３进１
3. 炮八平七
 马２进１
5. 兵三进一
 车１平２
7. 马二进三
 象７进５
9. 马八进九
 卒１进１
11. 车九平八
 马８进７
13. 车八进六
 士６进５
15. 炮二平一
 车９平８
17. 车一平二
 炮８进１
19. 仕四进五
 卒７进１
21. 车八退二
 炮２平３
23. 车八进五
 马１退２
25. 兵三进一
 象５进７
27. 车二进四
 象７退５
29. 马三进四
 炮３进１
31. 马四进六
 炮８进１
33. 兵七进一
 马２进１
35. 兵七进一
 炮３进４
37. 炮一平七
 炮８平３
39. 车二平三
 马７进６
41. 兵九进一
 卒１进１
43. 车三平九
 车８进５
45. 车九平二
 马６进８
47. 马九进八"
12	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	杭州环境集团	刘子健	先胜	王天一	内蒙古伊泰	77	顺炮直车对横车	中国象棋协会	...	6583	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 车９进１
7. 马八进七
 卒３进１
9. 车二进五
 车９平３
11. 相七进九
 马２进１
13. 兵三进一
 炮２平４
15. 车二平六
 士４进５
17. 炮八退一
 炮４退２
19. 炮八平三
 炮５平４
21. 车六平四
 象３进５
23. 车九平八
 车１平２
25. 车八进九
 马１退２
27. 马三进二
 马２进３
29. 兵三进一
 卒７进１
31. 炮五平三
 马３进４
33. 马二进一
 马７退９
35. 车四进三
 象７进９
37. 车四平一
 后炮进１
39. 车一进一
 车３进２
41. 马一退二
 马４进６
43. 车一平二
 车３平４
45. 仕四进五
 卒５进１
47. 马二退四
 车４进３
49. 车二退五
 卒５进１
51. 前炮平二
 车４平３
53. 相三进五
 卒５进１
55. 炮三进二
 马６进４
57. 炮三平五
 马４进３
59. 帅五平四
 前炮进５
61. 炮二进一
 车３进１
63. 车二平四
 将５平４
65. 炮二进六
 象５退７
67. 车四平八
 后炮进１
69. 车八进五
 将４进１
71. 炮五平六
 后炮平６
73. 马四进六
 士５进４
75. 马六进五
 将４平５
77. 车八平四"
13	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	杭州环境集团	姚洪新	先和	宿少峰	内蒙古伊泰	143	起马转仕角炮对进７卒	中国象棋协会	...	1394	"1. 马八进七 *
 卒３进１
3. 兵三进一
 马２进３
5. 马二进三
 车１进１
7. 车九进一
 车１平７
9. 马三进四
 炮８进３
11. 马四退五
 车７平４
13. 车一进一
 马８进９
15. 车一平六
 车９进１
17. 马七退五
 卒９进１
19. 后马进三
 炮８退３
21. 炮八平七
 象７进５
23. 炮二平一
 马９进８
25. 车六进七
 车９平４
27. 车九平八
 炮２平１
29. 车八进三
 车４进３
31. 兵九进一
 士６进５
33. 仕四进五
 炮１退１
35. 炮一退一
 车４平６
37. 仕五退四
 炮１平３
39. 仕六进五
 车６进２
41. 炮七平六
 炮８平７
43. 车八进四
 炮７退１
45. 炮六进六
 士５退６
47. 车八退一
 炮７进１
49. 炮一进四
 马８进９
51. 炮六退五
 车６退２
53. 炮一进四
 士６进５
55. 马三进一
 车６平４
57. 车八进一
 炮７退１
59. 车八退一
 炮７进１
61. 炮一退二
 车４进２
63. 车八进一
 车４退２
65. 车八平七
 车４平９
67. 炮一平二
 车９进２
69. 车七平六
 卒７进１
71. 相三进一
 卒７进１
73. 相一进三
 车９平８
75. 炮二平一
 炮７平８
77. 仕五退六
 车８平９
79. 炮一平五
 将５平６
81. 炮五平三
 炮８进７
83. 帅五进一
 车９退４
85. 炮三退二
 车９进２
87. 炮三进一
 车９平７
89. 车六平七
 马３进２
91. 炮三平九
 车７进１
93. 兵九进一
 车７平６
95. 马五进三
 马２进３
97. 车七退三
 车６平７
99. 马三退一
 炮８退３
101. 车七平二
 炮８平９
103. 车二进四
 将６进１
105. 车二退六
 车７平９
107. 炮九进二
 士５进６
109. 马一进三
 车９退１
111. 车二进二
 车９平８
113. 马三进二
 炮９退２
115. 马二退四
 炮９平６
117. 兵九进一
 将６退１
119. 兵九平八
 卒５进１
121. 马四退六
 马３退４
123. 兵八平七
 马４进５
125. 马六进五
 士６退５
127. 炮九退四
 炮６退２
129. 马五进三
 炮６平５
131. 炮九平五
 马５退３
133. 炮五平六
 马３退１
135. 兵七平六
 马１进３
137. 兵六平七
 马３退１
139. 兵七平六
 马１进３
141. 兵六平七
 马３退１
143. 兵七平六"
