比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	6	20140521	山东中国重汽	赵金成	先负	郑惟桐	四川成都瀛嘉	66	仕角炮转反宫马对右中炮	中国象棋协会	打虎将	6201	"1. 炮二平四 *
 炮２平５
3. 马八进七
 马２进３
5. 马二进三
 马８进９
7. 车九平八
 车１平２
9. 车一平二
 车９平８
11. 炮八进六
 卒３进１
13. 车二进五
 炮５平６
15. 炮八平一
 车２进９
17. 马七退八
 炮８进１
19. 炮四平七
 象３进５
21. 车二平四
 士４进５
23. 炮一退二
 炮８退２
25. 车四退一
 炮８平６
27. 车四平六
 车８进３
29. 炮一退二
 车８进３
31. 兵三进一
 马９进８
33. 炮一平二
 前炮进４
35. 相七进五
 前炮平７
37. 兵三进一
 卒７进１
39. 兵七进一
 卒３进１
41. 炮二平七
 马３进２
43. 车六平四
 士５进６
45. 车四进三
 炮６平２
47. 马八进六
 马２进１
49. 后炮平八
 马１退３
51. 相五进七
 炮７进３
53. 仕四进五
 炮７平９
55. 相七退五
 马８进７
57. 仕五进六
 车８进１
59. 车四退五
 车８进１
61. 后仕进五
 炮２平８
63. 炮八退二
 炮８进６
65. 车四进一
 车８平６"
2	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	8	20140511	北京	田长兴	先负	姜海涛	湖南	100	仕角炮局	钱宇新	...	179	"1. 炮二平四 *
 炮８平５
3. 马八进七
 马８进７
5. 马二进一
 卒７进１
7. 车一平二
 卒３进１
9. 炮八平九
 炮２平４
11. 车九平八
 马２进３
13. 仕六进五
 马３进４
15. 相三进五
 车１进２
17. 车八进四
 马４进５
19. 马七进五
 炮５进４
21. 兵三进一
 卒７进１
23. 车八平五
 炮４平５
25. 车五平三
 后炮退１
27. 车三平六
 后炮平２
29. 车六平八
 炮２平７
31. 车二进八
 车９进１
33. 车二退五
 炮５退２
35. 车八进二
 象７进５
37. 炮四进五
 车１退１
39. 车八平五
 炮５平７
41. 马一进三
 车１平６
43. 车五平四
 后炮退１
45. 车二进四
 车９平７
47. 马三进五
 马７进８
49. 相五进三
 前炮平５
51. 车二退二
 车７进４
53. 车二平五
 车７平５
55. 车五平三
 车６进１
57. 车四进一
 象５进７
59. 车四平三
 象７退５
61. 车三退一
 车５退２
63. 车三进二
 士４进５
65. 兵一进一
 炮７平９
67. 车三退四
 车５进３
69. 炮九进四
 炮９平８
71. 兵九进一
 车５退１
73. 炮九进三
 士５退４
75. 车三进三
 象５进７
77. 车三平二
 炮８平９
79. 车二平六
 士６进５
81. 车六退一
 炮９进５
83. 车六平一
 炮９平７
85. 帅五平六
 炮７进４
87. 帅六进一
 车５平４
89. 仕五进六
 车４平１
91. 帅六平五
 象７退５
93. 车一平三
 车１进３
95. 帅五进一
 炮７平３
97. 炮九退三
 车１退３
99. 车三平四
 士５退６"
3	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	北京	田长兴	先负	章磊	南京	80	仕角炮对右中炮	钱宇新	-	95	"1. 炮二平四 *
 炮２平５
3. 马八进七
 马２进３
5. 车九平八
 车１平２
7. 马二进三
 马８进９
9. 车一平二
 车９平８
11. 炮八进六
 炮８进４
13. 炮四进五
 炮５退１
15. 兵七进一
 卒５进１
17. 兵三进一
 卒５进１
19. 仕四进五
 马３进５
21. 炮八退一
 炮５进１
23. 炮四平二
 炮８平７
25. 车二进三
 马５进４
27. 炮八退二
 卒３进１
29. 马七进六
 卒５平４
31. 兵七进一
 车２进３
33. 相三进五
 炮７平１
35. 车二退三
 炮１退２
37. 炮八退一
 炮５平２
39. 兵七进一
 车２进１
41. 马三进四
 炮２进３
43. 马四进三
 卒９进１
45. 兵七进一
 象３进５
47. 车八进三
 士６进５
49. 马三进一
 象７进９
51. 车二进六
 炮１进５
53. 兵三进一
 卒１进１
55. 兵三进一
 卒１进１
57. 兵三进一
 象５退３
59. 兵七进一
 车２平７
61. 兵三平四
 车８平６
63. 车八退三
 炮１退３
65. 兵四进一
 车６进１
67. 炮二平七
 象３进１
69. 兵七平八
 士５进４
71. 炮七进二
 后士进５
73. 炮七平九
 车６进７
75. 车二退六
 车７平２
77. 兵八进一
 士５退４
79. 炮九退五
 炮２进１"
4	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	4	20140512	湖北武汉光谷地产	李智屏	先负	张申宏	北京威凯建设	74	仕角炮局	中国象棋协会	打虎将	2093	"1. 炮二平四 *
 马８进７
3. 兵三进一
 车９平８
5. 马二进三
 炮８平９
7. 马八进七
 卒３进１
9. 炮八进四
 马２进３
11. 炮八平七
 车１平２
13. 车九平八
 炮２进２
15. 车八进四
 卒７进１
17. 相三进五
 象３进５
19. 兵三进一
 炮２平７
21. 车八平二
 车８进５
23. 马三进二
 车２进１
25. 车一平三
 车２平８
27. 马二进三
 炮９进４
29. 仕六进五
 炮９进１
31. 兵五进一
 士４进５
33. 炮四进四
 炮７平４
35. 马七进五
 炮４退３
37. 马三退四
 车８进４
39. 马五进三
 马７进６
41. 车三平一
 炮９退３
43. 马四退三
 马６进７
45. 兵五进一
 炮４平１
47. 炮四平三
 车８进１
49. 车一进三
 车８平９
51. 后马进一
 马７退５
53. 炮三进一
 象５进７
55. 兵五进一
 马３进５
57. 炮三平二
 后马进４
59. 炮二退三
 炮９进１
61. 炮二平五
 炮９平５
63. 炮七平六
 炮１进５
65. 帅五平六
 炮５退３
67. 兵七进一
 炮１进３
69. 相七进九
 马４进５
71. 兵七进一
 马５退３
73. 炮六平五
 马３进１"
5	2014年重庆忠县首届“体彩杯”象棋公开赛	7	20140501	重庆35	张福生	先负	郑惟桐	四川12	72	仕角炮对进左马	组委会	...	139	"1. 炮八平六 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 马八进七
 马２进１
9. 车九平八
 车１平２
11. 兵七进一
 车８进４
13. 相三进五
 卒１进１
15. 车八进六
 炮５平４
17. 炮二平一
 车８平５
19. 车二进四
 士４进５
21. 仕四进五
 炮２平３
23. 车八进三
 马１退２
25. 马七进六
 炮４进５
27. 仕五进六
 马２进１
29. 炮一退一
 炮３平４
31. 车二平四
 炮４进５
33. 相五退三
 象３进５
35. 车四进一
 卒７进１
37. 车四平五
 卒５进１
39. 炮一平九
 炮４退１
41. 兵九进一
 马１进２
43. 兵七进一
 马２进３
45. 炮九进四
 卒３进１
47. 炮九平五
 马３退１
49. 相三进五
 炮４平７
51. 兵一进一
 马１进２
53. 兵一进一
 马２退４
55. 相七进九
 卒９进１
57. 炮五平一
 马４进３
59. 帅五平四
 马３退１
61. 兵五进一
 马１进３
63. 兵五进一
 马３退４
65. 马三进五
 卒３进１
67. 马六进四
 马７进６
69. 兵五平四
 炮７平６
71. 兵四平三
 卒３平４"
6	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	9	20140503	南通	黄银松	先负	鲁天	徐州	72	仕角炮局	钱宇新	...	248	"1. 炮二平四 *
 卒７进１
3. 炮八平五
 马８进７
5. 马八进七
 马２进３
7. 车九平八
 车１平２
9. 马二进三
 马７进８
11. 车八进四
 马８进７
13. 炮四进四
 炮８平７
15. 炮四平三
 象７进５
17. 车一平二
 士６进５
19. 炮三退三
 炮７进４
21. 兵七进一
 炮２进２
23. 兵五进一
 车９平６
25. 车八退一
 炮７退１
27. 相三进一
 炮７平６
29. 兵七进一
 卒３进１
31. 炮五平四
 炮６平７
33. 仕六进五
 卒３进１
35. 相一进三
 卒７进１
37. 车二进三
 马３进４
39. 车八平六
 马４进３
41. 车六进五
 炮２进２
43. 车二进四
 车２进２
45. 炮四平六
 车２平４
47. 车六平七
 马３退５
49. 炮六平五
 卒３进１
51. 马七进五
 马５退７
53. 车二退一
 卒７进１
55. 车七退五
 炮２进３
57. 相七进九
 卒７进１
59. 马五退三
 马７进６
61. 车二退五
 卒５进１
63. 马三进五
 车６进３
65. 车二平四
 炮２平１
67. 车四进一
 车６平２
69. 炮五平八
 卒５进１
71. 马五退四
 马６退７"
7	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	5	20140502	台湾	洪文贤	先负	黄银松	南通	50	...	钱宇新	...	77	"1. 炮二平四 *
 马８进９
3. 兵三进一
 车９平８
5. 马二进三
 炮２平５
7. 马八进七
 马２进３
9. 车九平八
 车１平２
11. 炮八进四
 卒３进１
13. 车一平二
 炮８进４
15. 相七进五
 马３进４
17. 炮八退三
 马４进５
19. 炮八平五
 车２进９
21. 马七退八
 炮５进４
23. 仕六进五
 炮８平７
25. 马八进七
 车８进９
27. 马三退二
 炮５平９
29. 兵七进一
 卒３进１
31. 相五进七
 卒５进１
33. 马二进一
 炮７平８
35. 马七进八
 卒５进１
37. 马八进九
 象７进５
39. 炮四进三
 士６进５
41. 兵九进一
 卒９进１
43. 马一退三
 炮８平５
45. 马三进五
 卒９进１
47. 帅五平六
 卒９平８
49. 马九进七
 卒８平７"
8	2014年广东东莞凤岗镇象棋赛公开赛第一季度	6	20140329	香港多多队	邓伟达	先负	郑志炜	潮汕陈国伟象棋队	64	...	华南虎	...	768	"1. 炮二平四 *
 卒７进１
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 车二进四
 炮２平５
9. 马八进七
 马２进３
11. 车九平八
 炮８平９
13. 车二进五
 马７退８
15. 炮八平九
 炮９平７
17. 车八进四
 炮７进４
19. 相三进五
 卒３进１
21. 兵七进一
 卒３进１
23. 车八平七
 马３进４
25. 车七平六
 马４退３
27. 炮四进五
 马３退５
29. 车六进一
 象７进９
31. 炮四退六
 马５退７
33. 马七进六
 马８进７
35. 炮四平七
 士４进５
37. 车六平七
 象３进１
39. 车七进二
 车１平４
41. 车七平五
 车４进５
43. 车五平九
 车４退５
45. 炮七平二
 后马进６
47. 炮九退一
 马７进６
49. 车九平七
 前马进４
51. 车七退三
 马６进５
53. 车七进三
 象９退７
55. 兵五进一
 马５退３
57. 炮二进八
 炮７平３
59. 车七平三
 马４进３
61. 炮九退一
 车４进８
63. 相七进九
 车４进１"
9	2014年广西北流新圩第7届大地杯象棋公开赛	5	20140209	广西	邓如军	先负	姚洪新	河南省	140	...	组委会	...	382	"1. 炮二平四 *
 卒７进１
3. 兵七进一
 炮２平３
5. 炮八平五
 马８进７
7. 马八进七
 象７进５
9. 车九平八
 马２进１
11. 马二进一
 车９平８
13. 车一平二
 车１进１
15. 车二进六
 车１平６
17. 仕六进五
 车６进４
19. 相七进九
 士６进５
21. 车八平六
 炮８平９
23. 车二进三
 马７退８
25. 炮五进四
 卒３进１
27. 相三进五
 卒３进１
29. 相九进七
 卒９进１
31. 炮五退二
 马８进７
33. 车六进六
 卒１进１
35. 帅五平六
 炮９退２
37. 马一退三
 马１进２
39. 车六退一
 马２进３
41. 车六退二
 马７进８
43. 相七退九
 马３退２
45. 车六进二
 马２进３
47. 车六退二
 炮３进５
49. 炮四平七
 马３退２
51. 车六进二
 马２进１
53. 炮七退一
 马８进７
55. 车六平三
 车６平５
57. 车三退二
 车５平４
59. 帅六平五
 卒１进１
61. 炮七退一
 炮９进３
63. 炮七进六
 炮９平４
65. 车三平二
 马１进３
67. 相五进七
 马３退２
69. 炮七进二
 炮４平７
71. 仕五进四
 炮７平５
73. 后仕进五
 车４平７
75. 车二进六
 象５退７
77. 车二退八
 卒１进１
79. 相七退五
 车７进１
81. 相九进七
 马２退３
83. 兵五进一
 马３进１
85. 车二进五
 炮５退１
87. 马三进二
 马１进３
89. 车二平五
 马３进２
91. 马二进一
 马２退４
93. 帅五平四
 马４退６
95. 车五平四
 马６进７
97. 帅四平五
 车７平９
99. 马一退三
 车９进３
101. 仕五退四
 车９平６
103. 帅五进一
 车６平３
105. 马三进二
 车３退１
107. 帅五退一
 炮５平８
109. 炮七退二
 马７退６
111. 炮七平六
 车３退５
113. 兵五进一
 车３平２
115. 仕四退五
 象３进５
117. 炮六平七
 车２进６
119. 仕五退六
 车２退４
121. 车四退一
 士５退６
123. 炮七平四
 马６进８
125. 马二进四
 将５进１
127. 炮四平五
 将５平４
129. 车四退四
 车２平４
131. 仕六进五
 士４进５
133. 马四退二
 卒１平２
135. 马二退三
 象５进７
137. 炮五平一
 炮８平５
139. 帅五平四
 马８退６"
10	2014年上海第四届“同峰杯”象棋大赛	6	20140308	北京	田长兴	先负	王猛	山西	62	...	钱宇新	...	410	"1. 炮二平四 *
 卒７进１
3. 马二进一
 马８进７
5. 车一平二
 车９平８
7. 车二进四
 炮８平９
9. 车二平四
 炮２平５
11. 炮八平五
 马２进３
13. 马八进七
 车１平２
15. 车九进一
 车２进６
17. 兵三进一
 车８进５
19. 车九平三
 车２平３
21. 车四进二
 卒７进１
23. 车四平三
 马７退５
25. 后车进三
 车８平７
27. 车三退二
 炮９进４
29. 仕四进五
 炮９退２
31. 相七进九
 炮９平３
33. 相九进七
 炮５进４
35. 车三退一
 炮５退２
37. 相七退九
 车３平７
39. 马一进三
 马５进７
41. 马七进六
 马７进８
43. 马三进二
 炮３平８
45. 帅五平四
 士４进５
47. 炮五进四
 象３进５
49. 炮四平七
 马３进５
51. 马六进五
 卒９进１
53. 相三进五
 卒９进１
55. 马五进三
 炮８平７
57. 马三退四
 卒９平８
59. 相九退七
 卒１进１
61. 炮七平九
 卒３进１"
