比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	7	20140528	广西跨世纪	张晓平	先负	蒋川	北京威凯建设	212	起马转仕角炮对进７卒	中国象棋协会	打虎将	1431	"1. 马八进七 *
 卒３进１
3. 炮八平九
 马２进３
5. 车九平八
 车１平２
7. 车八进六
 马８进７
9. 兵三进一
 马３进４
11. 马二进三
 车９进１
13. 车一进一
 卒３进１
15. 车八退一
 马４进３
17. 炮九进四
 象７进５
19. 车一平四
 车２进１
21. 炮九平三
 炮２平３
23. 车八进三
 车９平２
25. 车四进三
 卒３平２
27. 车四平六
 车２进３
29. 马七退五
 士６进５
31. 相三进五
 炮８平９
33. 炮二进一
 马３进２
35. 马五退三
 卒２平３
37. 车六进二
 车２平８
39. 炮二平三
 卒３进１
41. 仕六进五
 车８平３
43. 后马进四
 卒５进１
45. 车六平八
 马２退１
47. 兵三进一
 象５进７
49. 马四进三
 象３进５
51. 兵五进一
 马１进３
53. 兵五进一
 炮３平１
55. 车八平九
 炮１平２
57. 车九平八
 炮２平１
59. 车八平九
 炮１平２
61. 车九平八
 炮２平１
63. 相七进九
 车３平１
65. 相九退七
 车１平３
67. 相七进九
 卒３平４
69. 前炮平四
 车３平１
71. 车八退四
 车１退１
73. 车八平七
 车１平６
75. 炮三进二
 车６平１
77. 炮三平四
 马７进６
79. 兵五平四
 炮１进５
81. 后马进四
 卒４平５
83. 相五退三
 炮１退２
85. 车七进二
 炮１平６
87. 车七平四
 象５退３
89. 马三进四
 炮９平６
91. 车四平二
 车１平４
93. 车二进二
 士５退６
95. 兵四平五
 士４进５
97. 兵五平六
 车４平５
99. 车二平一
 将５平４
101. 车一平二
 炮６平７
103. 车二进一
 炮７平１
105. 马四退三
 车５进２
107. 马三进五
 车５平３
109. 车二平八
 炮１进７
111. 车八退四
 车３进４
113. 仕五退六
 车３退３
115. 车八退三
 炮１退４
117. 车八进四
 炮１进４
119. 车八退四
 炮１退４
121. 马五退三
 卒５平６
123. 车八进四
 炮１进４
125. 车八退四
 炮１退４
127. 车八进四
 炮１进４
129. 车八退四
 炮１退４
131. 仕四进五
 车３进１
133. 马三进四
 炮１退３
135. 车八进七
 炮１进７
137. 车八退七
 炮１退６
139. 兵六平五
 士５进６
141. 车八平九
 炮１平２
143. 车九平八
 炮２平１
145. 车八平九
 炮１平２
147. 车九平八
 炮２平１
149. 马四退六
 炮１进１
151. 车八进五
 炮１进５
153. 车八退五
 炮１退５
155. 车八进五
 炮１进５
157. 车八退五
 炮１退３
159. 兵一进一
 将４平５
161. 车八进三
 炮１进３
163. 车八退三
 炮１退８
165. 马六进八
 炮１进５
167. 车八进三
 炮１进３
169. 车八退三
 炮１退３
171. 车八进三
 炮１进３
173. 车八退三
 炮１退３
175. 马八进六
 将５平４
177. 车八进三
 炮１进３
179. 车八退三
 炮１退３
181. 马六进八
 将４平５
183. 马八退六
 将５平４
185. 马六退四
 后士进５
187. 车八进三
 炮１进３
189. 车八退三
 炮１退３
191. 马四退六
 将４平５
193. 车八进三
 炮１进３
195. 车八退三
 炮１退４
197. 车八进四
 炮１进４
199. 车八退四
 炮１退４
201. 仕五退四
 卒６进１
203. 车八进四
 炮１进４
205. 车八退四
 炮１退４
207. 仕六进五
 卒６进１
209. 马六退五
 车３平５
211. 车八进四
 炮１进４"
2	2013年福建省板桥津点杯象棋锦标赛男子组	8	20131202	福州台江区	董佳昊	先负	张依强	福州长乐市	76	起马局	中国第一棋迷	...	45	"1. 马八进七 *
 马８进７
3. 兵七进一
 卒７进１
5. 相七进五
 马２进３
7. 马二进一
 象３进５
9. 车一进一
 炮８平９
11. 炮二平四
 车９平８
13. 车一平六
 士４进５
15. 仕六进五
 车８进７
17. 车六进三
 马７进８
19. 炮八进一
 炮２进２
21. 兵一进一
 炮２平５
23. 车六平二
 车８退２
25. 马一进二
 炮９进３
27. 炮八平七
 车１平２
29. 车九平八
 车２进９
31. 马七退八
 炮９进４
33. 马二进四
 马８进９
35. 帅五平六
 马９进７
37. 马八进七
 马３退２
39. 兵五进一
 炮５平４
41. 马四进六
 马２进４
43. 帅六平五
 炮９退３
45. 炮七进三
 马４进３
47. 兵七进一
 炮４平６
49. 兵七进一
 炮６退３
51. 马七进六
 炮９平１
53. 后马进五
 炮６平７
55. 马五进三
 卒９进１
57. 兵五进一
 卒９进１
59. 马六退七
 炮１平６
61. 兵五平四
 卒９平８
63. 马七进五
 炮６退１
65. 炮四进一
 马７退５
67. 马五退七
 炮６平４
69. 兵四平五
 卒７进１
71. 兵三进一
 卒８平７
73. 炮四进三
 马５退３
75. 相五进七
 炮４退３"
3	2013年福建省板桥津点杯象棋锦标赛男子组	1	20131130	福州晋安区	陈日端	先负	林文汉	厦门翔安区	80	...	中国第一棋迷	...	48	"1. 马八进七 *
 卒７进１
3. 兵七进一
 马８进７
5. 炮二平六
 车９平８
7. 相三进五
 马２进１
9. 马二进三
 车１进１
11. 仕四进五
 车１平４
13. 炮八平九
 车４进３
15. 车九平八
 卒１进１
17. 车八进六
 士６进５
19. 车一平二
 炮２平６
21. 炮九退一
 车４进２
23. 炮九平七
 象７进５
25. 兵七进一
 象５进３
27. 车八退二
 炮６平４
29. 炮六进五
 炮８平４
31. 车二进九
 马７退８
33. 车八平六
 车４平２
35. 车六平八
 车２退１
37. 马七进八
 前象退５
39. 兵三进一
 卒７进１
41. 相五进三
 马１进２
43. 马三进四
 马８进７
45. 马四进六
 马７进６
47. 炮七平九
 卒３进１
49. 相三退五
 马６进４
51. 炮九进四
 炮４平２
53. 马八退九
 马２进１
55. 马九进七
 将５平６
57. 炮九进一
 卒９进１
59. 马七进九
 马１进３
61. 马九进八
 卒５进１
63. 仕五进六
 马４进２
65. 炮九退四
 马３退４
67. 后仕进五
 马２进３
69. 帅五平六
 马３退１
71. 相七进九
 马４进５
73. 马八退九
 炮２进３
75. 马九退八
 炮２平４
77. 马八进六
 马５退７
79. 帅六平五
 马７退６"
4	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	6	20140521	厦门海翼	陈泓盛	先负	蒋川	北京威凯建设	86	起马转仕角炮对进７卒	中国象棋协会	...	4757	"1. 马八进七 *
 卒３进１
3. 兵三进一
 马２进３
5. 马二进三
 车１进１
7. 车一进一
 车１平７
9. 炮八进四
 马３进２
11. 马三进四
 象７进５
13. 车九进一
 马８进６
15. 车九平六
 卒７进１
17. 炮二平三
 马６进４
19. 炮八平六
 车７平６
21. 马四进六
 卒５进１
23. 车一平四
 车６进７
25. 车六平四
 士６进５
27. 兵三进一
 卒３进１
29. 兵七进一
 马２退４
31. 兵七进一
 前马退６
33. 兵三进一
 马４进３
35. 兵三平四
 车９平７
37. 炮三进四
 马６进８
39. 相三进一
 卒９进１
41. 马七进八
 卒９进１
43. 兵一进一
 马８进９
45. 马八进七
 马９进７
47. 车四进一
 炮８进２
49. 马六退七
 炮８进２
51. 前马退五
 炮２平３
53. 马七进六
 炮３进７
55. 仕六进五
 马７退８
57. 兵九进一
 炮３平２
59. 马五退三
 炮２退５
61. 马六进七
 炮２进２
63. 马七退六
 炮８进３
65. 相一退三
 马８退９
67. 马六退四
 炮８退８
69. 车四平二
 马９进７
71. 马四进三
 炮８平７
73. 相三进五
 炮７进４
75. 相五进三
 炮２退３
77. 车二平八
 炮２平７
79. 兵四平三
 车７进３
81. 车八进二
 车７平５
83. 车八进一
 车５进３
85. 兵九进一
 马３进２"
5	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	4	20140510	辽宁	胡景尧	先负	姜海涛	湖南	90	起马转中炮对进７卒	钱宇新	...	78	"1. 马八进七 *
 卒３进１
3. 炮二平五
 马２进３
5. 马二进三
 炮８平６
7. 兵五进一
 士４进５
9. 马七进五
 马３进４
11. 兵五进一
 马４进５
13. 马三进五
 炮２平５
15. 车一进一
 车１平２
17. 车九平八
 炮５进２
19. 炮五进三
 卒５进１
21. 马五进四
 车２进３
23. 车八进一
 象７进５
25. 炮八平五
 车２进５
27. 车一平八
 士５退４
29. 车八进五
 马８进６
31. 车八平三
 车９平８
33. 马四退五
 马６进４
35. 车三平一
 士６进５
37. 车一平九
 车８进６
39. 车九平三
 炮６进４
41. 马五进四
 炮６平１
43. 兵一进一
 车８退２
45. 马四进二
 炮１退５
47. 兵三进一
 卒５进１
49. 兵三进一
 车８进２
51. 兵三平四
 车８平３
53. 车三平五
 卒５进１
55. 炮五平一
 卒５平６
57. 相七进九
 卒６进１
59. 仕六进五
 卒６平７
61. 兵一进一
 车３平９
63. 马二退三
 车９平６
65. 兵四进一
 车６平２
67. 兵一平二
 卒３进１
69. 车五平九
 炮１平２
71. 兵二进一
 马４进３
73. 车九平六
 马３进５
75. 车六退一
 卒７进１
77. 炮一进三
 卒７进１
79. 炮一平五
 卒７平６
81. 帅五平四
 车２平７
83. 马三退五
 车７进３
85. 帅四进一
 马５进７
87. 帅四进一
 车７平８
89. 马五退四
 车８退６"
6	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	4	20140510	北京	马鸣祥	先负	蔡佑广	广东	126	边马局	钱宇新	...	102	"1. 马八进九 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 炮二进四
 卒７进１
9. 车九进一
 马２进１
11. 兵九进一
 车１进１
13. 车九平六
 车１平６
15. 车六进六
 炮２进２
17. 仕六进五
 士６进５
19. 车六平八
 炮２平４
21. 相七进五
 炮４退２
23. 车八退三
 车６进３
25. 兵三进一
 卒１进１
27. 兵九进一
 车６平１
29. 相五退七
 炮４进６
31. 兵三进一
 车１平７
33. 相三进五
 炮４平１
35. 炮二退二
 炮１进１
37. 仕五退六
 炮５平４
39. 仕四进五
 象７进５
41. 炮八平六
 车８进４
43. 炮二退三
 车７平２
45. 车八进一
 车８平２
47. 马九退七
 炮１平２
49. 马七进九
 炮２平１
51. 马九退七
 炮１平２
53. 马七进九
 炮２平１
55. 马九退七
 炮１退３
57. 炮二平三
 车２平６
59. 车二进四
 马１进２
61. 车二平九
 车６平８
63. 炮三进六
 炮４平７
65. 兵七进一
 车８平７
67. 车九进一
 炮７进５
69. 炮六平三
 炮１平９
71. 炮三进二
 炮９进３
73. 马七进八
 车７平８
75. 仕五进四
 车８进５
77. 帅五进一
 车８退１
79. 帅五退一
 马２进３
81. 车九平四
 车８进１
83. 帅五进一
 车８平４
85. 帅五平四
 马３进４
87. 马八退六
 炮９平３
89. 仕四退五
 车４平８
91. 炮三平六
 车８退１
93. 帅四退一
 车８平５
95. 炮六退三
 车５平４
97. 马六进五
 炮３平１
99. 车四平二
 象５退７
101. 马五进四
 士５进６
103. 马四进二
 象３进５
105. 车二进一
 炮１退６
107. 兵七进一
 车４退２
109. 兵七进一
 车４平５
111. 兵七平八
 炮１退２
113. 车二平四
 士４进５
115. 马二退三
 卒５进１
117. 兵八进一
 车５进１
119. 马三进四
 士５进６
121. 车四进一
 卒５进１
123. 兵八进一
 车５平４
125. 兵八平七
 车４退２"
7	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	4	20140512	杭州环境集团	姚洪新	先负	王斌	江苏句容茅山	114	起马转中炮对进７卒	中国象棋协会	...	2745	"1. 马八进七 *
 卒３进１
3. 炮二平五
 马２进３
5. 马二进三
 马８进７
7. 车一平二
 车９平８
9. 兵三进一
 象７进５
11. 炮八进四
 马３进２
13. 炮八平三
 车１进１
15. 车二进五
 马２进３
17. 车九平八
 炮２平３
19. 炮五平四
 车１平６
21. 仕六进五
 炮８平９
23. 车二进四
 马７退８
25. 车八进四
 车６进５
27. 兵三进一
 炮９平７
29. 车八平四
 车６平８
31. 车四平六
 士６进５
33. 马三进四
 车８退３
35. 相七进五
 炮７进２
37. 炮三平九
 卒５进１
39. 炮九退二
 马８进７
41. 马七退八
 炮７平６
43. 马八进六
 马３退１
45. 兵九进一
 炮６进３
47. 仕五进四
 炮３平４
49. 马四退三
 车８平２
51. 前仕退五
 车２进５
53. 马六进七
 车２退２
55. 马七退六
 车２进２
57. 马六进七
 车２退２
59. 马七退六
 马７进５
61. 兵九进一
 马５进７
63. 相五进三
 车２平１
65. 后相进五
 车１退２
67. 马六进八
 车１平２
69. 马八进九
 炮４平１
71. 仕五退六
 炮１进２
73. 仕四进五
 车２进２
75. 车六平四
 士５进４
77. 相五退七
 卒５进１
79. 兵五进一
 车２退１
81. 兵五进一
 炮１平５
83. 帅五平四
 炮５进１
85. 马三退一
 车２平１
87. 马一进二
 马７退８
89. 车四进三
 马８退７
91. 车四进二
 将５进１
93. 马二退四
 炮５平６
95. 帅四平五
 炮６退３
97. 相三退五
 将５平４
99. 马四进三
 车１退２
101. 车四退一
 后士进５
103. 车四平三
 车１平５
105. 兵一进一
 炮６平９
107. 马三退二
 车５平８
109. 马二进三
 车８进６
111. 仕五退四
 炮９进３
113. 车三退二
 卒９进１"
8	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	3	20140511	广东碧桂园	庄玉庭	先负	孙逸阳	江苏句容茅山	166	起马转边炮对进７卒	中国象棋协会	...	853	"1. 马二进三 *
 卒７进１
3. 炮二平一
 马８进７
5. 车一平二
 车９平８
7. 兵七进一
 炮２进４
9. 马八进七
 炮８进４
11. 相三进五
 马２进１
13. 仕四进五
 象７进５
15. 车二平四
 炮８进２
17. 马七进八
 炮２平７
19. 兵九进一
 车１进１
21. 兵五进一
 车１平８
23. 车九进三
 前车进５
25. 炮一退二
 炮７平９
27. 车九平二
 车８进６
29. 车四进六
 炮８平７
31. 马三进一
 车８平９
33. 炮一进二
 车９平８
35. 炮八平九
 卒７进１
37. 相五进三
 车８进３
39. 车四退六
 炮７进１
41. 车四进三
 炮７平４
43. 仕五退四
 炮４退４
45. 马八退七
 炮４平７
47. 相七进五
 炮７退１
49. 车四进三
 车８退４
51. 车四平三
 马７退５
53. 炮一退一
 车８进３
55. 炮一进一
 马５进３
57. 车三平一
 车８退３
59. 车一平三
 炮７平９
61. 车三退二
 车８退１
63. 马七进五
 卒５进１
65. 车三平一
 炮９进３
67. 炮九平一
 马３进５
69. 马五进三
 卒５进１
71. 马三进四
 车８平６
73. 车一进二
 车６平７
75. 相五进三
 士４进５
77. 炮一平三
 车７平５
79. 仕四进五
 士５进６
81. 炮三平五
 卒５平６
83. 马四进二
 马５退７
85. 车一退一
 车５进２
87. 马二进一
 卒６平７
89. 马一退三
 将５进１
91. 车一平八
 将５平６
93. 炮五平四
 卒７平６
95. 车八平一
 车５平７
97. 车一进二
 后士进５
99. 炮四退二
 卒６进１
101. 车一退六
 马７进８
103. 马三退四
 车７退３
105. 马四退五
 将６退１
107. 马五退六
 将６平５
109. 马六进四
 马１退３
111. 车一平二
 马８退７
113. 马四进五
 车７进１
115. 马五进七
 马３进２
117. 车二进三
 马２进１
119. 马七进六
 马１进２
121. 马六退八
 车７平４
123. 兵七进一
 象５进３
125. 车二退二
 马２退４
127. 车二平六
 前象退５
129. 马八进九
 马７进８
131. 马九退七
 车４退３
133. 车六进一
 车４平３
135. 车六进三
 卒１进１
137. 车六平二
 车３进３
139. 车二进三
 士５退６
141. 车二平四
 将５进１
143. 车四退一
 将５退１
145. 车四进一
 将５进１
147. 车四退一
 将５退１
149. 车四退一
 车３平５
151. 帅五平六
 车５平４
153. 帅六平五
 卒１进１
155. 仕五进四
 车４平５
157. 仕四退五
 象５进３
159. 车四退六
 马８进７
161. 车四平一
 马７进５
163. 炮四进一
 马５退６
165. 炮四进二
 马６进４"
9	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	3	20140511	山东中国重汽	赵金成	先负	蒋川	北京威凯建设	124	起马转仕角炮对进７卒	中国象棋协会	...	1005	"1. 马八进七 *
 卒３进１
3. 炮八平九
 马２进３
5. 车九平八
 车１平２
7. 兵三进一
 炮２进４
9. 马二进三
 马８进９
11. 兵一进一
 象３进５
13. 相七进五
 炮８平７
15. 马三进二
 炮２平５
17. 仕四进五
 车２进９
19. 马七退八
 炮７进３
21. 车一进三
 炮５退１
23. 马二进一
 车９平８
25. 车一平三
 炮７平６
27. 车三平四
 马３进４
29. 马一进三
 车８进５
31. 兵一进一
 士４进５
33. 马三退五
 炮６退３
35. 马八进六
 马９退７
37. 车四平六
 马４进６
39. 马五退四
 车８平６
41. 炮九进四
 马７进６
43. 车六平五
 马６进４
45. 车五平六
 马４退６
47. 车六平五
 卒７进１
49. 炮九平五
 车６进１
51. 炮二平四
 车６平５
53. 炮五退三
 马６进４
55. 兵一平二
 炮６进１
57. 炮五平一
 炮６平２
59. 马六进八
 卒７进１
61. 帅五平四
 卒７进１
63. 炮一进一
 炮２平６
65. 帅四平五
 卒７进１
67. 炮四进一
 卒７平６
69. 炮四平六
 马４进３
71. 炮一退一
 马３退４
73. 炮六退二
 炮５进１
75. 马八进六
 马４进６
77. 马六进五
 卒６进１
79. 炮一平四
 马６退８
81. 炮四平二
 马８进６
83. 炮二平四
 炮６平２
85. 炮六平八
 炮２进２
87. 马五退六
 炮２进１
89. 马六进五
 炮２退１
91. 马五退六
 炮２进１
93. 兵九进一
 炮２平３
95. 炮八平七
 炮３平２
97. 炮七平八
 炮２平３
99. 炮八平七
 炮３平１
101. 炮七平九
 炮１平２
103. 炮九平八
 马６进８
105. 马六进五
 炮５退１
107. 炮四平七
 马８退６
109. 炮七平四
 炮２退２
111. 马五进七
 卒３进１
113. 兵九进一
 炮２退２
115. 马七进六
 炮２退１
117. 马六退七
 炮２进６
119. 马七进九
 炮２退５
121. 炮八进五
 象５退３
123. 马九退八
 炮２平５"
10	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	1	20140509	广东碧桂园	庄玉庭	先负	孙勇征	上海金外滩	150	起马转边炮对进７卒	中国象棋协会	...	509	"1. 马二进三 *
 卒７进１
3. 炮二平一
 马８进７
5. 车一平二
 车９平８
7. 兵七进一
 炮２进４
9. 马八进七
 炮８进４
11. 相三进五
 炮２平７
13. 炮八平九
 马２进３
15. 车九平八
 车１平２
17. 车八进九
 马３退２
19. 炮九进四
 马２进３
21. 炮九平八
 象７进５
23. 仕四进五
 士６进５
25. 兵九进一
 卒３进１
27. 兵七进一
 象５进３
29. 炮八平七
 后象进５
31. 马七进八
 卒５进１
33. 兵九进一
 马３进５
35. 兵九平八
 卒７进１
37. 马八进六
 炮８退２
39. 兵八平七
 炮８平４
41. 车二进九
 马７退８
43. 兵七平六
 炮７平６
45. 兵六平五
 马５进３
47. 后兵进一
 马８进７
49. 前兵平六
 马３进４
51. 炮一退一
 卒７进１
53. 马三进五
 马７进８
55. 兵五进一
 马８进９
57. 炮一平四
 卒７进１
59. 马五进四
 象５退３
61. 马四进二
 卒７进１
63. 炮七平六
 马４进２
65. 马二进三
 炮６退５
67. 炮四进一
 马２进１
69. 兵六平七
 马１退３
71. 炮六退五
 卒７平６
73. 兵五进一
 马９退８
75. 仕五进六
 卒６进１
77. 帅五进一
 卒９进１
79. 相五进三
 卒９进１
81. 炮四进一
 象３进１
83. 兵七进一
 卒９平８
85. 兵五进一
 士５退６
87. 炮四平五
 士６进５
89. 兵七进一
 象１进３
91. 炮六进八
 象３退５
93. 炮六平七
 马３退４
95. 兵七平六
 马８进６
97. 炮七退七
 马６退４
99. 炮五进一
 将５平６
101. 炮五进四
 前马退３
103. 炮五平六
 炮６平５
105. 相三退五
 象５进７
107. 帅五平六
 马４进３
109. 马三退四
 炮５进２
111. 兵六平五
 后马进５
113. 马四退二
 炮５平４
115. 帅六平五
 象７退５
117. 马二进三
 将６平５
119. 马三退四
 炮４平５
121. 马四退二
 马５进７
123. 相五进七
 马３退５
125. 帅五平六
 炮５平４
127. 帅六平五
 将５平４
129. 炮六平五
 马５退６
131. 炮五平九
 马６进４
133. 炮九退七
 马４进５
135. 炮七平八
 炮４平５
137. 后相进五
 马５退６
139. 相五进三
 马６进８
141. 炮九退一
 马７退５
143. 帅五平四
 卒６平５
145. 炮九进四
 马５进４
147. 相七退五
 马８进７
149. 炮九退二
 马７进８"
