比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年福建省板桥津点杯象棋锦标赛男子组	6	20131201	三明宁化县	谢福林	先负	姜晓	厦门海沧区	136	五七炮互进三兵对屏风马边卒右马外盘河	中国第一棋迷	打虎将	53	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 车九平六
 车１进３
17. 炮七退一
 炮８进４
19. 车六进三
 炮８平３
21. 马九进七
 车８进９
23. 马三退二
 马２进３
25. 车六平八
 炮２平４
27. 炮五平七
 马３退４
29. 马二进三
 卒７进１
31. 兵三进一
 象５进７
33. 相三进五
 前象退５
35. 前炮平九
 马７进６
37. 兵五进一
 马６进７
39. 兵五进一
 卒５进１
41. 炮七平五
 马７退５
43. 炮五进三
 卒５进１
45. 车八平五
 马４进３
47. 车五平六
 马３进１
49. 相七进九
 炮４平１
51. 车六退一
 车１平５
53. 车六平五
 车５进３
55. 马三进五
 炮１进４
57. 兵一进一
 炮１平２
59. 马五进四
 士４进５
61. 马四退二
 炮２平９
63. 马二进三
 象５进７
65. 兵一进一
 炮９平７
67. 相五进三
 卒９进１
69. 马三退一
 炮７平５
71. 马一进二
 后象进５
73. 马二进四
 卒１进１
75. 马四退三
 炮５退３
77. 帅五进一
 卒１进１
79. 相九退七
 卒３进１
81. 帅五平四
 炮５平６
83. 仕四进五
 卒３平４
85. 帅四退一
 卒４平５
87. 相三退五
 卒１平２
89. 相七进九
 卒５平６
91. 帅四平五
 卒２平３
93. 相九进七
 士５进６
95. 相五退三
 后士进５
97. 相三进五
 将５平４
99. 相五退三
 卒３进１
101. 相三进五
 卒３进１
103. 仕五进六
 卒３平４
105. 后仕进五
 士５进４
107. 相五退三
 士６退５
109. 相三进五
 将４平５
111. 相五退三
 将５平６
113. 相三进五
 卒６进１
115. 相七退九
 象５进３
117. 相九进七
 炮６平５
119. 帅五平四
 炮５进５
121. 帅四平五
 炮５平７
123. 马三退五
 卒６进１
125. 仕六退五
 卒６进１
127. 仕五进四
 炮７退２
129. 马五退四
 炮７退１
131. 马四退二
 炮７平５
133. 相五进三
 卒６平５
135. 帅五平四
 卒４进１"
2	2014年第6届句容茅山半岛杯象棋冠军赛男子组预赛	5	20140519	浙江	赵鑫鑫	先负	谢靖	上海	114	...	中国象棋协会	...	4953	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 马２进１
15. 炮七进三
 卒１进１
17. 车九平六
 车１进４
19. 炮七进一
 卒７进１
21. 马三进四
 卒７进１
23. 马四进五
 马７进５
25. 车二进六
 象７进５
27. 炮五进四
 士４进５
29. 车六进五
 车８平７
31. 仕六进五
 车７进４
33. 相七进五
 炮８平７
35. 车六退二
 卒７进１
37. 炮五平一
 炮７平９
39. 兵五进一
 卒１平２
41. 炮七平五
 车７平４
43. 车六进一
 车１平４
45. 炮五平九
 车４平１
47. 车二平八
 马１进３
49. 相五退七
 卒２进１
51. 马九退七
 卒２平３
53. 马七进五
 车１进５
55. 仕五退六
 车１平３
57. 仕四进五
 卒３平４
59. 马五进三
 卒４进１
61. 炮九进三
 士５退４
63. 炮一平五
 士６进５
65. 帅五平四
 车３平１
67. 炮九平八
 炮９平６
69. 车八平六
 将５平６
71. 车六退四
 炮２进７
73. 帅四进一
 车１退３
75. 车六平七
 车１平７
77. 车七平二
 象５退７
79. 炮八退七
 车７进２
81. 帅四进一
 车７退３
83. 兵五进一
 车７平６
85. 帅四平五
 车６平２
87. 车二进七
 车２进２
89. 仕五进六
 象３进５
91. 炮五平一
 车２退３
93. 车二退四
 将６平５
95. 兵一进一
 炮２平１
97. 炮一平五
 炮１退２
99. 帅五退一
 炮１退３
101. 帅五退一
 炮１平５
103. 车二平四
 将５平６
105. 炮五平二
 炮５平３
107. 车四进一
 炮３进５
109. 后仕进五
 炮３平７
111. 炮二进三
 象７进９
113. 炮二退七
 将６平５"
3	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	9	20140511	浙江	夏天舒	先负	金华	贵州	58	...	钱宇新	...	312	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 马三进四
 车１进３
17. 车九平六
 士６进５
19. 车二进六
 炮８平９
21. 车二进三
 马７退８
23. 马四进三
 炮９平７
25. 相三进一
 马２进１
27. 炮七退一
 马８进９
29. 马三退四
 马１退２
31. 兵三进一
 卒１进１
33. 兵三进一
 炮７平６
35. 兵三进一
 炮６退２
37. 马四进五
 卒１进１
39. 炮七平九
 车１平３
41. 马九退七
 马２进３
43. 车六进二
 卒３进１
45. 兵五进一
 马３进２
47. 车六进二
 炮２进３
49. 兵五进一
 卒１进１
51. 兵三平二
 卒１进１
53. 兵二平一
 卒３进１
55. 炮五进二
 卒３进１
57. 车六平八
 炮２平３"
4	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	8	20140511	浙江	吕载	先负	蔡佑广	广东	148	...	钱宇新	...	305	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 马三进四
 车１进３
17. 炮五平三
 车１平４
19. 炮七平五
 炮８进３
21. 车九平四
 士４进５
23. 炮三进四
 车４进２
25. 兵三进一
 卒３进１
27. 马四进二
 马２进１
29. 车四进四
 马１进３
31. 仕四进五
 卒１进１
33. 炮五平六
 马７退９
35. 兵七进一
 炮８平３
37. 相七进五
 炮３退４
39. 车四平八
 车４退３
41. 马九进七
 炮３平２
43. 车八平九
 车４进４
45. 马七进八
 士５退４
47. 兵三平四
 士６进５
49. 马八进六
 前炮平４
51. 车九退一
 车８进３
53. 车九平三
 炮２进８
55. 相五退七
 马３进４
57. 车二进四
 马４退３
59. 相七进九
 马３进１
61. 马二进四
 车４进１
63. 帅五平四
 车８进２
65. 车三平二
 车４退２
67. 车二平六
 炮４进３
69. 炮三平五
 炮４进３
71. 马六进七
 将５平６
73. 炮五平九
 马１进３
75. 仕五退六
 马３退４
77. 仕六进五
 炮４进１
79. 相九退七
 炮４平７
81. 相七进五
 马４进２
83. 炮九进三
 象５退３
85. 马四进五
 马２进４
87. 相五退七
 马４退３
89. 相七进五
 炮７退８
91. 马五进七
 马９进７
93. 兵四进一
 马７退５
95. 前马退九
 炮２退９
97. 马九退八
 马５进６
99. 马七退九
 炮７平６
101. 帅四平五
 炮２平３
103. 马八进九
 马６退５
105. 前马进七
 马５退３
107. 兵五进一
 炮６平５
109. 马九进七
 炮５进６
111. 仕五进六
 前马退１
113. 马七退六
 马１进２
115. 马六退七
 将６进１
117. 炮九平六
 马３进４
119. 帅五进一
 炮５平８
121. 兵五进一
 马２退３
123. 兵五进一
 马４进３
125. 兵五进一
 炮８平５
127. 炮六退六
 炮５退４
129. 帅五退一
 将６退１
131. 兵五平四
 后马进５
133. 帅五平四
 炮５平６
135. 马七进五
 炮６平５
137. 兵四进一
 将６平５
139. 马五退三
 马３退４
141. 仕六退五
 马４进５
143. 马三进二
 前马进７
145. 帅四进一
 马７进５
147. 炮六进二
 前马退６"
5	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	淮安	陈建东	先负	姜海涛	湖南	118	五七炮对屏风马进７卒	钱宇新	-	86	"1. 炮二平五 *
 马２进３
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 兵七进一
 卒７进１
9. 马八进七
 炮２进４
11. 兵五进一
 炮８进４
13. 兵五进一
 士４进５
15. 兵五平六
 象３进５
17. 仕四进五
 马７进６
19. 马七进五
 马６进７
21. 炮八平六
 车１平２
23. 车九平八
 车８进３
25. 车二进二
 车８平６
27. 车二进一
 马７进５
29. 车二退二
 马５退７
31. 相三进五
 炮２进１
33. 炮六进一
 炮２平７
35. 车八进九
 马３退２
37. 马五退三
 车６进３
39. 炮六退一
 车６平４
41. 车二进二
 卒１进１
43. 马三退二
 车４平６
45. 炮六平八
 车６平３
47. 炮八平九
 马２进４
49. 马二进四
 马７进５
51. 车二平七
 马５退３
53. 炮九进三
 马４进２
55. 炮九平八
 卒３进１
57. 马四进五
 卒３进１
59. 马五进七
 卒７进１
61. 炮八退一
 马２进１
63. 马七进八
 马１退３
65. 炮八平七
 卒７进１
67. 兵九进一
 卒７进１
69. 兵九进一
 卒７进１
71. 仕五进四
 卒５进１
73. 兵九平八
 卒５进１
75. 兵八平七
 后马退４
77. 兵六进一
 卒５平４
79. 炮七平八
 马３退５
81. 炮八平五
 卒４平５
83. 兵一进一
 士５退４
85. 马八进七
 士６进５
87. 兵七平六
 将５平６
89. 后兵平五
 卒７平６
91. 仕六进五
 卒５进１
93. 兵五平四
 卒５平４
95. 兵四进一
 将６进１
97. 帅五平六
 卒４平３
99. 兵四平三
 士５退６
101. 兵六进一
 马４进６
103. 兵三进一
 马６进７
105. 兵六平五
 士６进５
107. 马七退六
 将６退１
109. 兵五进一
 士４进５
111. 马六进五
 象７进５
113. 马五退七
 卒３平４
115. 马七退六
 象５进３
117. 兵三进一
 马７进９"
6	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	5	20140513	黑龙江农村信用社	崔革	先负	郑惟桐	四川成都瀛嘉	120	五七炮互进三兵对屏风马边卒右马外盘河	中国象棋协会	打虎将	3944	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 车１进３
15. 车九平六
 士６进５
17. 车二进六
 炮８平９
19. 车二进三
 马７退８
21. 车六进四
 象３进５
23. 炮七退一
 马２进１
25. 马三进四
 马８进７
27. 炮七平三
 炮９进４
29. 炮三进五
 卒５进１
31. 兵三进一
 车１平６
33. 马四退三
 炮９退２
35. 车六退一
 象７进９
37. 车六平三
 象９进７
39. 车三进一
 车６进６
41. 帅五平四
 象５进７
43. 炮三平九
 炮２平１
45. 马三进四
 卒１进１
47. 马四退六
 马１进３
49. 马六进七
 象７退５
51. 马七进八
 炮９平６
53. 炮五平六
 卒１进１
55. 炮九平七
 炮６退２
57. 炮六进六
 士５退６
59. 炮七进三
 士４进５
61. 炮七退七
 炮６平２
63. 马九退七
 炮２进４
65. 兵七进一
 马７进６
67. 炮七平五
 炮１平３
69. 马七进六
 炮３进７
71. 仕六进五
 马６进７
73. 炮五平三
 炮２平５
75. 马六进五
 炮３平７
77. 马五退三
 炮５退３
79. 炮六退五
 马７退５
81. 马三进二
 卒１平２
83. 炮六进二
 卒２平３
85. 炮六平五
 将５平４
87. 炮五进二
 马５进７
89. 炮五平三
 炮７平９
91. 后炮平六
 马７进８
93. 炮三退六
 炮９退１
95. 炮六退一
 炮９平７
97. 仕五进六
 卒３平４
99. 炮六平二
 卒４进１
101. 马二退四
 士５进６
103. 马四退六
 炮５进２
105. 炮二进八
 后士进５
107. 炮二退四
 炮７退３
109. 马六进五
 炮７平３
111. 炮二平六
 炮５退１
113. 马五退三
 炮３平６
115. 马三进一
 卒４平５
117. 马一退二
 炮６退２
119. 马二退三
 卒５平６"
7	2013年石狮·爱乐杯全国象棋个人赛男子甲组	9	20131113	山东中国重汽象棋队	才溢	先负	刘子健	浙江波尔轴承象棋队	68	...	组委会	...	572	"1. 炮二平五 *
 马８进７
3. 兵三进一
 卒３进１
5. 马二进三
 马２进３
7. 马八进九
 卒１进１
9. 车一平二
 车９平８
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 车二进六
 车１进３
17. 车九平六
 士６进５
19. 炮七退一
 炮８平９
21. 车二平三
 炮９退１
23. 车三平四
 炮９平７
25. 马三进四
 马７进８
27. 车六平二
 炮７进８
29. 仕四进五
 马８退６
31. 车二进八
 马６退８
33. 车二退一
 卒５进１
35. 仕五进四
 车１平６
37. 炮七平四
 车６平８
39. 兵三进一
 车８进５
41. 炮四平七
 马２进１
43. 炮五进三
 马１进３
45. 马九进八
 车８进１
47. 仕四退五
 炮７退４
49. 仕五退四
 炮７平２
51. 炮七平一
 后炮退１
53. 车二进一
 马３退５
55. 炮一平五
 将５平６
57. 后炮进一
 马５退７
59. 后炮进五
 马７进６
61. 帅五进一
 前炮平５
63. 前炮退三
 马６退４
65. 帅五平六
 炮２平４
67. 前炮平六
 车８退１"
8	2014年重庆忠县首届“体彩杯”象棋公开赛	5	20140430	重庆46	郭友华	先负	杨旭	内蒙古	48	...	组委会	...	69	"1. 炮二平五 *
 马８进７
3. 兵三进一
 卒３进１
5. 马二进三
 车９平８
7. 车一平二
 马２进３
9. 车二进四
 炮２平１
11. 马八进七
 车１平２
13. 车九平八
 车２进６
15. 炮八退一
 炮８平９
17. 车二进五
 马７退８
19. 炮八平五
 车２进３
21. 马七退八
 马８进７
23. 马八进七
 象３进５
25. 兵五进一
 士４进５
27. 兵五进一
 卒５进１
29. 后炮进四
 马３进４
31. 马三进四
 马４进３
33. 马四进三
 炮９进４
35. 后炮平三
 马３退５
37. 马七进五
 炮９平１
39. 炮三平五
 马５进３
41. 马五进四
 马３进５
43. 相三进五
 前炮退２
45. 炮五平九
 卒１进１
47. 马四进三
 炮１平７"
9	2014年朱宝位杯全国象棋团体赛男子组	8	20140425	江西紫气东来队	周平荣	先负	景学义	煤矿开滦队	106	...	路风不归雪	...	2066	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 卒１进１
15. 兵九进一
 车１进５
17. 车二进四
 车１平４
19. 车九平四
 象７进５
21. 车四进三
 车４进１
23. 仕六进五
 炮８进２
25. 车四平九
 士４进５
27. 炮五平四
 炮２平１
29. 炮四进一
 车４进２
31. 炮七平六
 炮８平５
33. 车二进五
 马７退８
35. 车九平五
 车４平２
37. 相三进五
 马８进９
39. 兵一进一
 炮１进４
41. 炮四平一
 车２退１
43. 车五平九
 炮５平８
45. 兵一进一
 炮８进２
47. 兵一进一
 马２进３
49. 车九进五
 马９退７
51. 炮一退二
 士５退４
53. 车九退三
 卒３进１
55. 炮一平二
 马３进５
57. 相七进五
 车２平１
59. 相五进七
 车１平２
61. 炮六平五
 士６进５
63. 车九平五
 炮８平７
65. 车五平九
 车２平３
67. 炮二进三
 车３退１
69. 兵五进一
 炮１平２
71. 车九平八
 车３进３
73. 仕五退六
 炮２进３
75. 炮二退二
 炮２平１
77. 相七退九
 车３退１
79. 车八退六
 车３平７
81. 马三进五
 炮７平９
83. 车八平九
 炮９进３
85. 炮二退二
 车７进１
87. 相九退七
 车７平８
89. 马五进七
 马７进６
91. 车九进二
 马６进７
93. 炮五平三
 卒７进１
95. 车九平六
 象５进３
97. 炮三退一
 车８退４
99. 仕四进五
 马７进８
101. 炮三平二
 马８退６
103. 车六平一
 马６进７
105. 帅五平四
 炮９退６"
10	2014年宁夏“西夏杯”象棋公开赛	7	20140414	陕西	王庆	先负	赵子雨	温州龙之队	76	...	打虎将	九弈真经	1429	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 车二进六
 车１进３
17. 车九平六
 炮８平９
19. 车二进三
 马７退８
21. 马三进四
 士６进５
23. 马四进三
 炮９平７
25. 相三进一
 马８进９
27. 马三退二
 马２进１
29. 炮七退一
 卒１进１
31. 兵三进一
 象５进７
33. 马二进四
 炮７平４
35. 车六进五
 车１平４
37. 马四进六
 炮２进１
39. 炮七进四
 前象退５
41. 炮七平九
 炮２平３
43. 兵七进一
 马９进７
45. 兵七进一
 炮３进６
47. 仕六进五
 马７进６
49. 炮五平六
 马１进３
51. 马九退七
 马６进８
53. 炮九进四
 象５退３
55. 炮九退三
 马３退４
57. 兵七平六
 马８退６
59. 兵五进一
 马４进３
61. 相一进三
 炮４进２
63. 马六进七
 将５平６
65. 炮六平四
 马６进７
67. 前马退八
 炮４平２
69. 帅五平六
 炮２进５
71. 帅六进一
 马３退２
73. 马七进八
 马２退１
75. 后马退六
 马１进２"
