比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年福建省板桥津点杯象棋锦标赛男子组	9	20131203	泉州惠安县	黄跃山	先胜	姜晓	厦门海沧区	121	中炮过河车互进七兵对屏风马左马盘河	中国第一棋迷	打虎将	58	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 炮八平六
 车１进１
13. 马八进七
 卒７进１
15. 车二平四
 马６进７
17. 炮五平四
 象７进５
19. 车九平八
 炮２平１
21. 仕六进五
 车８平７
23. 马七进六
 炮１进４
25. 马六进七
 炮８进４
27. 炮四退一
 炮１平３
29. 马七退六
 炮８退１
31. 马六进四
 车１平４
33. 马四进二
 士６进５
35. 车四进二
 炮３进１
37. 马二进三
 车７进１
39. 车四平三
 炮３平７
41. 炮四进一
 炮７进１
43. 炮四进五
 炮８进１
45. 兵五进一
 马７退５
47. 车三平二
 卒７平８
49. 车二退四
 马５进４
51. 仕五进六
 士５进６
53. 车二退一
 车４进６
55. 车二平三
 炮７平１
57. 相七进五
 炮１退４
59. 兵七进一
 车４平３
61. 兵七平八
 炮１进１
63. 车三进一
 炮１进１
65. 兵八进一
 炮１平５
67. 仕四进五
 士４进５
69. 帅五平四
 车３退３
71. 兵八进一
 车３平６
73. 帅四平五
 马３进４
75. 车八进五
 炮５平８
77. 车三平二
 炮８平７
79. 车二进二
 士５退４
81. 车二平一
 士６退５
83. 兵八平七
 炮７平５
85. 兵一进一
 将５平６
87. 车一进三
 将６进１
89. 帅五平六
 炮５进２
91. 车八退二
 马４进５
93. 车八平六
 炮５平９
95. 车一平三
 车６进５
97. 帅六进一
 车６退１
99. 帅六进一
 车６退２
101. 兵七进一
 车６退２
103. 车三退六
 马５退４
105. 车三平四
 车６进２
107. 车六平四
 士５进６
109. 兵七平六
 马４进２
111. 兵一进一
 马２退３
113. 兵六平七
 马３进５
115. 车四进三
 炮９平７
117. 车四平五
 炮７退７
119. 兵七进一
 马５进４
121. 车五平三"
2	2013年福建省板桥津点杯象棋锦标赛男子组	4	20131201	福州鼓楼区	陈炳霖	先胜	王永明	漳州长泰县	51	...	中国第一棋迷	...	49	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 炮２进２
13. 兵五进一
 象３进５
15. 兵五进一
 卒５进１
17. 马七进五
 马６进７
19. 炮五进三
 士４进５
21. 炮八平五
 炮２退１
23. 车二平七
 炮２进４
25. 车七平二
 马３进４
27. 车九平八
 炮２平７
29. 马五退三
 马４进３
31. 车八进三
 马７退５
33. 马三进五
 车１平４
35. 仕四进五
 车４进４
37. 车八进六
 车４退４
39. 车八平六
 将５平４
41. 后炮平二
 炮８进５
43. 车二进三
 炮８平２
45. 车二退三
 炮２退１
47. 车二平六
 将４平５
49. 车六平九
 炮２平５
51. 炮五退二"
3	2014年第二届文园杯象棋个人赛(广州)	3	20140511	广东	龚剑峰	先胜	刘云达	广东	61	...	求棋	...	982	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 卒７进１
13. 车二退一
 马６进７
15. 车二平三
 象７进５
17. 车三退一
 车８平７
19. 车三进五
 象５退７
21. 马七进六
 车１进１
23. 炮五平六
 卒５进１
25. 仕六进五
 卒５进１
27. 兵五进一
 炮２进３
29. 马六进七
 炮２平５
31. 炮六平五
 士４进５
33. 马三进五
 炮５进２
35. 相七进五
 车１平２
37. 炮八平七
 炮８进７
39. 相五进三
 车２进５
41. 马五进四
 马３进５
43. 车九平六
 马５进６
45. 马四进二
 士５进４
47. 马二进三
 将５进１
49. 马三退四
 将５平６
51. 马四进六
 象３进５
53. 马七进五
 马６进４
55. 马五退四
 将６平５
57. 马六退四
 将５平６
59. 后马进六
 士６进５
61. 车六进三"
4	2014年第二届文园杯象棋个人赛(广州)	3	20140510	广东	李进	先胜	程宇东	广东	55	...	求棋	...	1190	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 卒７进１
13. 车二退一
 马６进７
15. 炮五退一
 车１进１
17. 马七进六
 车１平８
19. 炮八平七
 象７进５
21. 车九平八
 炮２平１
23. 兵七进一
 象５进３
25. 马六进五
 后象进５
27. 车八进四
 炮８平６
29. 马五退三
 炮６退１
31. 车二进三
 车８进１
33. 车八平三
 士６进５
35. 车三退一
 象５进７
37. 车三进二
 车８进２
39. 马三进四
 炮１进４
41. 车三进四
 炮６退１
43. 炮七平四
 象３退５
45. 炮五进六
 士５进６
47. 炮五退三
 车８平４
49. 马四进五
 士６退５
51. 车三平四
 将５平６
53. 马五进三
 将６进１
55. 炮五平四"
5	2014年四川成都“惠丰杯”街子古镇象棋公开赛	10	20140506	湖北	赵子雨	先胜	连泽特	新疆	61	...	象棋王子	...	1761	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 兵七进一
 马７进６
11. 马八进七
 车１进１
13. 炮八进三
 卒７进１
15. 炮五进四
 马３进５
17. 车二平五
 炮８平５
19. 炮八平五
 士６进５
21. 车五平四
 车８进４
23. 仕六进五
 马６进８
25. 兵五进一
 炮２进１
27. 车四进二
 炮２退２
29. 车四退二
 马８进７
31. 车九平八
 卒７平６
33. 车四退二
 车８退３
35. 车八进三
 车８平６
37. 车四平三
 车６平７
39. 车三平四
 车７平６
41. 车四平三
 象７进９
43. 马七进六
 炮２平３
45. 相七进五
 车６平７
47. 马六进七
 马７退９
49. 车三平二
 车７平８
51. 车二平一
 马９进８
53. 车一进二
 炮３进１
55. 车八进六
 车１平３
57. 马七进五
 象３进５
59. 车一平六
 将５平６
61. 炮五进三"
6	2014年重庆忠县首届“体彩杯”象棋公开赛	12	20140502	四川3	武俊强	先胜	张若愚	重庆34	65	...	组委会	...	336	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 兵七进一
 马７进６
11. 炮八平七
 车１进１
13. 炮七进四
 卒７进１
15. 车二退一
 卒７进１
17. 车二平四
 卒７进１
19. 车九进一
 炮８平７
21. 相三进一
 象３进５
23. 马八进七
 车１平４
25. 车九平八
 炮２退２
27. 兵七进一
 士４进５
29. 兵七平六
 车８进５
31. 炮五平六
 车４平１
33. 相七进五
 卒７平８
35. 相一退三
 炮２平４
37. 炮六进七
 士５退４
39. 车八进六
 车１平４
41. 车四进二
 炮７进５
43. 马七进八
 士４进５
45. 车四平三
 车４退１
47. 马八进九
 马３退２
49. 车八进一
 马２进４
51. 炮七平一
 车８退２
53. 炮一进三
 马４进３
55. 马九进七
 车４进２
57. 车八进一
 士５退４
59. 兵六进一
 车４平３
61. 兵六平七
 车３平４
63. 兵七平六
 车４平３
65. 炮一平四"
7	2014年重庆忠县首届“体彩杯”象棋公开赛	10	20140501	四川8	曾军	先胜	赵子雨	湖北2	91	...	组委会	...	222	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 车１进１
13. 车二平四
 马６进７
15. 马七进六
 马７进５
17. 相七进五
 车１平４
19. 马六进七
 车４进６
21. 炮八进一
 象７进５
23. 仕六进五
 车４平２
25. 炮八平七
 卒７进１
27. 车九平七
 车８平７
29. 兵五进一
 卒７进１
31. 马三进五
 炮８进７
33. 炮七退一
 炮２进４
35. 炮七平六
 车７进４
37. 兵五进一
 卒５进１
39. 马五进六
 卒５进１
41. 马六进五
 象３进５
43. 马七进五
 炮２平５
45. 车四进三
 将５进１
47. 马五退四
 车７退１
49. 兵七进一
 车２进１
51. 车七进四
 车２平５
53. 帅五平六
 炮５平４
55. 炮六平八
 车５退１
57. 帅六进一
 炮４退４
59. 相三进五
 卒５平４
61. 帅六平五
 卒７平６
63. 炮八退一
 卒４平３
65. 车四退二
 车７平５
67. 车四平六
 车５进４
69. 帅五平六
 车５进２
71. 马四进三
 将５平６
73. 车六平七
 卒３进１
75. 车七退一
 车５平４
77. 帅六平五
 车４平５
79. 帅五平六
 车５平４
81. 帅六平五
 车４平５
83. 帅五平六
 将６进１
85. 马三退四
 车５平４
87. 帅六平五
 车４平５
89. 帅五平四
 卒６进１
91. 帅四进一"
8	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	8	20140502	泰兴	黄亚俊	先胜	林立珍	福建	62	...	钱宇新	...	167	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 象３进５
13. 炮八平九
 车１平２
15. 车九平八
 炮２进１
17. 车二退二
 士４进５
19. 车八进三
 卒７进１
21. 车二平三
 炮８平６
23. 兵五进一
 车８进８
25. 兵五进一
 卒５进１
27. 马七进五
 马６进５
29. 马三进五
 车８平４
31. 炮五进三
 车４退５
33. 炮九平五
 卒１进１
35. 仕四进五
 将５平４
37. 前炮平六
 将４平５
39. 炮六平五
 将５平４
41. 后炮平六
 将４平５
43. 车三进五
 炮２平１
45. 车八进六
 马３退２
47. 车三退二
 炮１退１
49. 马五进三
 炮６进３
51. 车三进一
 车４平５
53. 炮五平二
 车５进１
55. 炮二进四
 象５退７
57. 车三进一
 车５平８
59. 马三进四
 车８退３
61. 炮二平一
 车８平９"
9	2014年上海第四届“同峰杯”象棋大赛	5	20140308	山西	王猛	先胜	姜晓	江西	53	...	钱宇新	...	906	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 车１进１
13. 车二平四
 马６进７
15. 马七进六
 马７进５
17. 相七进五
 车１平４
19. 马六进七
 车４进６
21. 炮八平九
 炮８平７
23. 仕六进五
 车４平２
25. 马三进四
 象７进５
27. 马四进六
 士６进５
29. 炮九进四
 炮２平１
31. 马七进九
 象３进１
33. 马六进五
 炮７平６
35. 马五进七
 将５平６
37. 车九平六
 将６进１
39. 炮九平六
 车２退３
41. 炮六进二
 将６退１
43. 炮六退四
 车２退３
45. 马七退五
 将６平５
47. 炮六平四
 车８进２
49. 车四平一
 车８平７
51. 车一进三
 炮６退２
53. 炮四进四"
10	2014年第二十届迎春杯象棋团体公开赛	5	20140223	祈福队	陈四丰	先胜	陈丽淳	广东青年队	97	...	藍小朋友	...	1985	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 马７进６
11. 马八进七
 车１进１
13. 兵五进一
 卒７进１
15. 车二平四
 卒７进１
17. 车四退一
 卒７进１
19. 车九进一
 炮８平７
21. 相三进一
 车８进６
23. 马七进六
 炮２进３
25. 车四进二
 炮２平４
27. 车四平三
 象７进５
29. 车九平四
 卒７进１
31. 车四平三
 车１平２
33. 炮八平七
 车８平３
35. 炮五平二
 车２平８
37. 相七进五
 车３平５
39. 相一退三
 车５退１
41. 前车进一
 车８进４
43. 前车平七
 马３退５
45. 车七平六
 车５进１
47. 车三平六
 车５退１
49. 兵七进一
 马５进７
51. 炮七进二
 卒５进１
53. 炮七平五
 卒５进１
55. 炮二退一
 卒３进１
57. 炮二平五
 炮４平２
59. 后车平八
 炮２平４
61. 车六退三
 士６进５
63. 炮五平七
 卒５进１
65. 车八进三
 炮４平５
67. 车六平五
 炮５进２
69. 车八平二
 炮５退３
71. 车二平五
 炮５退１
73. 炮七平五
 炮５平２
75. 炮五平九
 卒５平４
77. 仕六进五
 卒９进１
79. 炮九进五
 炮２进３
81. 炮九进三
 马７进６
83. 车五进一
 炮２退２
85. 车五退一
 炮２进２
87. 兵九进一
 炮２平９
89. 车五进一
 炮９平５
91. 帅五平六
 马６进８
93. 车五进二
 马８进６
95. 车五退三
 卒９进１
97. 兵九进一"
