比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年朱宝位杯全国象棋团体赛男子组	4	20140421	福建深圳科士达代表队	郑乃东	先负	金波	北京威凯建设队	112	五八炮互进三兵对屏风马	路风不归雪	打虎将	2697	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 炮八平三
 车１平２
13. 马八进七
 炮８进４
15. 马三进四
 炮２进４
17. 兵三进一
 炮８进１
19. 马四退三
 炮８平５
21. 车二进九
 马７退８
23. 相三进五
 象５进７
25. 车九进一
 炮２进２
27. 马三进四
 车２进７
29. 兵九进一
 士６进５
31. 炮三平二
 马８进７
33. 炮二退四
 象７退５
35. 炮二平四
 卒９进１
37. 马七退五
 车２退２
39. 马五进三
 马７进９
41. 炮四退一
 马９进７
43. 炮四平七
 马７进６
45. 仕四进五
 车２进２
47. 马四退六
 炮２进１
49. 车九退一
 马３进４
51. 兵七进一
 车２平５
53. 兵七进一
 车５平７
55. 车九平八
 马４进５
57. 相七进五
 车７平９
59. 车八进四
 车９进２
61. 仕五退四
 马６进７
63. 炮七平四
 车９退３
65. 车八平五
 车９平６
67. 帅五进一
 马７退９
69. 炮四平一
 马９进７
71. 车五平三
 马７退８
73. 炮一平四
 象５进３
75. 车三进五
 士５退６
77. 车三退三
 前象退５
79. 车三平五
 士４进５
81. 车五平九
 车６退１
83. 车九平三
 车６平４
85. 车三退三
 车４进１
87. 帅五退一
 马８退７
89. 炮四平二
 将５平４
91. 仕四进五
 卒９进１
93. 炮二进八
 将４进１
95. 炮二退六
 卒９平８
97. 炮二平一
 马７进５
99. 车三平四
 将４退１
101. 兵九进一
 后马退７
103. 车四平三
 马７进５
105. 车三平四
 士５进６
107. 车四进四
 前马进７
109. 车四进二
 将４进１
111. 炮一退二
 卒８进１"
2	2013年“孚日家纺杯”全国象棋女子甲级联赛	11	20140107	山东宏远队	时凤兰	先负	唐丹	北京中加实业队	76	...	中国象棋协会	...	3464	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进九
 卒１进１
13. 炮八平七
 车１进３
15. 车九平八
 车１平３
17. 车八进七
 炮８平９
19. 车二进九
 马７退８
21. 车八进一
 士４进５
23. 车八退七
 马８进６
25. 车八平二
 卒５进１
27. 车二平四
 马６进８
29. 炮五进三
 卒３进１
31. 兵七进一
 车３进２
33. 车四平二
 马８进６
35. 炮五平二
 车３进４
37. 炮二进四
 象５退７
39. 车二进六
 炮９退１
41. 车二平三
 象３进５
43. 车三平五
 车３退２
45. 马三进二
 马６进７
47. 仕四进五
 炮９进５
49. 车五平三
 车３退３
51. 车三进二
 车３平８
53. 车三退三
 车８退４
55. 车三退二
 马３进４
57. 车三平六
 车８进４
59. 相三进五
 卒９进１
61. 马二退三
 炮９进３
63. 帅五平四
 车８平６
65. 帅四平五
 车６平７
67. 马九进七
 马４退６
69. 马三进四
 马６进８
71. 马七进六
 马８进９
73. 马四退二
 车７进５
75. 仕五退四
 车７退４"
3	2013年苏浙皖三省第五届城市象棋比赛	7	20131124	芜湖飞越电器	叶宗保	先负	钟涛	安徽蚌埠队	58	...	钱宇新	...	268	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进七
 马３进４
13. 炮八平三
 炮２平３
15. 车九平八
 炮８进４
17. 车八进六
 士６进５
19. 兵三进一
 炮３进４
21. 马七退五
 车１进２
23. 炮五平六
 象５进７
25. 车八退二
 车８进３
27. 车八平六
 车８平７
29. 车六进一
 象７退５
31. 马三进四
 车７进２
33. 马五进三
 炮８平７
35. 马四退五
 车１平２
37. 马五进三
 车７进１
39. 相三进五
 车２进６
41. 车二进四
 车２平３
43. 马三退二
 车７平５
45. 仕四进五
 车５平７
47. 马二进一
 车７进３
49. 仕五退四
 车３平６
51. 仕六进五
 炮３平５
53. 帅五平六
 炮５进２
55. 帅六进一
 车７平６
57. 马一进三
 后车平７"
4	2013年重庆市兴华棋馆登驹杯象棋邀请赛	6	20131012	四川	李伟	先负	杨应东	重庆	68	...	wodeshida...	...	702	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进九
 卒１进１
13. 炮八平七
 车１平２
15. 车九平八
 炮２进４
17. 车二进六
 炮８平９
19. 车二平三
 车８进２
21. 兵三进一
 炮９退２
23. 车三平四
 炮９平７
25. 兵三进一
 马７退８
27. 马三进四
 炮７进９
29. 仕四进五
 车８进７
31. 马四退三
 车８退１
33. 车八进二
 士４进５
35. 帅五平四
 车２进３
37. 炮五进四
 马３进５
39. 车四平五
 马８进６
41. 车五平四
 马６进８
43. 车四平六
 马８进７
45. 车六平四
 车８退１
47. 炮七平六
 炮７平９
49. 炮六退二
 车２平６
51. 兵三平四
 炮２平５
53. 车八平五
 炮５平７
55. 炮六平八
 车８进２
57. 帅四进一
 车８退６
59. 车五平四
 炮７平６
61. 车四平七
 车８进５
63. 帅四退一
 马７进８
65. 马三进二
 马８进６
67. 马二退四
 马６进７"
5	2013年重庆黔江体彩杯象棋公开赛预赛	4	20130922	湖南	陈恩红	先负	赵攀伟	四川	148	...	逍遥君子	...	332	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进七
 马３进４
13. 炮八平三
 车１进１
15. 车九平八
 炮２平３
17. 车二进五
 马４进３
19. 炮五平四
 车１平６
21. 仕六进五
 炮８平９
23. 车二进四
 马７退８
25. 车八进四
 车６进５
27. 车八平四
 车６平８
29. 相七进五
 士６进５
31. 兵三进一
 象５进７
33. 炮三平九
 车８平７
35. 炮九平七
 象７退５
37. 炮七退三
 炮３进４
39. 马三退二
 炮９进４
41. 马二进一
 车７平８
43. 车四进二
 卒９进１
45. 车四平五
 马８进６
47. 车五退二
 马６进８
49. 炮四进三
 车８退２
51. 炮四退三
 车８进２
53. 炮四进三
 马８进７
55. 车五平三
 马７退６
57. 炮四进一
 车８平６
59. 兵五进一
 车６退３
61. 车三退一
 卒９进１
63. 车三平七
 车６进２
65. 兵九进一
 马６进７
67. 车七平三
 车６平５
69. 兵九进一
 炮９平８
71. 兵九平八
 卒３进１
73. 马一退三
 炮８退３
75. 车三进一
 车５平７
77. 相五进三
 卒３进１
79. 马七退八
 炮８平５
81. 帅五平六
 马７进５
83. 马三进四
 士５进６
85. 马四进六
 炮５平４
87. 帅六平五
 卒９平８
89. 前相退五
 炮４平９
91. 马八进六
 卒３平４
93. 前马进五
 炮９进６
95. 马五退四
 炮９退４
97. 马四进五
 马５进７
99. 兵八进一
 士４进５
101. 兵八平七
 炮９进３
103. 马六进八
 卒４平５
105. 马五退四
 炮９进１
107. 相五退七
 马７进６
109. 帅五平六
 卒８平７
111. 马四进六
 将５平４
113. 兵七平六
 卒７进１
115. 马八进七
 卒７平６
117. 帅六进一
 炮９退４
119. 相三进一
 炮９平４
121. 帅六退一
 卒５平４
123. 帅六平五
 马６退８
125. 马六退四
 马８进９
127. 仕五进六
 马９退７
129. 帅五进一
 炮４平５
131. 帅五平六
 马７退５
133. 马四进五
 马５进６
135. 帅六退一
 炮５平８
137. 相一退三
 炮８进４
139. 马五退六
 马６退７
141. 相三进五
 卒６进１
143. 马六退四
 卒６进１
145. 马四退二
 马７进６
147. 马二退三
 卒６平７"
6	2013年“锦龙杯”象棋个人公开赛(广州)	9	20130901	广东	黄向晖	先负	黄光颖	海南	92	...	龙族小白龙	...	796	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进七
 马３进２
13. 炮八平三
 车１进１
15. 车二进五
 马２进３
17. 车九平八
 炮２平３
19. 炮五平六
 车１平４
21. 仕六进五
 炮８平９
23. 车二平四
 车４进４
25. 兵三进一
 卒３进１
27. 车八进七
 炮３进２
29. 车四平七
 象５进３
31. 车八平三
 炮９退１
33. 车三进一
 炮９进１
35. 炮六平五
 士４进５
37. 车三平二
 车８平７
39. 炮五进四
 将５平４
41. 马三进二
 炮９平３
43. 马二进四
 车４退１
45. 车二退四
 后象进５
47. 炮五平四
 卒１进１
49. 兵五进一
 卒１进１
51. 兵九进一
 马３退１
53. 相三进五
 马１进２
55. 相五进七
 马２退３
57. 兵五进一
 马３退５
59. 马七进五
 车４进２
61. 相七进五
 炮３平１
63. 车二平五
 炮１进７
65. 仕五进六
 炮１退５
67. 仕四进五
 车７平８
69. 车五平八
 象３退１
71. 车八进一
 马５进３
73. 车八平六
 车４退２
75. 马五进六
 车８进９
77. 相五退三
 炮１平６
79. 马六进五
 炮６平５
81. 帅五平四
 车８退９
83. 马五退七
 炮５平３
85. 炮四平一
 士５进４
87. 炮三平六
 将４平５
89. 炮一平五
 炮３平４
91. 马七进九
 车８进１"
7	2013年“锦龙杯”象棋个人公开赛(广州)	7	20130831	广西	欧照芳	先负	黎德志	广东	96	...	龙族小白龙	...	1813	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 卒１进１
11. 马八进七
 象７进５
13. 炮八平三
 车１平２
15. 炮五平四
 炮２平１
17. 相七进五
 士６进５
19. 仕六进五
 炮８进４
21. 车九平六
 车２进７
23. 兵七进一
 卒３进１
25. 马七进六
 车２退３
27. 相五进七
 炮８平１
29. 车二进九
 马７退８
31. 相七退九
 车２平３
33. 车六平七
 车３平４
35. 车七进四
 马３进２
37. 马六退七
 马８进９
39. 马三进四
 车４平８
41. 炮三平四
 前炮平９
43. 相九退七
 炮９退１
45. 相七进五
 卒９进１
47. 兵三进一
 车８平７
49. 马四进五
 车７退１
51. 车七平四
 马２进３
53. 马五进七
 马９进８
55. 车四退一
 炮９进４
57. 前炮平五
 马８退７
59. 车四平一
 炮９平８
61. 车一平二
 炮８平９
63. 炮五退二
 车７平３
65. 前马进八
 炮１平４
67. 车二平一
 炮９平８
69. 车一进二
 卒１进１
71. 炮四平二
 马３退５
73. 兵五进一
 车３退２
75. 马七进五
 车３平２
77. 马五进三
 车２退１
79. 马三进四
 炮４退１
81. 车一进四
 士５退６
83. 车一退二
 马７进８
85. 马四进三
 炮４平６
87. 车一平四
 将５进１
89. 兵五进一
 车２进９
91. 仕五退六
 炮６进８
93. 相五退七
 车２平３
95. 炮二平五
 炮６平４"
8	2013年江苏省东台市第二届群文杯象棋公开赛	11	20130826	河南	姚洪新	先负	马维维	安徽	102	...	钱宇新	...	2826	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 象７进５
11. 马八进七
 马３进２
13. 炮八平三
 车１进１
15. 车二进五
 马２进３
17. 车九平八
 炮２平３
19. 炮五平六
 车１平４
21. 仕六进五
 车４进４
23. 相七进五
 卒３进１
25. 车八进三
 士６进５
27. 马七退八
 炮８平９
29. 车二进四
 马７退８
31. 炮三平二
 炮９平７
33. 炮二退二
 车４进１
35. 炮二退一
 车４退２
37. 马八进九
 车４平３
39. 相五进七
 马３进４
41. 相三进五
 炮３进３
43. 马九进七
 炮３平４
45. 车八进一
 炮７进５
47. 车八平六
 炮７进１
49. 车六进一
 车３退１
51. 兵三进一
 炮７平９
53. 仕五退六
 马４退２
55. 仕四进五
 马２进１
57. 炮六平七
 车３平２
59. 车六平四
 卒５进１
61. 帅五平四
 马１退３
63. 相五退七
 马８进７
65. 车四退二
 卒９进１
67. 兵五进一
 马７进９
69. 兵三平四
 车２平７
71. 炮二进二
 卒５进１
73. 马七进五
 车７进６
75. 帅四进一
 马３进５
77. 车四平二
 马９退７
79. 兵四平三
 马７进５
81. 马五进六
 士５进４
83. 炮七平五
 前马退７
85. 车二退二
 马７退６
87. 车二进二
 马６进７
89. 车二退二
 马７退６
91. 车二进二
 马６退４
93. 车二平六
 后士进５
95. 炮五平六
 车７退５
97. 炮六进二
 车７平８
99. 炮六平八
 马５进６
101. 车六平四
 马６进８"
9	2013年江苏省东台市第二届群文杯象棋公开赛	8	20130825	浙江	李祖高	先负	尹晖	浙江	72	五八炮对屏风马	钱宇新	...	336	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒７进１
9. 车二进六
 马７进６
11. 车九进一
 象３进５
13. 车九平四
 炮８平６
15. 车二进三
 炮６进６
17. 车二退八
 炮６平２
19. 兵七进一
 士４进５
21. 车二平四
 马６进７
23. 车四进二
 车１平４
25. 仕四进五
 马７退８
27. 车四平二
 马８退７
29. 兵五进一
 车４进４
31. 炮八平七
 前炮退５
33. 兵七进一
 象５进３
35. 炮七进四
 车４退１
37. 炮五平七
 卒１进１
39. 相三进五
 马７进６
41. 前炮平五
 车４平５
43. 炮七进五
 车５进２
45. 马九进七
 车５退２
47. 兵九进一
 卒１进１
49. 马七进九
 象７进５
51. 车二平四
 马６进４
53. 车四平六
 马４退６
55. 炮七进一
 后炮退１
57. 炮七退一
 前炮进２
59. 车六平四
 马６进４
61. 车四平七
 马４退２
63. 炮七进二
 车５平１
65. 车七进一
 象５退３
67. 车七进一
 马２退１
69. 车七平八
 车１进２
71. 车八进三
 炮２平５"
10	2013年江苏省东台市第二届群文杯象棋公开赛	2	20130824	盐城	顾林海	先负	恽伟光	上海	96	五八炮互进三兵对屏风马	钱宇新	...	321	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 炮八进四
 马３进２
11. 马八进九
 象７进５
13. 炮八平三
 卒１进１
15. 车九进一
 卒１进１
17. 兵九进一
 车１进５
19. 车二进四
 士６进５
21. 车九平四
 卒３进１
23. 兵三进一
 马２进４
25. 炮五退一
 车１退１
27. 兵三平四
 车１平６
29. 车四进四
 马４退６
31. 车二平四
 马６进４
33. 兵七进一
 马４进３
35. 炮五平七
 炮８进５
37. 兵七进一
 车８进６
39. 车四平三
 马３退５
41. 马三进五
 车８平５
43. 仕四进五
 炮８进２
45. 相三进五
 炮８平９
47. 兵七进一
 炮２进２
49. 马九进八
 车５平８
51. 仕五进四
 炮２平５
53. 帅五平四
 车８进３
55. 帅四进一
 车８平４
57. 炮七进一
 车４退１
59. 帅四退一
 炮９平３
61. 炮七平九
 炮３平１
63. 车三平七
 车４进１
65. 帅四进一
 车４平７
67. 相五进三
 车７平５
69. 仕四退五
 炮１退１
71. 帅四进一
 车５平８
73. 车七平四
 车８退１
75. 帅四平五
 炮５平３
77. 马八进六
 卒５进１
79. 车四平七
 车８退５
81. 马六进五
 象３进５
83. 炮九进七
 象５退３
85. 车七进一
 车８平７
87. 兵七进一
 马７进５
89. 兵七进一
 卒５进１
91. 车七平五
 炮１退６
93. 仕五进四
 炮１平５
95. 车五平八
 车７进２"
