比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年石狮·爱乐杯全国象棋个人赛男子甲组	9	20131113	广西跨世纪队	黄仕清	先负	孙博	煤矿开滦象棋队	187	中炮巡河车对屏风马	组委会	打虎将	502	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 兵三进一
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 象３进５
15. 车九平六
 车１进３
17. 车二进六
 炮８平９
19. 车二进三
 马７退８
21. 炮七退一
 士６进５
23. 兵五进一
 马２进１
25. 车六进二
 马１退２
27. 炮七平二
 卒１进１
29. 马三进四
 卒１进１
31. 马九退七
 马８进７
33. 马四进五
 马７进５
35. 炮二进八
 士５退６
37. 炮二退三
 车１进２
39. 炮五进四
 士４进５
41. 兵五进一
 卒３进１
43. 车六进五
 马２退３
45. 兵七进一
 车１平３
47. 马七进六
 车３进４
49. 车六平七
 将５平４
51. 炮二退五
 车３退２
53. 车七平八
 车３平４
55. 马六进八
 车４进２
57. 帅五进一
 炮２进２
59. 炮二进六
 车４退１
61. 帅五退一
 车４进１
63. 帅五进一
 车４退１
65. 帅五退一
 车４进１
67. 帅五进一
 车４退１
69. 帅五退一
 象５进３
71. 车八平七
 炮２平５
73. 车七进一
 将４进１
75. 车七退一
 将４退１
77. 车七进一
 将４进１
79. 炮二进一
 士５进４
81. 车七退一
 将４退１
83. 车七进一
 将４进１
85. 车七退一
 将４退１
87. 炮二平六
 车４平２
89. 马八进七
 炮９平５
91. 帅五平六
 车２进１
93. 帅六进一
 车２退１
95. 帅六退一
 车２进１
97. 帅六进一
 车２退１
99. 帅六退一
 车２进１
101. 帅六进一
 前炮进２
103. 炮五平六
 车２退１
105. 帅六退一
 车２进１
107. 帅六进一
 车２退１
109. 帅六退一
 车２退１
111. 帅六进一
 将４平５
113. 后炮平五
 将５平４
115. 炮五平六
 将４平５
117. 后炮平五
 将５平４
119. 炮五平六
 将４平５
121. 后炮平五
 将５平４
123. 炮五平六
 将４平５
125. 车七进一
 将５进１
127. 后炮退三
 车２进１
129. 帅六退一
 车２进１
131. 帅六进一
 车２退１
133. 帅六退一
 车２退６
135. 前炮进一
 象７进９
137. 车七退一
 将５退１
139. 前炮平七
 车２进７
141. 帅六进一
 车２退１
143. 帅六退一
 车２进１
145. 帅六进一
 车２退１
147. 帅六退一
 车２进１
149. 帅六进一
 马３进１
151. 车七平六
 车２退１
153. 帅六退一
 车２进１
155. 帅六进一
 车２退１
157. 帅六退一
 车２退５
159. 车六进一
 将５进１
161. 炮六平七
 马１进２
163. 车六退一
 将５退１
165. 车六退一
 马２退３
167. 车六进二
 将５进１
169. 前炮退四
 马３进５
171. 车六退一
 将５退１
173. 车六进一
 将５进１
175. 后炮退一
 车２进３
177. 车六退一
 将５退１
179. 车六进一
 将５进１
181. 后炮平五
 车２平４
183. 车六退六
 马５进４
185. 炮七退二
 后炮进５
187. 炮七平五"
2	2014年广西北流新圩第7届大地杯象棋公开赛	8	20140210	湖北省	黄文俊	先负	赵玮	上海市	84	...	组委会	...	558	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 车九进一
 卒７进１
11. 车二进四
 象３进５
13. 兵三进一
 卒７进１
15. 车二平三
 马７进６
17. 车九平四
 炮２进２
19. 兵七进一
 炮８平６
21. 车四平七
 卒３进１
23. 车七进三
 士４进５
25. 仕六进五
 炮２退３
27. 马三进四
 炮２平３
29. 车七平八
 炮３进８
31. 炮五平四
 车８进４
33. 相三进五
 炮３平１
35. 车八平七
 车１平２
37. 兵九进一
 车２进６
39. 马九进八
 马６退４
41. 车七进二
 炮６进５
43. 炮八平四
 车２进３
45. 仕五退六
 车２退４
47. 相五退七
 马４进３
49. 车七进一
 马３进４
51. 帅五进一
 车８进４
53. 帅五进一
 马４退２
55. 仕四进五
 车８退２
57. 炮四退二
 车８平６
59. 车七退四
 炮１退３
61. 马四进六
 车２平７
63. 车七平八
 车６进２
65. 马六进八
 车７进２
67. 仕五进四
 车６退１
69. 帅五退一
 车６平４
71. 车八平九
 车４进２
73. 车九平八
 车４平３
75. 车八退二
 车７进１
77. 炮四进一
 车７进１
79. 炮四进七
 车３平５
81. 帅五平六
 车７退１
83. 帅六进一
 车５平４ "
3	2014年上海第四届“同峰杯”象棋大赛	2	20140307	上海	华辰昊	先负	章磊	江苏	76	...	金鹏十九变	...	418	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒３进１
7. 车二进四
 马２进３
9. 兵七进一
 卒３进１
11. 车二平七
 卒７进１
13. 兵五进一
 士４进５
15. 马八进七
 炮２退１
17. 马七进五
 炮２平３
19. 车七平八
 马３进４
21. 车八进四
 炮８退１
23. 兵五进一
 马４进５
25. 马三进五
 炮３进１
27. 车八退二
 炮３平５
29. 马五进七
 炮８进２
31. 兵五进一
 炮５进５
33. 相七进五
 象３进１
35. 兵五进一
 炮８平５
37. 仕六进五
 象７进５
39. 马七进六
 士５进４
41. 车八进一
 士６进５
43. 车九平六
 车８进５
45. 炮八平九
 车８平６
47. 车六进五
 车１平３
49. 帅五平六
 车３进４
51. 车六平七
 象１进３
53. 车八进二
 士５退４
55. 马六进八
 车６平２
57. 炮九进四
 车２进４
59. 相五退七
 炮５平４
61. 炮九进三
 马７进６
63. 帅六平五
 马６进４
65. 仕五退六
 炮４平５
67. 马八进六
 车２退９
69. 马六进八
 马４退６
71. 马八退七
 后士进５
73. 兵九进一
 马６进５
75. 相三进五
 马５退４"
4	2014年广东顺德龙江第三届东信石材竹园居杯象棋公开赛	9	20140215	龙江瑞驹汽修	王帆	先负	赵汝权	聚龙阁海鲜酒家	54	...	藍小朋友	...	786	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 兵三进一
 卒１进１
11. 炮八平七
 马３进２
13. 车九进一
 马２进１
15. 炮七进三
 卒１进１
17. 车九平六
 车１进４
19. 炮七进一
 士６进５
21. 马三进四
 车１平６
23. 车六进三
 炮２平４
25. 车二进六
 象７进５
27. 炮五平四
 车６平３
29. 炮七平九
 马１进３
31. 车六平九
 马３退５
33. 相七进五
 马５退６
35. 炮四进三
 车３平６
37. 炮九平三
 炮８平９
39. 车二进三
 马７退８
41. 马四退三
 炮９平７
43. 车九平四
 车６平１
45. 马九进八
 马８进９
47. 马三进二
 车１平８
49. 兵三进一
 炮７进２
51. 炮三平四
 炮７平５
53. 仕六进五
 马９进７"
5	2014年广西北流新圩第7届大地杯象棋公开赛	11	20140211	湖北省	王帆	先负	蔡佑广	广东省	76	...	组委会	...	652	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 兵三进一
 车１进１
11. 炮八进四
 马３进２
13. 车九进一
 车１平４
15. 炮八平三
 象７进５
17. 车九平四
 卒３进１
19. 兵七进一
 炮２平３
21. 车四平八
 马２进４
23. 车二进三
 炮８平９
25. 车二进六
 马７退８
27. 车八平六
 车４平７
29. 车六进三
 车７进２
31. 马三进四
 炮３进７
33. 仕六进五
 车７平８
35. 兵三进一
 车８进２
37. 炮五进四
 士６进５
39. 帅五平六
 将５平６
41. 相三进五
 炮３退２
43. 炮五平六
 象５进７
45. 马四进六
 车８退２
47. 车六平四
 炮９平６
49. 车四进二
 车８平６
51. 马六进四
 马８进７
53. 兵五进一
 马７进６
55. 炮六平一
 马６进７
57. 马九进七
 炮６平３
59. 马四退六
 后炮平４
61. 马六进四
 炮４进４
63. 相五退三
 卒１进１
65. 炮一平三
 马７进６
67. 兵九进一
 卒１进１
69. 马七进九
 马６退８
71. 帅六平五
 马８退６
73. 马九进八
 炮４平９
75. 马四进三
 炮３平２"
6	2013年“高新杯”象棋全国冠军争霸赛(10+0)	2	20131202	上海	胡荣华	先负	赵国荣	黑龙江	64	...	象棋大师网	...	9525	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 车二进四
 卒７进１
11. 炮八平七
 马３进２
13. 兵九进一
 象３进５
15. 马九进八
 炮８平９
17. 车二进五
 马７退８
19. 马八进六
 士４进５
21. 马六进四
 炮９平６
23. 炮五进四
 车１平４
25. 马四退五
 车４进５
27. 相七进五
 马２进３
29. 车九平八
 马３进１
31. 车八进六
 马１进３
33. 帅五进一
 将５平４
35. 帅五平四
 马８进７
37. 炮五平三
 马３退５
39. 仕四进五
 将４平５
41. 炮七平六
 马５退７
43. 马五退三
 车４平６
45. 炮六平四
 卒７进１
47. 前马进一
 卒７进１
49. 马一退三
 车６平７
51. 炮四平九
 车７平６
53. 炮九平四
 车６平２
55. 车八平四
 车２平７
57. 前马进五
 车７退２
59. 炮四进五
 车７平６
61. 马五进四
 炮２平６
63. 马四退六
 马７进８"
7	2013年上海市第三届“小丽杯”象棋公开赛	7	20131110	上海	陈培荣	先负	王少生	上海	78	...	康城棋社	...	486	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒３进１
7. 车二进四
 马２进３
9. 兵七进一
 卒３进１
11. 车二平七
 卒７进１
13. 炮五平七
 马３退５
15. 相七进五
 马７进６
17. 马八进六
 炮２平４
19. 车九平八
 马６退４
21. 车七进二
 炮４进６
23. 炮八进四
 炮８进１
25. 车八进一
 炮４退１
27. 车八平二
 炮４平７
29. 炮七平三
 卒５进１
31. 车七退一
 炮８进３
33. 兵三进一
 卒７进１
35. 相五进三
 车１进２
37. 车七平五
 车１平５
39. 车五进二
 象７进５
41. 后相进五
 马５进３
43. 炮八平一
 马４进６
45. 炮一进三
 炮８退１
47. 炮三平一
 马３进５
49. 仕四进五
 象５退７
51. 兵五进一
 马６进７
53. 车二进二
 马７退５
55. 前炮平三
 车８平７
57. 车二进一
 后马进３
59. 车二退一
 车７进５
61. 车二平五
 车７进２
63. 炮一退一
 士６进５
65. 相五进七
 车７平３
67. 相七退五
 车３平２
69. 炮一进一
 车２退１
71. 车五平八
 马３进２
73. 相五退七
 将５平６
75. 炮一平八
 马５进７
77. 兵九进一
 马７退５"
8	2013年上海市第三届“小丽杯”象棋公开赛	1	20131109		朱荣瑞	先负	张泽海	辽宁	104	...	康城棋社	...	300	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 兵三进一
 卒１进１
11. 车九进一
 卒１进１
13. 兵九进一
 车１进５
15. 车九平四
 车１平４
17. 车四进三
 车４进２
19. 炮八退二
 马３进４
21. 车四进四
 炮２平４
23. 仕四进五
 车４平２
25. 炮五平四
 炮８进５
27. 帅五平四
 炮８平６
29. 车二进九
 马７退８
31. 车四退六
 车２平６
33. 仕五进四
 马４进５
35. 马三进二
 马５退７
37. 仕六进五
 卒７进１
39. 相七进五
 马７进５
41. 炮八进三
 马５进３
43. 马二进一
 象７进５
45. 马九进八
 士６进５
47. 马八进六
 马８进６
49. 马一退二
 炮４平２
51. 炮八进三
 马３进１
53. 兵一进一
 马１退２
55. 兵一进一
 马２进３
57. 兵一平二
 卒５进１
59. 兵二平三
 象５进７
61. 马六进七
 士５进４
63. 兵七进一
 象７退５
65. 兵七进一
 象５进３
67. 炮八平一
 马６进５
69. 马七退六
 前士退５
71. 炮一退五
 马３退４
73. 马二进三
 炮２平８
75. 炮一平二
 马５进７
77. 马六退五
 卒５进１
79. 马五退三
 炮８平１
81. 相五进三
 卒５平６
83. 后相进五
 卒６进１
85. 炮二进四
 后象进５
87. 前马退五
 马７进５
89. 炮二退一
 马４退５
91. 炮二平五
 马５进７
93. 马三进四
 马７进９
95. 马四进五
 马９进８
97. 帅四平五
 卒６进１
99. 炮五平八
 卒６平５
101. 炮八进五
 象５退３
103. 马五退七
 炮１平５"
9	2013年“孚日家纺杯”全国象棋女子甲级联赛预赛	4	20131031	上海九城	董嘉琦	先负	赵冠芳	云南省棋类协会	86	...	中国象棋协会	...	774	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒３进１
7. 车二进四
 马２进３
9. 兵七进一
 卒３进１
11. 车二平七
 炮２退１
13. 炮八平七
 车１进２
15. 车七平八
 炮２平７
17. 车九进一
 象７进５
19. 车九平四
 卒７进１
21. 炮五平六
 士４进５
23. 车四进七
 炮７退１
25. 相七进五
 马７进８
27. 马八进九
 炮７进６
29. 车四退五
 车８平７
31. 相三进一
 卒７进１
33. 相一进三
 马３进４
35. 车八进一
 车７进４
37. 炮七退一
 车１平２
39. 车八进二
 炮８平２
41. 炮七平六
 马４进２
43. 马九进七
 车７进１
45. 车四进二
 车７退１
47. 车四平三
 象５进７
49. 马七进五
 象７退５
51. 马五进六
 炮２平４
53. 前炮进五
 士５进４
55. 兵九进一
 马２退４
57. 炮六平九
 马４进６
59. 马三退一
 马６进５
61. 仕六进五
 炮７退３
63. 马六退七
 马５进３
65. 帅五平六
 马８进９
67. 仕五进六
 马９退８
69. 炮九平八
 炮７进２
71. 仕六退五
 炮７平４
73. 马一进二
 马８进７
75. 炮八进八
 象３进１
77. 马七进八
 士６进５
79. 马八进七
 将５平６
81. 马七退五
 马７退６
83. 马五进三
 马６进５
85. 马二进四
 炮４退２"
10	2013年广东东莞凤岗镇象棋赛公开赛第三季度	5	20131005	个人	杨小平	先负	蔡佑广	个人	64	...	凤岗棋协	...	1244	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进九
 卒３进１
9. 车二进四
 卒７进１
11. 车九进一
 象３进５
13. 炮八平六
 炮８平９
15. 车二平八
 车１平２
17. 兵三进一
 车８进４
19. 车九平四
 炮２平１
21. 车八进五
 马３退２
23. 车四进三
 马２进３
25. 炮六进一
 卒１进１
27. 炮五平六
 卒７进１
29. 车四平三
 马７进６
31. 相三进五
 炮１退１
33. 仕六进五
 炮９平７
35. 马三进四
 炮７平６
37. 马四退三
 炮６平７
39. 马三进四
 象５进７
41. 车三平一
 车８退１
43. 马四退二
 前象退５
45. 马二进四
 炮１平９
47. 车一平三
 炮９平７
49. 车三平一
 马６进８
51. 前炮进一
 马８进６
53. 帅五平六
 卒５进１
55. 前炮退一
 马６退８
57. 相五进三
 后炮进４
59. 后炮平二
 前炮平９
61. 炮二进四
 炮７进７
63. 帅六进一
 炮９平６"
