比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年上海第四届“同峰杯”象棋大赛	3	20140307	山西	周军	先负	赵勇霖	山东	50	五七炮对反宫马左横车	钱宇新	打虎将	863	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 炮八进四
 卒３进１
11. 炮八平三
 象７进５
13. 车九进一
 车９平４
15. 车九平四
 士４进５
17. 车二进八
 车１平２
19. 马八进九
 炮２进６
21. 车四平七
 炮６进６
23. 车七平四
 将５平４
25. 仕四进五
 炮２平６
27. 车二平四
 车４进４
29. 相三进一
 炮６平７
31. 炮五平六
 将４平５
33. 相七进五
 卒５进１
35. 车四退七
 车２进８
37. 车四进五
 卒５进１
39. 兵三进一
 炮７退４
41. 车四平七
 马３进５
43. 马三进二
 卒５进１
45. 马二进四
 车４退１
47. 马四退五
 车４平５
49. 马五进三
 车５进３"
2	2014年重庆合川第五届“隆兴煤业杯”象棋公开赛	7	20140111	四川	代兵	先负	周杰	丰都	50	...	组委会	...	1216	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 马八进九
 车９平４
11. 仕四进五
 车４进４
13. 相三进一
 士４进５
15. 炮八平七
 车１平２
17. 车九平八
 炮２进６
19. 炮七进四
 炮６平４
21. 车二平四
 象７进５
23. 车四进四
 车４退２
25. 炮五平七
 将５平４
27. 兵九进一
 炮２退１
29. 马三进二
 炮４进７
31. 仕五退六
 车４进６
33. 帅五进一
 车４退１
35. 帅五退一
 车２进１
37. 后炮平四
 炮２退３
39. 马二进三
 车２平４
41. 炮四退二
 炮２平８
43. 炮四平二
 前车平８
45. 炮二平三
 车４进７
47. 帅五平四
 车８平６
49. 车四退三
 炮８进５"
3	2013年穂港圣诞杯团体邀请赛	2	20131226	元朗象棋会	袁伟祥	先负	周耀荣	滨江棋艺社	50	...	滨江棋艺社	...	1074	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 马八进九
 象３进５
11. 炮八平七
 车９平４
13. 车九平八
 车１平２
15. 仕四进五
 车４进４
17. 相三进一
 士４进５
19. 车二进六
 炮２进１
21. 车二平三
 马７退８
23. 车三平二
 马８进９
25. 车二退一
 卒３进１
27. 兵一进一
 卒１进１
29. 车二平四
 马９退７
31. 车四退一
 车４退１
33. 车四退四
 马７进８
35. 车八进四
 马８进６
37. 车四平二
 卒３进１
39. 车八平七
 炮２退２
41. 马三进四
 车４平２
43. 车七平五
 炮２平４
45. 炮七进五
 炮６平３
47. 车五平七
 炮３进２
49. 兵三进一
 马６退４"
4	2013年上海市第三届“小丽杯”象棋公开赛	2	20131109	个人	姜曾来	先负	恽伟光	河北	66	...	康城棋社	...	361	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 马八进九
 车９平４
11. 仕四进五
 车４进４
13. 兵五进一
 士４进５
15. 炮八平六
 车１平２
17. 车九平八
 象３进５
19. 车二进三
 卒３进１
21. 车八进六
 炮６进１
23. 车八退三
 卒１进１
25. 马九退七
 车４平５
27. 马三进五
 车５平６
29. 炮五平三
 卒５进１
31. 兵三进一
 卒５进１
33. 车八进一
 炮２进２
35. 炮六平五
 炮６平３
37. 车二进四
 马７进５
39. 车八平五
 卒３进１
41. 车五平四
 马５进６
43. 炮五平八
 炮２平５
45. 马七进五
 卒３进１
47. 前马进七
 马６进７
49. 炮八平三
 车２进８
51. 炮三退一
 车２退１
53. 相七进九
 炮５平２
55. 马七进五
 炮３平５
57. 炮三进一
 炮５进４
59. 相三进五
 车２平５
61. 兵三进一
 车５平７
63. 车二退四
 车７平１
65. 车二平七
 马３进４"
5	2013年石狮·爱乐杯全国象棋个人赛女子组	7	20131111	云南省象棋队	孙文	先负	董波	火车头棋牌俱乐部	56	五七炮对反宫马右直车	中国象棋协会	...	1105	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 马八进九
 卒７进１
9. 炮八平七
 车１平２
11. 车九平八
 马７进６
13. 车八进四
 象７进５
15. 车二进六
 士６进５
17. 炮七进四
 车９平６
19. 车二平三
 炮２进２
21. 兵九进一
 马６进７
23. 炮五平七
 炮６进５
25. 仕六进五
 炮６平１
27. 相七进九
 象３进１
29. 兵七进一
 马７退６
31. 相九退七
 车６进２
33. 后炮退一
 车６平７
35. 车三平四
 车７平６
37. 车四进一
 士５进６
39. 马三进四
 卒７进１
41. 马四进六
 马６进５
43. 兵七进一
 炮２平４
45. 车八进五
 炮４平７
47. 相七进五
 马３退２
49. 兵七平八
 卒９进１
51. 仕五进六
 卒７进１
53. 兵八进一
 马２进４
55. 前炮平九
 卒５进１"
6	2013年“孚日家纺杯”全国象棋女子甲级联赛预赛	1	20131029	云南省棋类协会	孙文	先负	伍霞	江苏棋院	54	...	中国象棋协会	认识打虎...	505	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 马八进九
 卒７进１
9. 炮八平七
 车１平２
11. 车九平八
 炮２进４
13. 车二进四
 马７进６
15. 兵九进一
 象７进５
17. 马九进八
 卒７进１
19. 车二平三
 炮２平５
21. 仕六进五
 炮５退２
23. 炮七进四
 车９平８
25. 车八进二
 车８进７
27. 炮七平一
 士６进５
29. 炮一进三
 将５平６
31. 帅五平六
 车８平７
33. 炮五平四
 炮６进５
35. 车三平四
 马３进４
37. 车四进一
 将６平５
39. 车八平四
 车７平６
41. 车四退三
 车２进５
43. 车四平二
 将５平６
45. 车二平四
 将６平５
47. 相三进五
 马４进３
49. 车四进一
 马３进２
51. 帅六平五
 马２退４
53. 帅五平六
 车２平４"
7	2013年山西省澳瑞特杯象棋锦标赛	11	20131028	原平市团体	陈宇光	先负	焦志强	伟厦广业团体	48	五七炮对反宫马左横车	并州魔剑	打虎将	763	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 兵七进一
 车９平４
11. 炮五平四
 车１进１
13. 马八进七
 车１平３
15. 相三进五
 卒３进１
17. 兵七进一
 卒５进１
19. 炮八平九
 马３进５
21. 车九平八
 马５进３
23. 仕四进五
 卒５进１
25. 兵五进一
 炮２平５
27. 炮四退一
 车４进５
29. 兵五进一
 车４平６
31. 炮四进六
 马３进４
33. 车八进一
 车３进６
35. 车八平六
 马４退５
37. 炮四退三
 车３平５
39. 车二平三
 车５平３
41. 车六进四
 马５进４
43. 炮四平五
 士４进５
45. 车三平四
 马４进３
47. 车六退四
 车６平４"
8	2013年山西省澳瑞特杯象棋锦标赛	2	20131025	晋城团体二队	沈岩强	先负	梁辉远	永宁建设团体	86	...	并州魔剑	...	353	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 车９进１
9. 马八进九
 车９平４
11. 炮八平七
 车４进４
13. 车二进四
 车１平２
15. 车九平八
 炮６平４
17. 仕四进五
 炮２进６
19. 炮七进四
 车４退２
21. 炮五平七
 象３进５
23. 相三进五
 车２进７
25. 兵九进一
 车４进５
27. 兵三进一
 卒７进１
29. 车二平八
 车２退２
31. 马九进八
 炮４退１
33. 后炮平六
 炮４平２
35. 炮七平六
 车４平３
37. 马八退九
 后炮进８
39. 马九退七
 马３进２
41. 前炮进一
 马７进６
43. 兵七进一
 士４进５
45. 前炮进一
 马２进３
47. 马三进四
 马３进１
49. 马七进六
 马１进３
51. 后炮退一
 马３退４
53. 马四退六
 后炮退２
55. 兵五进一
 后炮平９
57. 马六退四
 炮９平６
59. 前炮退三
 炮２退４
61. 兵七进一
 马６进４
63. 相五进七
 马４进３
65. 前相退五
 象５进３
67. 马四进二
 象３退５
69. 马二退三
 炮６平３
71. 后炮进一
 炮２进３
73. 仕五进四
 卒７进１
75. 马三进一
 炮３平６
77. 前炮退二
 卒９进１
79. 前炮平五
 马３退４
81. 马一退三
 卒７平６
83. 炮五平六
 马４进２
85. 马三进四
 卒６进１"
9	2013年“碧桂园杯”第13届世界象棋锦标赛男子个人	6	20131024	英国	陈发佐	先负	牟海勤	美东	96	五七炮对反宫马	世界象棋联合会	...	690	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 马八进九
 卒７进１
9. 炮八平六
 象３进５
11. 车九平八
 炮２平１
13. 车二进六
 士４进５
15. 车二平三
 马７退８
17. 炮五进四
 马８进９
19. 车三平四
 马３进５
21. 车四平五
 卒３进１
23. 车八进四
 车１平４
25. 仕六进五
 车９平８
27. 相三进五
 车８进６
29. 兵三进一
 车８平７
31. 兵三进一
 炮６平７
33. 兵九进一
 卒９进１
35. 兵一进一
 车７退２
37. 马三进一
 马９进８
39. 车五平二
 马８进９
41. 车二退三
 炮７平８
43. 车二平一
 炮８进７
45. 相五退三
 炮８平６
47. 相七进五
 炮６退１
49. 车一退三
 卒１进１
51. 兵一进一
 车７进２
53. 兵五进一
 炮６退２
55. 马九退八
 炮６平５
57. 炮六进二
 炮１进３
59. 炮六平九
 卒１进１
61. 车八平九
 炮５进２
63. 车一进一
 炮５平７
65. 车九退三
 车７平４
67. 车九平六
 前车进２
69. 马八进六
 车４进８
71. 兵七进一
 炮７平８
73. 车一进三
 卒３进１
75. 相五进七
 车４退３
77. 相三进五
 炮８退５
79. 兵一平二
 炮８平５
81. 帅五平四
 车４进１
83. 车一退二
 车４平６
85. 帅四平五
 车６平５
87. 车一进二
 炮５平２
89. 车一平四
 炮２进２
91. 兵二进一
 炮２平５
93. 帅五平四
 象５退３
95. 兵二平三
 炮５退３"
10	2013年“碧桂园杯”第13届世界象棋锦标赛男子个人	3	20131023	法国	泽维尔	先负	牟海勤	美东	44	...	世界象棋联合会	...	388	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 马八进九
 卒７进１
9. 车二进四
 车９平８
11. 车二平四
 士４进５
13. 炮八平七
 炮２进２
15. 车四进二
 马７进８
17. 车四平三
 象３进５
19. 车九平八
 炮２平３
21. 炮七进三
 卒３进１
23. 兵三进一
 马８退９
25. 车三进一
 车８进６
27. 马三进四
 车８平６
29. 车八进四
 卒３进１
31. 车八平七
 车６进３
33. 帅五进一
 车１平２
35. 马四退六
 车６平４
37. 马六退七
 车２平４
39. 炮五平一
 后车进８
41. 帅五进一
 前车平５
43. 帅五平四
 车５平７"
