比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	7	20140511	盐城	吴兆华	先负	董建平	南京	68	中炮对反宫马后补左马	钱宇新	打虎将	103	"1. 炮二平五 *
 马２进３
3. 马二进三
 卒７进１
5. 车一平二
 炮８平６
7. 车二进八
 士４进５
9. 炮八平六
 象３进５
11. 马八进七
 炮２退１
13. 车二退二
 马８进７
15. 车九平八
 炮２平４
17. 炮五进四
 马３进５
19. 车二平五
 炮６进５
21. 车五平三
 炮６平３
23. 马三退五
 炮３进１
25. 车八进一
 炮３平４
27. 车三进一
 车９平８
29. 炮六进二
 前炮退１
31. 炮六平五
 车１平４
33. 马五进四
 后炮进１
35. 车三退一
 车８进６
37. 车三平六
 车８平７
39. 马四进五
 后炮平３
41. 车六平七
 炮４平３
43. 车七平八
 车４进４
45. 马五进三
 车７平５
47. 后车平五
 车５平４
49. 车五平八
 将５平４
51. 炮五退二
 前车进３
53. 帅五进一
 前车平６
55. 前车退一
 车４进５
57. 马三退五
 前炮进１
59. 炮五进一
 车４退１
61. 帅五进一
 车６平７
63. 炮五平四
 车７退２
65. 炮四退一
 车７进１
67. 马五退四
 车７平５"
2	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	北京	王晓琪	先负	李洪金	徐州	92	中炮对反宫马	钱宇新	-	97	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进９
7. 兵七进一
 车９进１
9. 炮八进四
 车９平４
11. 炮八平五
 马３进５
13. 炮五进四
 车４进２
15. 炮五退二
 马９退７
17. 炮五平三
 车１进１
19. 车二进八
 车１平４
21. 仕六进五
 卒７进１
23. 炮三进四
 卒７进１
25. 兵三进一
 炮６平５
27. 相七进五
 炮２退１
29. 车二退一
 炮２平７
31. 车二平三
 炮７平５
33. 马八进七
 前车平６
35. 车九平六
 前炮进５
37. 相三进五
 炮５进６
39. 仕五进四
 车４进８
41. 马七退六
 炮５平７
43. 车三平六
 车６进４
45. 车六退一
 车６退１
47. 车六平五
 象７进５
49. 兵三进一
 炮７进２
51. 仕四进五
 车６平９
53. 马六进七
 卒９进１
55. 兵三进一
 车９平７
57. 兵三平四
 炮７平９
59. 帅五平六
 车７进３
61. 帅六进一
 车７平３
63. 马七进六
 车３退４
65. 马六进七
 卒９进１
67. 仕五进六
 士６进５
69. 马七进六
 卒９进１
71. 车五退二
 车３退４
73. 马六退五
 车３进７
75. 帅六退一
 卒９进１
77. 车五平二
 卒９进１
79. 车二进五
 士５退６
81. 兵四进一
 卒９平８
83. 车二平一
 卒８进１
85. 车一退九
 卒８平９
87. 马五退六
 车３退２
89. 马六进四
 车３平１
91. 兵四进一
 车１进３"
3	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	1	20140510	四川	李先进	先负	栾乃武	镇江	98	...	钱宇新	-	87	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 卒３进１
9. 炮八平六
 车１平２
11. 马八进七
 车９进１
13. 炮六进四
 象７进５
15. 炮六平三
 车９平４
17. 炮五平四
 车４进４
19. 相七进五
 炮６进４
21. 车二进四
 炮６平３
23. 仕六进五
 炮２进１
25. 车二进二
 卒５进１
27. 车二进一
 马７进５
29. 炮三进二
 象５退７
31. 炮三平一
 车２进１
33. 炮一进一
 车２平９
35. 炮一平二
 炮２退１
37. 车二退二
 炮２进２
39. 车二进一
 马５退７
41. 车九平六
 车４进４
43. 仕五退六
 车９平６
45. 仕六进五
 马３进５
47. 兵一进一
 炮２退１
49. 车二退二
 车６进５
51. 炮二退三
 炮２退１
53. 炮二平三
 象７进５
55. 车二进二
 卒５进１
57. 炮三平一
 马５进４
59. 炮一进三
 象５退７
61. 车二平六
 士４进５
63. 炮一退四
 马７进６
65. 炮四进三
 车６退２
67. 兵五进一
 马４进３
69. 车六退四
 马３退１
71. 车六平八
 炮２平１
73. 车八进一
 炮３进２
75. 马三进五
 卒３进１
77. 马五进七
 车６平２
79. 车八进二
 马１退２
81. 兵三进一
 马２进３
83. 兵五进一
 象３进５
85. 兵三平四
 炮１平２
87. 马七进八
 炮３平２
89. 炮一平二
 卒１进１
91. 兵一进一
 卒１进１
93. 兵五进一
 前炮进１
95. 相五进七
 卒１平２
97. 相三进五
 前炮退６"
4	2014年四川成都“惠丰杯”街子古镇象棋公开赛	9	20140506	四川	曾军	先负	侯文博	河北	64	中炮过河车对反宫马	一蓑烟雨任平生	打虎将	1085	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 炮八进四
 象３进５
11. 马八进七
 士４进５
13. 炮八平五
 马３进５
15. 炮五进四
 车１平３
17. 车九平八
 卒３进１
19. 兵七进一
 车３进４
21. 马三退五
 车９进２
23. 车八进六
 车９平８
25. 车二进七
 炮６平８
27. 炮五平三
 炮２平３
29. 马七进八
 炮８进４
31. 兵五进一
 炮８平１
33. 马五进六
 炮３进７
35. 帅五进一
 车３进１
37. 相三进五
 炮３平１
39. 帅五平四
 车３平４
41. 兵五进一
 卒１进１
43. 兵五平六
 后炮平２
45. 马八进七
 车４进１
47. 马七退五
 炮１平２
49. 车八平九
 车４退２
51. 车九进三
 车４退４
53. 车九退四
 马７进５
55. 帅四平五
 马５进３
57. 相五进七
 后炮平５
59. 兵三进一
 马３进５
61. 兵三进一
 炮５退２
63. 车九平五
 马５退７"
5	2014年重庆忠县首届“体彩杯”象棋公开赛	1	20140430	忠县石子	黄学江	先负	罗邦鹏	重庆1	68	中炮对反宫马	组委会	...	113	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵三进一
 卒３进１
9. 马八进九
 象７进５
11. 马三进四
 士６进５
13. 马四进五
 马３进５
15. 炮五进四
 卒１进１
17. 炮八平五
 炮２进４
19. 车九平八
 炮２平５
21. 仕六进五
 车１进３
23. 前炮平八
 车９平６
25. 车八进四
 炮６进４
27. 车二进七
 车６进３
29. 车八平五
 车６平５
31. 车五平四
 车１平２
33. 车二平三
 车５平６
35. 车四进二
 车２平６
37. 车三平二
 车６进１
39. 车二进二
 士５退６
41. 车二退三
 炮６平７
43. 车二退三
 车６进２
45. 帅五平六
 炮５退１
47. 马九退七
 车６平３
49. 炮五平一
 车３进２
51. 车二平三
 车３进１
53. 帅六进一
 卒３进１
55. 车三平五
 炮５平４
57. 炮一进四
 卒３进１
59. 炮一进三
 士６进５
61. 车五平二
 卒３平４
63. 仕五进六
 车３退１
65. 帅六退一
 卒４进１
67. 帅六平五
 卒４进１"
6	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	6	20140502	扬州	马宏伟	先负	言缵昭	南京	80	中炮过河车对反宫马	钱宇新	...	105	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 马八进七
 象３进５
11. 炮八进四
 士４进５
13. 炮八平五
 马３进５
15. 炮五进四
 卒３进１
17. 兵七进一
 车１平３
19. 车九平八
 车３进４
21. 马三退五
 车９平８
23. 车二进九
 马７退８
25. 马七进六
 马８进７
27. 马五进七
 马７进８
29. 车八进五
 车３平２
31. 马六进八
 马８进７
33. 马八进六
 炮２平４
35. 炮五平九
 炮６平９
37. 炮九平一
 炮９进４
39. 兵五进一
 马７进６
41. 仕六进五
 马６退８
43. 相七进五
 马８退６
45. 仕五进四
 卒７进１
47. 后仕进五
 炮９进３
49. 仕五退四
 卒７进１
51. 马七进五
 马６退７
53. 炮一进三
 卒７平６
55. 马五进七
 马７进８
57. 马六退四
 卒６进１
59. 相五退七
 马８进７
61. 帅五平六
 炮４退１
63. 炮一退三
 炮９平６
65. 兵五进一
 炮６平３
67. 兵五进一
 士５进４
69. 兵五平六
 炮３平７
71. 炮一平五
 士４退５
73. 兵六平七
 卒６平５
75. 帅六进一
 炮７平９
77. 马四退三
 炮９退１
79. 马三退二
 马７退６"
7	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	1	20140501	安徽	张勉	先负	孙文洁	扬州	92	...	钱宇新	...	121	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 炮八进四
 象３进５
11. 炮八平五
 马３进５
13. 炮五进四
 士６进５
15. 马八进七
 卒３进１
17. 兵七进一
 车１平３
19. 马七进六
 车３进４
21. 车二进四
 车９平８
23. 车二进五
 马７退８
25. 车九平八
 车３平４
27. 马六退五
 马８进７
29. 车八进六
 车４平３
31. 相七进九
 卒１进１
33. 炮五平三
 炮２平３
35. 兵五进一
 车３进３
37. 马三进五
 车３平１
39. 前马进七
 炮６进６
41. 帅五进一
 炮６退２
43. 车八退三
 炮６平９
45. 车八进四
 炮３进２
47. 炮三平九
 马７进６
49. 兵五进一
 马６进５
51. 马七退五
 车１进１
53. 帅五退一
 炮３进５
55. 仕六进五
 炮９平５
57. 车八退四
 炮３退３
59. 车八退三
 炮３平７
61. 炮九平五
 炮５退３
63. 兵五进一
 炮７平５
65. 帅五平六
 车１退２
67. 车八进二
 卒７进１
69. 车八平六
 炮５退２
71. 车六进二
 卒７进１
73. 马五进四
 炮５平７
75. 相三进五
 车１进３
77. 帅六进一
 卒７平６
79. 兵五平四
 炮７进４
81. 仕五进六
 车１平６
83. 兵四平三
 卒６进１
85. 马四退二
 车６退１
87. 帅六退一
 卒６平５
89. 马二退三
 车６平７
91. 兵三平四
 卒１进１"
8	2014年上海第四届“同峰杯”象棋大赛	7	20140308	宁夏	蔡海杭	先负	姜晓	江西	128	中炮急进左马对反宫马	红蓝飘火	...	458	"1. 炮二平五 *
 马２进３
3. 兵七进一
 马８进７
5. 马二进三
 车９平８
7. 兵三进一
 炮２进３
9. 马八进七
 炮２平７
11. 马七进六
 卒７进１
13. 炮八进四
 士６进５
15. 炮八平五
 马３进５
17. 马六进五
 马７进６
19. 车一平二
 炮８进４
21. 车九平八
 马６进７
23. 马五退四
 车１进２
25. 炮五平四
 车１平８
27. 车八进三
 象７进５
29. 相三进五
 炮７进２
31. 马四退三
 马７进５
33. 车八退二
 马５退３
35. 车八平四
 卒７进１
37. 马三退一
 炮８退２
39. 炮四平五
 炮８平７
41. 车二进七
 车８进２
43. 车四平七
 马３进５
45. 相七进五
 卒７进１
47. 兵五进一
 车８进５
49. 相五进三
 车８退２
51. 兵五进一
 车８平７
53. 兵五平四
 炮７退２
55. 车七进二
 炮７平９
57. 马一退三
 炮９进４
59. 马三进四
 车７退２
61. 车七退一
 炮９进３
63. 帅五进一
 卒７平６
65. 马四进二
 车７进３
67. 车七平一
 炮９平８
69. 马二退一
 车７进２
71. 帅五进一
 卒６平５
73. 帅五平四
 炮８退９
75. 车一进四
 炮８平６
77. 兵四平五
 车７退４
79. 帅四退一
 车７平５
81. 帅四平五
 卒５平６
83. 帅五平六
 车５平４
85. 帅六平五
 车４进５
87. 车一平四
 车４平１
89. 马一进三
 卒６平７
91. 马三进五
 车１退３
93. 马五进三
 卒７进１
95. 马三进二
 车１平７
97. 车四进二
 车７退３
99. 马二进三
 卒１进１
101. 帅五退一
 卒１进１
103. 马三退一
 车７退１
105. 马一退二
 车７进２
107. 马二进一
 卒１平２
109. 车四退二
 卒２平３
111. 车四平七
 卒３平４
113. 马一退三
 卒７平６
115. 马三进二
 卒６进１
117. 马二进四
 士５退６
119. 车七平四
 车７平２
121. 仕四进五
 车２进５
123. 仕五退六
 车２退１
125. 车四平六
 车２平４
127. 车六平五
 车４退２"
9	2014年上海第四届“同峰杯”象棋大赛	6	20140308	贵州	陈柳刚	先负	王廓	上海财大	50	中炮过河车对反宫马	钱宇新	...	579	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 炮八平七
 象３进５
11. 炮七进四
 炮２进６
13. 炮五平七
 车１平２
15. 相七进五
 马７进６
17. 车二进四
 车９进１
19. 兵七进一
 象５进３
21. 车二平七
 象３退５
23. 仕六进五
 炮２平３
25. 后炮平六
 炮３退５
27. 车七进二
 车２进８
29. 帅五平六
 马６进７
31. 炮六平七
 车９平４
33. 帅六平五
 车４进１
35. 炮七进一
 马７退６
37. 兵五进一
 马６进４
39. 车七退二
 马４进３
41. 马三进四
 后马进４
43. 马四进五
 马４进５
45. 车七进二
 车４平２
47. 马八进六
 前车平４
49. 马五进三
 车２进６"
10	2014年上海第四届“同峰杯”象棋大赛	1	20140307	山西	王猛	先负	赵勇霖	山东	72	...	组委会	...	551	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 车９进１
9. 兵三进一
 炮２平１
11. 炮八平七
 象３进５
13. 炮七进四
 卒７进１
15. 兵三进一
 象５进７
17. 马八进七
 车１平２
19. 车二进四
 车２进４
21. 车九平八
 车２进５
23. 马七退八
 马７进６
25. 马八进七
 前象退５
27. 车二进一
 马６进７
29. 车二进二
 炮６进２
31. 车二退四
 车９平７
33. 炮五平六
 炮６进２
35. 车二进三
 炮１进４
37. 马七进九
 炮６平１
39. 车二平一
 卒１进１
41. 车一退一
 卒１进１
43. 兵七进一
 车７进４
45. 相三进五
 车７平２
47. 仕四进五
 炮１进３
49. 相五退三
 马３进１
51. 炮六进四
 马１退２
53. 炮七平五
 士４进５
55. 车一平三
 车２进４
57. 相三进五
 马７进５
59. 相七进五
 车２退６
61. 相五退七
 车２平４
63. 车三平五
 马２进４
65. 帅五平四
 车４平１
67. 兵七进一
 车１平３
69. 车五退一
 马４进３
71. 车五进一
 马３退５"
