比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年福建省板桥津点杯象棋锦标赛男子组	9	20131203	龙岩长汀县	王咏梅	先负	林文汉	厦门翔安区	48	中炮左边马对屏风马	中国第一棋迷	打虎将	52	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 炮８进４
11. 马三进四
 炮２进４
13. 兵三进一
 炮２平５
15. 仕六进五
 象３进５
17. 车二进三
 炮５平１
19. 车九平八
 炮１平８
21. 兵三进一
 马７退９
23. 马九进八
 车８进５
25. 马八进六
 马３进４
27. 炮八平九
 车１平３
29. 马四进六
 车８平７
31. 车八进六
 车７退２
33. 马六退四
 车７平８
35. 马四退二
 车８进３
37. 车八平五
 士４进５
39. 车五平九
 车８平３
41. 车九平一
 马９进７
43. 车一平三
 马７退８
45. 车三进三
 前车进３
47. 仕五退六
 将５平４"
2	2013年福建省板桥津点杯象棋锦标赛男子组	2	20131130	福州福清市	魏明华	先负	王永明	漳州长泰县	64	中炮七路马对屏风马	中国第一棋迷	...	45	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 炮八平六
 马２进３
9. 兵七进一
 士４进５
11. 马八进七
 象３进５
13. 车二进六
 马７进６
15. 车九平八
 车１平２
17. 车八进六
 车２平４
19. 仕六进五
 炮２退２
21. 车二退二
 车４进６
23. 车二平四
 马６退７
25. 车四进二
 炮８平９
27. 车四平三
 车８进２
29. 车八进一
 炮２平４
31. 车八平七
 炮４进７
33. 仕五进六
 车４进１
35. 马七退六
 车４进１
37. 车七平八
 将５平４
39. 仕四进五
 车８进６
41. 车八进二
 将４进１
43. 炮五平六
 炮９进４
45. 帅五平四
 炮９进２
47. 车八退一
 将４退１
49. 车八进一
 将４进１
51. 车八退四
 炮９平５
53. 车八平六
 士５进４
55. 帅四平五
 炮５平６
57. 车三进一
 炮６退１
59. 车六平八
 士４退５
61. 车八进三
 将４退１
63. 车八进一
 将４进１"
3	2014年第6届句容茅山半岛杯象棋冠军赛男子组预赛	2	20140517	黑龙江	陶汉明	先负	赵国荣	黑龙江	96	中炮左边马对屏风马	中国象棋协会	...	2446	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 象７进５
11. 车九进一
 车１进１
13. 兵七进一
 卒３进１
15. 车九平七
 马３进４
17. 车七进三
 马４退２
19. 车七退二
 炮２进５
21. 炮五平八
 马２退４
23. 车二进六
 车１平２
25. 相七进五
 炮８平９
27. 车二平三
 车８进２
29. 炮八退二
 炮９退２
31. 车三平四
 炮９平７
33. 马三进四
 象５进３
35. 车四平一
 车８进５
37. 车一退一
 马７进８
39. 马四进三
 后象进５
41. 兵五进一
 马８进７
43. 车一平四
 炮７进５
45. 车四退二
 炮７进４
47. 仕四进五
 马７进９
49. 马三退二
 炮７平９
51. 马二退一
 车８平９
53. 车四退一
 车９进１
55. 车七平六
 士４进５
57. 炮八平七
 车９平８
59. 帅五平四
 车２进４
61. 马九进七
 车８进１
63. 帅四进一
 车８退１
65. 帅四退一
 车８进１
67. 帅四进一
 车８退１
69. 帅四退一
 车８退２
71. 马七进六
 车２平５
73. 马六退四
 车８进３
75. 帅四进一
 车８退１
77. 帅四退一
 车８退３
79. 马四退三
 车８进４
81. 帅四进一
 车８退１
83. 帅四退一
 车５退１
85. 炮七进四
 车８进１
87. 帅四进一
 车５平８
89. 炮七平二
 前车退１
91. 帅四退一
 炮９退２
93. 车四进四
 后车进１
95. 车六进五
 后车进２"
4	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	9	20140511	安徽	王建鸣	先负	沈健	镇江	74	...	钱宇新	...	368	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒３进１
7. 马八进九
 马２进３
9. 炮八平七
 马３进２
11. 车二进六
 象３进５
13. 车九进一
 士４进５
15. 车九平六
 卒７进１
17. 兵五进一
 炮８平９
19. 车二平三
 卒１进１
21. 兵五进一
 卒５进１
23. 车三平八
 马２进１
25. 车八进一
 马１进３
27. 车八退五
 卒１进１
29. 车八平七
 卒１进１
31. 马九退七
 卒５进１
33. 兵七进一
 车８进６
35. 车六进二
 卒７进１
37. 兵七进一
 车８平７
39. 车六平三
 卒７进１
41. 马三退二
 炮９进４
43. 车七进二
 卒５进１
45. 炮五平一
 车１平３
47. 兵七进一
 炮９平８
49. 兵七进一
 马７进６
51. 兵七进一
 马６退４
53. 车七进二
 车３进１
55. 车七平六
 车３进７
57. 仕四进五
 车３进１
59. 车六平一
 车３退４
61. 车一平九
 卒１平２
63. 炮一进四
 卒２平３
65. 炮一平五
 将５平４
67. 马二进一
 炮８进１
69. 车九退四
 卒７平８
71. 炮五平九
 炮８平３
73. 仕五退四
 卒８进１"
5	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	3	20140510	盐城	周群	先负	金华	贵州	128	...	钱宇新	...	70	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 马八进七
 卒３进１
9. 兵三进一
 象７进５
11. 车九进一
 炮２平１
13. 炮八进四
 车１平２
15. 炮八平七
 士６进５
17. 车二进六
 车２进３
19. 炮七平三
 车２进２
21. 兵五进一
 马３进４
23. 车九平六
 马４进３
25. 车六进二
 卒３进１
27. 马三进五
 车２退１
29. 相七进九
 马３进１
31. 炮五平九
 车２进３
33. 炮九进四
 车２平３
35. 车六进六
 士５退４
37. 马五退七
 炮８平９
39. 车二进三
 马７退８
41. 炮九平六
 炮９进４
43. 炮三平四
 炮１平３
45. 炮六平七
 马８进６
47. 兵九进一
 炮９退１
49. 兵三进一
 马６进８
51. 炮四平二
 象５进７
53. 炮七进三
 士４进５
55. 马七退五
 卒３平４
57. 马五进四
 象７退５
59. 炮七平八
 卒４平５
61. 炮八退二
 炮３进７
63. 帅五进一
 马８退６
65. 兵九进一
 炮３退４
67. 炮八退一
 卒９进１
69. 兵九平八
 炮９平６
71. 马四进二
 前卒进１
73. 马二进四
 炮３平５
75. 帅五平六
 炮５退１
77. 炮八平六
 炮５进１
79. 兵八平七
 后卒进１
81. 兵七平六
 马６进７
83. 炮六平四
 将５平４
85. 炮四退二
 马７进６
87. 炮二平六
 前卒平４
89. 兵六平五
 马６进７
91. 兵五平六
 马７进６
93. 帅六平五
 马６退７
95. 帅五平四
 卒４平５
97. 马四进五
 炮５平６
99. 马五退三
 卒５平６
101. 马三退四
 马７退６
103. 兵六平五
 马６进４
105. 兵五进一
 卒６进１
107. 帅四退一
 卒９进１
109. 炮六退二
 卒９平８
111. 兵五进一
 将４平５
113. 炮六进二
 卒８进１
115. 炮六平五
 卒８平７
117. 炮五进二
 将５平６
119. 兵五平四
 卒７进１
121. 炮五退七
 卒７进１
123. 相三进一
 卒７平６
125. 帅四平五
 马４进３
127. 炮五平六
 后卒平５"
6	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	3	20140510	天津	王昊	先负	吕载	浙江	128	中炮七路马对屏风马	钱宇新	...	104	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 兵七进一
 马２进３
9. 马八进七
 炮２进４
11. 兵五进一
 炮８进４
13. 车九进一
 炮２平３
15. 相七进九
 车１平２
17. 车九平六
 车２进６
19. 兵三进一
 卒７进１
21. 车六进二
 炮８进２
23. 兵一进一
 卒７进１
25. 车六平三
 炮８平７
27. 车三平二
 车８进６
29. 车二进三
 象３进５
31. 车二平六
 士４进５
33. 仕六进五
 卒３进１
35. 兵七进一
 象５进３
37. 炮八退二
 象３退５
39. 炮八平七
 马３进２
41. 马三进四
 马７进６
43. 兵五进一
 卒５进１
45. 马四进六
 炮７退１
47. 仕五进四
 炮７平５
49. 相三进五
 卒５进１
51. 马六进四
 马６进４
53. 马四进三
 将５平４
55. 炮七平六
 士５进４
57. 后仕进五
 士６进５
59. 炮六进二
 卒１进１
61. 相五退三
 车２进２
63. 马七退六
 炮３进３
65. 马六进七
 炮３平７
67. 马三退四
 将４平５
69. 马四退五
 车２退２
71. 车六平八
 马４进２
73. 炮六退一
 前马进３
75. 相九进七
 炮７退２
77. 仕五进六
 炮７退３
79. 马五进四
 炮７平３
81. 马七进八
 炮３退３
83. 帅五平四
 马３退２
85. 相七退五
 前马进４
87. 炮六平九
 炮３平２
89. 马八进六
 马４退２
91. 炮九平一
 后马进４
93. 马六退四
 马２退３
95. 仕四退五
 马３退５
97. 后马进六
 马４进５
99. 炮一进五
 后马进６
101. 马六退五
 马５退７
103. 兵一进一
 马７进８
105. 帅四平五
 马６进５
107. 仕五进六
 马５进７
109. 帅五平六
 炮２平４
111. 帅六进一
 马７退６
113. 炮一进三
 士５退６
115. 马四进三
 将５平４
117. 马三退五
 士４退５
119. 仕六退五
 马６退５
121. 仕五退六
 马５进４
123. 后马进六
 马８进６
125. 帅六进一
 马４进２
127. 马六进七
 将４平５"
7	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	盐城	蔡红军	先负	蔡佑广	广东	40	中炮左边马对屏风马	钱宇新	-	86	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 车二进六
 卒３进１
9. 兵三进一
 象７进５
11. 马八进九
 车１进１
13. 炮八平六
 车１平４
15. 车九平八
 炮２进２
17. 仕四进五
 车４进４
19. 相三进一
 士６进５
21. 炮五平四
 炮８平９
23. 车二进三
 马７退８
25. 相七进五
 马８进６
27. 炮四进四
 卒９进１
29. 炮四平九
 卒３进１
31. 相五进七
 炮２平５
33. 炮六平四
 马３进１
35. 车八进六
 车４进２
37. 帅五平四
 炮９平６
39. 马三进四
 车４退２"
8	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	苏州	何海东	先负	刘宗泽	湖北	130	...	钱宇新	-	96	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 象７进５
11. 炮八平七
 马３进２
13. 车九进一
 车１进１
15. 车九平六
 马２进１
17. 炮七退一
 车１平６
19. 炮七平九
 炮２平１
21. 车六进五
 车６进６
23. 炮五平六
 车６平７
25. 相三进五
 车７退１
27. 炮六进一
 车７平５
29. 炮六平九
 炮１进４
31. 炮九进二
 车５退１
33. 车二进三
 卒１进１
35. 炮九平八
 炮８平９
37. 车二平六
 士６进５
39. 炮八进四
 车８进２
41. 后车平三
 卒１进１
43. 马九退七
 车５平２
45. 炮八平七
 车２平６
47. 马七进六
 车６退１
49. 炮七平三
 车８平７
51. 车六平五
 卒９进１
53. 车三平二
 车７平６
55. 仕四进五
 前车进２
57. 车五退三
 前车平８
59. 车五平二
 车６进２
61. 马六退四
 炮９平６
63. 马四退三
 炮６进１
65. 车二平五
 炮６平３
67. 车五进一
 炮３进３
69. 车五平九
 车６进２
71. 兵一进一
 卒９进１
73. 兵三进一
 卒７进１
75. 车九平一
 炮３平５
77. 马三进二
 车６平８
79. 马二退四
 炮５平３
81. 车一平五
 炮３进２
83. 仕五退四
 车８平６
85. 马四进六
 炮３平７
87. 仕四进五
 车６平４
89. 车五平一
 炮７平８
91. 车一平二
 炮８平９
93. 车二平一
 炮９平８
95. 车一进五
 士５退６
97. 车一退五
 士４进５
99. 车一平八
 车４平９
101. 车八平二
 车９进３
103. 仕五退四
 炮８进１
105. 相五退三
 炮８平６
107. 帅五平四
 车９平７
109. 帅四进一
 车７平４
111. 车二退二
 车４退１
113. 帅四退一
 卒７进１
115. 相七进九
 车４平５
117. 车二平四
 卒７进１
119. 车四进二
 车５退１
121. 车四平六
 卒７进１
123. 相九退七
 车５进１
125. 车六平三
 卒７进１
127. 相七进九
 士５进６
129. 相九进七
 卒３进１"
9	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	1	20140509	北京威凯建设	金波	先负	王天一	内蒙古伊泰	100	...	中国象棋协会	打虎将	5524	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 卒１进１
11. 炮八进四
 马３进２
13. 车二进四
 象７进５
15. 炮八平三
 车１进１
17. 车九进一
 车１平６
19. 车九平六
 车６进３
21. 车六进三
 马２进１
23. 车六平四
 车６平４
25. 车四平八
 炮２平１
27. 马三进四
 车４平６
29. 炮五平四
 车６平５
31. 车八平五
 车５进１
33. 兵五进一
 炮８平９
35. 车二进五
 马７退８
37. 马四进五
 马８进６
39. 马五退四
 马６进７
41. 马四进三
 炮９进４
43. 相三进五
 卒１进１
45. 炮四进二
 卒３进１
47. 兵七进一
 卒１平２
49. 炮四退一
 马１进３
51. 炮四退一
 马３退１
53. 炮四进一
 炮１平３
55. 仕四进五
 卒２进１
57. 炮四平九
 炮９平１
59. 兵七进一
 卒２进１
61. 兵七平八
 炮３进６
63. 兵八平九
 炮３平２
65. 相五进七
 炮１平２
67. 马三进一
 士４进５
69. 马一进三
 将５平４
71. 马三退四
 卒２平１
73. 兵三进一
 卒９进１
75. 兵三进一
 前炮进１
77. 兵五进一
 前炮平１
79. 兵九平八
 卒１平２
81. 前相退五
 卒２平３
83. 马四退六
 卒９进１
85. 兵五进一
 卒３进１
87. 兵八进一
 卒９平８
89. 兵八平七
 卒３平４
91. 相五进七
 卒８进１
93. 兵七进一
 卒８平７
95. 兵七进一
 炮２进３
97. 前相退九
 卒４平３
99. 兵三进一
 卒７进１"
10	2014年四川成都“惠丰杯”街子古镇象棋公开赛	10	20140506	四川	刘俊	先负	刘宗泽	湖北	69	...	fbcfbc	...	2423	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵三进一
 卒３进１
9. 马八进九
 象７进５
11. 炮八平六
 炮８进２
13. 炮六进四
 卒１进１
15. 炮六平三
 车１平２
17. 车九进一
 炮２平１
19. 车二进四
 士６进５
21. 车九平四
 车２进５
23. 兵九进一
 车２平１
25. 兵三进一
 车１平８
27. 马三进二
 象５进７
29. 马九进八
 车８平６
31. 车四进八
 将５平６
33. 马八进七
 卒１进１
35. 马二退四
 炮１平２
37. 兵五进一
 象７退５
39. 兵五进一
 炮２进２
41. 炮五平四
 将６平５
43. 兵五平四
 炮２进２
45. 马四退六
 炮２平９
47. 马六进五
 炮８退３
49. 兵四进一
 炮９平５
51. 炮四平三
 马７退９
53. 马五进六
 马９进８
55. 相三进一
 炮８平６
57. 兵七进一
 卒３进１
59. 马六退七
 炮５平３
61. 后马进六
 马８进９
63. 前炮平五
 马３进５
65. 兵四平五
 马９进７
67. 相一进三
 士５进４
69. 仕六进五"
