比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年广西第二届柳州“南方杯”象棋争霸赛	3	20140516	广西	韦六七	先负	李锦雄	广东	74	顺炮缓开车对横车	深度男人	打虎将	818	"1. 炮二平五 *
 炮８平５
3. 炮五进四
 士６进５
5. 炮八平五
 马２进３
7. 前炮退一
 马８进７
9. 马二进三
 车９平８
11. 马八进七
 车１平２
13. 车九平八
 炮２进４
15. 仕四进五
 车８进６
17. 兵五进一
 车８平７
19. 马三进五
 卒７进１
21. 车一平二
 卒７进１
23. 相三进一
 卒７平６
25. 车二进六
 卒６进１
27. 马五进七
 卒３进１
29. 车二平七
 卒３进１
31. 车七进一
 卒３平４
33. 马七退九
 炮２进２
35. 后炮平七
 将５平６
37. 炮五平七
 士５进４
39. 前炮进四
 后士进５
41. 车七退一
 车２进７
43. 兵五进一
 马７进８
45. 兵五进一
 车２平３
47. 兵五进一
 车３平９
49. 仕五退四
 炮２平８
51. 车八进九
 炮８进１
53. 仕四进五
 车７进３
55. 仕五退四
 车７退６
57. 仕四进五
 车７平３
59. 炮七退一
 士５退４
61. 车八平六
 将６进１
63. 车六平三
 车９进２
65. 车三退一
 将６退１
67. 兵五进一
 炮８退１
69. 仕五退四
 车３平５
71. 仕六进五
 炮８进１
73. 车三退八
 车５退２"
2	2014年广西第二届柳州“南方杯”象棋争霸赛	1	20140516	广西	韦海东	先负	李锦雄	广东	84	顺炮直车对横车	深度男人	...	761	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 车９进１
7. 车二进四
 车９平４
9. 马八进九
 马２进３
11. 车九进一
 车４进６
13. 炮八进二
 卒３进１
15. 兵七进一
 卒３进１
17. 车九平七
 炮２退１
19. 车七进三
 车１进２
21. 车二平六
 车４退２
23. 车七平六
 炮２平３
25. 炮八平七
 炮３进４
27. 车六平七
 炮５退１
29. 仕六进五
 炮５平３
31. 车七平八
 炮３进８
33. 马九进七
 卒７进１
35. 马七进五
 马３进４
37. 车八平六
 马４进６
39. 帅五平六
 士６进５
41. 车六平七
 车１平４
43. 帅六平五
 马６进８
45. 炮五平六
 炮３平２
47. 兵三进一
 卒７进１
49. 马五进四
 炮２退８
51. 车七进四
 炮２进６
53. 马三退二
 卒７平６
55. 马四进三
 将５平６
57. 马二进一
 象３进５
59. 车七退四
 炮２退６
61. 马三进一
 马７进８
63. 车七进二
 车４平２
65. 相三进五
 车２进７
67. 相五退七
 炮２进３
69. 帅五平六
 炮２平７
71. 炮六进一
 炮７进５
73. 帅六进一
 前马退７
75. 后马进三
 车２退１
77. 帅六进一
 车２退２
79. 车七平六
 马８进７
81. 炮六平三
 车２平５
83. 炮三退一
 马７进５"
3	2014年第二届文园杯象棋个人赛(广州)	6	20140511	广东	李禹	先负	郑鸿标	广东	58	顺炮横车对直车巡河	求棋	...	1344	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一进一
 车９平８
7. 车一平六
 车８进４
9. 马八进七
 马２进３
11. 车六进五
 炮２进２
13. 兵七进一
 炮２平７
15. 马七进八
 车８进２
17. 兵三进一
 炮７进３
19. 炮八平三
 车１平２
21. 马八退七
 车８平７
23. 炮三平四
 炮５平６
25. 马七进六
 炮６进７
27. 帅五平四
 车７进３
29. 帅四进一
 马７退５
31. 车六进一
 车２进８
33. 炮五退一
 车７平４
35. 车九进二
 马５进６
37. 炮四平五
 车２平４
39. 车六平七
 后车退３
41. 前炮进四
 后车平６
43. 车九平四
 车６进２
45. 帅四进一
 车４平６
47. 帅四平五
 马６进７
49. 后炮平八
 车６平５
51. 炮八平五
 车５平３
53. 车七平六
 车３平６
55. 车六平五
 士４进５
57. 车五平八
 将５平４"
4	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	5	20140510	台湾	陈振国	先负	管志年	南京	80	顺炮直车对缓开车	钱宇新	...	136	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 马２进１
7. 兵七进一
 炮２平３
9. 马八进七
 车１平２
11. 车九平八
 车９进１
13. 炮八进四
 卒３进１
15. 车二进五
 卒３进１
17. 车二平七
 车９平３
19. 炮八平三
 车２进９
21. 马七退八
 卒３平４
23. 相七进九
 象７进９
25. 炮五平七
 炮３进５
27. 车七进三
 马１退３
29. 马八进七
 卒４平５
31. 仕六进五
 后卒进１
33. 兵五进一
 卒５进１
35. 帅五平六
 炮５平４
37. 帅六平五
 马３进５
39. 炮三平八
 马５进４
41. 炮八退四
 马７进６
43. 兵三进一
 马４进３
45. 相九进七
 炮４平７
47. 马三退一
 马６进４
49. 马七退八
 卒５平６
51. 相三进五
 马４进６
53. 马一进二
 卒６平７
55. 炮八进一
 马３退５
57. 炮八进一
 马５退６
59. 炮八退一
 象９进７
61. 马八进七
 卒７进１
63. 马七进五
 后马进５
65. 马二退一
 马６进７
67. 帅五平六
 炮７平４
69. 炮八退二
 马５退４
71. 炮八平六
 马４进３
73. 炮六平三
 马３进５
75. 帅六平五
 炮４平５
77. 帅五平六
 马５进３
79. 帅六平五
 象７退９"
5	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	4	20140510	徐州	高玉龙	先负	邹履民	扬州	84	顺炮横车对直车	钱宇新	...	100	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一进一
 车９平８
7. 马八进七
 卒３进１
9. 兵三进一
 马２进３
11. 车一平六
 车８进４
13. 车六进五
 炮２进２
15. 车六平七
 车１进２
17. 车九进一
 士６进５
19. 车九平四
 炮５平６
21. 车四进五
 车８平６
23. 车四平三
 炮６进１
25. 车七进一
 车１平３
27. 兵三进一
 车６进４
29. 仕四进五
 炮６进３
31. 兵五进一
 炮６平４
33. 兵五进一
 炮２平５
35. 车三平二
 车６平７
37. 马七进五
 车７进１
39. 仕五退四
 炮４平１
41. 兵七进一
 车３平２
43. 炮五进三
 车２进５
45. 炮五退一
 炮１进３
47. 车二退五
 车７退２
49. 马五退三
 车２平７
51. 兵三进一
 车７退４
53. 兵七进一
 车７进３
55. 炮五平七
 象７进５
57. 车二平七
 车７平４
59. 仕四进五
 车４平９
61. 兵七进一
 马７进６
63. 炮七平八
 马６进４
65. 炮八退三
 马４进５
67. 车七进一
 车９进３
69. 仕五退四
 车９平６
71. 帅五进一
 马５退４
73. 车七进一
 卒５进１
75. 兵七进一
 车６退３
77. 车七进一
 车６平２
79. 车七平六
 车２进２
81. 帅五退一
 车２平３
83. 兵七平八
 车３进１"
6	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	2	20140510	北京	扬志辉	先负	沈校	湖北	50	顺炮缓开车对直车	钱宇新	-	91	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 兵三进一
 车９平８
7. 车一进一
 车８进４
9. 车一平六
 马２进３
11. 炮八平七
 卒３进１
13. 车六进五
 炮５平６
15. 马八进九
 车１平２
17. 车九平八
 象３进５
19. 炮五进四
 马３进５
21. 车六平五
 炮６进４
23. 车五平四
 炮６平７
25. 仕四进五
 炮７进３
27. 车八进六
 炮７平９
29. 帅五平四
 车８进５
31. 帅四进一
 车８退１
33. 帅四退一
 车２进１
35. 炮七平八
 车２平８
37. 炮八进五
 前车进１
39. 帅四进一
 后车进７
41. 帅四进一
 后车平７
43. 帅四平五
 车７退１
45. 仕五进四
 炮９退２
47. 帅五平六
 车７平６
49. 相七进五
 车６退４"
7	2014年重庆忠县首届“体彩杯”象棋公开赛	7	20140501	四川14	郎祺琪	先负	郭友华	重庆46	42	顺炮直车对缓开车	组委会	打虎将	142	"1. 炮八平五 *
 炮２平５
3. 马八进七
 马２进３
5. 车九平八
 车１进１
7. 马二进三
 马８进７
9. 兵七进一
 车９进１
11. 兵三进一
 车９平６
13. 车八进六
 车６进７
15. 相三进一
 车６平３
17. 马三进四
 车１平６
19. 马四进六
 车６进６
21. 马六进七
 车６平８
23. 前马退五
 车３进１
25. 相一退三
 车３退２
27. 马五进三
 炮５进５
29. 相三进五
 车３平５
31. 仕四进五
 车５退１
33. 车一平四
 士６进５
35. 车八平七
 车５退４
37. 车七平三
 炮８进４
39. 马三退五
 炮８平７
41. 马五退三
 象７进９"
8	2014年重庆忠县首届“体彩杯”象棋公开赛	4	20140430	忠县涂井	周康斌	先负	郭友华	重庆46	74	顺炮直车对横车	组委会	...	123	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一平二
 车９进１
7. 炮八平七
 车９平４
9. 马八进九
 马２进１
11. 车九平八
 车１平２
13. 车二进六
 车４进３
15. 车二平三
 卒１进１
17. 车八进六
 炮５平４
19. 车八平七
 炮２进１
21. 车三进一
 马１进３
23. 炮七进四
 象３进５
25. 车三退三
 车４退１
27. 炮七退二
 炮２进４
29. 马三退一
 炮４进７
31. 仕四进五
 炮４退１
33. 马一进二
 炮４平１
35. 炮五平六
 炮２进２
37. 炮六退二
 炮２平４
39. 仕五退六
 车２进７
41. 马二退三
 车２平７
43. 马三进五
 车７进２
45. 马五退四
 车４进５
47. 马九退七
 炮１平２
49. 车三平四
 炮２进１
51. 马七进九
 车４进１
53. 帅五进一
 车４平５
55. 帅五平六
 车７退１
57. 帅六进一
 车５平６
59. 车四退四
 炮２平６
61. 炮七进二
 车７退２
63. 炮七平一
 车７平５
65. 兵一进一
 车５退１
67. 兵一进一
 车５退１
69. 炮一平四
 车５平９
71. 帅六退一
 车９进４
73. 帅六进一
 炮６退２"
9	2014年重庆忠县首届“体彩杯”象棋公开赛	3	20140430	忠县拔山	毛幼平	先负	许文学	重庆38	56	顺炮横车对直车巡河	组委会	...	106	"1. 炮二平五 *
 炮８平５
3. 马二进三
 马８进７
5. 车一进一
 车９平８
7. 车一平六
 车８进４
9. 马八进七
 卒３进１
11. 车六进三
 马２进３
13. 仕六进五
 车８平４
15. 车六进一
 马３进４
17. 兵三进一
 炮２平３
19. 兵五进一
 车１平２
21. 炮八平九
 卒３进１
23. 兵五进一
 卒５进１
25. 炮五进五
 象７进５
27. 马七进五
 马４进５
29. 马三进五
 卒３平４
31. 马五进四
 车２进３
33. 马四进三
 炮３平７
35. 相七进五
 炮７平９
37. 车九平七
 炮９进４
39. 兵七进一
 炮９平５
41. 炮九平六
 卒４进１
43. 炮六退二
 车２进３
45. 兵九进一
 卒４进１
47. 车七进一
 卒５进１
49. 兵七进一
 卒５平６
51. 兵七进一
 卒６进１
53. 兵七进一
 卒６进１
55. 兵七平六
 卒６进１"
10	2014年重庆忠县首届“体彩杯”象棋公开赛	1	20140430	忠县官坝	谢仁明	先负	郭友华	重庆46	102	顺炮直车对缓开车	组委会	...	85	"1. 炮八平五 *
 炮２平５
3. 马八进七
 马２进３
5. 车九平八
 车１进１
7. 炮二平四
 车１平６
9. 仕四进五
 马８进７
11. 马二进三
 车９平８
13. 车一平二
 炮８进４
15. 车八进六
 车６进１
17. 车八平七
 炮５退１
19. 兵七进一
 炮５平３
21. 车七平六
 马３进２
23. 兵七进一
 车６进２
25. 相七进九
 炮３进６
27. 炮四平七
 车６平３
29. 炮七平六
 士６进５
31. 车六平九
 象７进５
33. 车九退二
 马２进３
35. 车九平四
 卒７进１
37. 兵三进一
 炮８平７
39. 车二进九
 马７退８
41. 相九退七
 炮７进３
43. 兵三进一
 车３平７
45. 车四平七
 马３进２
47. 炮六平八
 车７平２
49. 车七退二
 马８进７
51. 炮五平四
 马７进８
53. 炮四退一
 炮７退１
55. 炮四平八
 炮７平２
57. 车七平四
 车２平３
59. 炮八平七
 象３进１
61. 马三进二
 炮２退１
63. 车四进三
 车３进３
65. 车四平二
 炮２进２
67. 帅五平四
 士５退６
69. 车二平八
 炮２平１
71. 马二进一
 车３进２
73. 帅四进一
 车３退３
75. 车八平四
 士４进５
77. 车四退二
 卒５进１
79. 马一进三
 车３平１
81. 马三退四
 象５进７
83. 车四平三
 车１退１
85. 马四进三
 象７退５
87. 马三退二
 车１平８
89. 马二进三
 象１退３
91. 车三退一
 车８进３
93. 帅四进一
 车８退２
95. 马三退四
 象５进７
97. 帅四退一
 炮１退７
99. 马四退三
 炮１平７
101. 兵五进一
 卒５进１"
