比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年“碧桂园杯”第13届世界象棋锦标赛男子个人	9	20131026	美西	徐国明	先胜	邓宜兵	澳大利亚	79	过河炮局	世界象棋联合会	打虎将	1267	"1. 炮二进四 *
 卒７进１
3. 兵七进一
 炮８平５
5. 马二进三
 炮２平３
7. 相七进五
 马２进１
9. 马八进六
 车９进１
11. 车九平八
 车１进１
13. 车一平二
 车１平４
15. 马六进四
 炮５进４
17. 仕四进五
 车４进４
19. 炮二退二
 炮５平６
21. 炮八进二
 车９平２
23. 炮八平六
 车２进８
25. 炮二平五
 象７进５
27. 车二进九
 卒５进１
29. 炮五平二
 卒５进１
31. 炮六进二
 士４进５
33. 炮六平五
 炮６平５
35. 炮五退三
 卒５进１
37. 马四进五
 卒５平６
39. 马五进四
 炮３退１
41. 炮二平五
 车２退５
43. 兵七进一
 卒３进１
45. 马四进五
 将５平４
47. 车二平四
 将４进１
49. 车四退六
 车２退２
51. 马五退三
 车２平４
53. 前马进四
 将４退１
55. 车四进五
 车４进３
57. 炮五退一
 车４进１
59. 车四平五
 象５退７
61. 兵三进一
 卒７进１
63. 相五进三
 车４退１
65. 炮五退一
 卒３进１
67. 马三进五
 象７进５
69. 马五进四
 车４平５
71. 车五平六
 将４平５
73. 前马退五
 卒３平４
75. 马五进三
 将５平６
77. 炮五平四
 车５平６
79. 马四进五"
2	2010年伊泰杯全国象棋精英赛	1	20100505	厦门	郑一泓	先胜	王琳娜	黑龙江	105	金钩炮局	象棋王子	任意棋	10220	"1. 炮二平七 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进四
 炮８平９
9. 车二平四
 卒１进１
11. 马八进九
 马２进１
13. 相七进五
 车１进１
15. 仕六进五
 车１平４
17. 车九平六
 车４进８
19. 仕五退六
 马１进２
21. 炮八进二
 车８进６
23. 炮七平八
 马２退１
25. 后炮平六
 车８平７
27. 炮八退三
 象７进５
29. 兵九进一
 卒１进１
31. 车四平九
 士６进５
33. 仕六进五
 炮９退１
35. 炮八平七
 炮２平４
37. 兵七进一
 车７平６
39. 炮六平七
 士５退６
41. 车九平八
 士４进５
43. 车八进三
 车６退２
45. 马九进八
 车６平２
47. 车八退二
 马１进２
49. 前炮进四
 马２进４
51. 前炮平九
 卒５进１
53. 炮九平三
 马４进６
55. 相三进一
 卒９进１
57. 相五退三
 士５进６
59. 马八进七
 炮４平３
61. 马三进四
 炮９进５
63. 马四进六
 炮３平４
65. 马七进八
 炮４退１
67. 炮三平九
 前士退５
69. 炮九退三
 马７进６
71. 炮九平四
 炮９平５
73. 马六退五
 马６进５
75. 相三进五
 炮４进４
77. 炮四进三
 炮４平５
79. 帅五平六
 马５进３
81. 马八退七
 炮５进１
83. 马七退五
 炮５平３
85. 马五退六
 将５平４
87. 帅六平五
 炮３进２
89. 马六退七
 卒９进１
91. 马七进九
 马３退４
93. 帅五平六
 士５进４
95. 马九进七
 马４进６
97. 马七进五
 卒９平８
99. 炮四平九
 士６进５
101. 马五进四
 马６退４
103. 马四进三
 马４退３
105. 炮九退二"
3	2007年伊泰杯全国象棋个人赛男子决赛	6	20070908	福建	郑一泓	先胜	党斐	湖北	123	...	阿南师傅	好点子	9745	"1. 炮二平七 *
 炮８平５
3. 马二进三
 马８进７
5. 车一进一
 车９平８
7. 相七进五
 马２进１
9. 车一平六
 车８进４
11. 马八进九
 炮２进４
13. 仕六进五
 士４进５
15. 车九平六
 车８平１
17. 兵九进一
 前车进１
19. 前车进三
 前车进１
21. 前车平八
 炮２平５
23. 马九退八
 前车平２
25. 车六进四
 车１平２
27. 车八进五
 马１退２
29. 马八进六
 前炮平６
31. 炮七退二
 马２进１
33. 炮七平八
 车２平１
35. 前炮进五
 炮６退４
37. 前炮平四
 士５进６
39. 车六平三
 卒５进１
41. 炮八平六
 卒５进１
43. 车三平五
 前士退５
45. 兵三进一
 车１退２
47. 车五平四
 卒７进１
49. 马三进五
 马７进５
51. 车四进二
 炮５进４
53. 马六进五
 马５进４
55. 兵三进一
 车１平７
57. 炮六进三
 象３进５
59. 车四平一
 卒１进１
61. 兵七进一
 马１进２
63. 车一退二
 马４退５
65. 炮六退三
 马２进３
67. 车一进二
 马５进４
69. 车一平四
 马３进１
71. 仕五进六
 马１进３
73. 炮六进一
 卒１进１
75. 车四退二
 马４退５
77. 车四平五
 车７进４
79. 仕四进五
 马５进７
81. 车五进一
 车７退２
83. 马五进四
 车７平９
85. 车五平九
 士５退４
87. 马四进六
 车９退５
89. 兵七进一
 马３退２
91. 车九进四
 士６进５
93. 马六进五
 马２退４
95. 炮六进三
 车９平５
97. 兵七平六
 车５平２
99. 车九平六
 将５进１
101. 兵六进一
 马７进６
103. 炮六平五
 将５平６
105. 炮五平七
 卒３进１
107. 炮七退四
 马６进７
109. 帅五平六
 将６平５
111. 车六平四
 卒１进１
113. 兵六进一
 卒１进１
115. 车四退八
 马７退８
117. 车四进五
 将５退１
119. 帅六平五
 卒１平２
121. 帅五平四
 车２进４
123. 炮七进四"
4	2007年七斗星杯全国象棋甲级联赛	9	20070718	浙江	庄玉庭	先胜	蒋凤山	开滦	169	...	开滦	豆豆	7659	"1. 炮八平三 *
 马８进９
3. 马八进七
 马２进３
5. 车九平八
 车１平２
7. 兵七进一
 车９进１
9. 相三进五
 车９平６
11. 兵一进一
 车６进５
13. 炮三退二
 象３进５
15. 马二进三
 炮２进５
17. 兵三进一
 炮８平７
19. 炮二平一
 卒７进１
21. 马三进二
 车６平８
23. 马二进一
 炮７退１
25. 兵三进一
 车８平９
27. 炮三进八
 马９退７
29. 马一退二
 象５进７
31. 车一平二
 马７进８
33. 炮一平三
 马８退６
35. 马二进四
 车９退１
37. 马四进六
 车２进１
39. 车二进七
 车９平６
41. 炮三进七
 马６退７
43. 车二平七
 士６进５
45. 车七退一
 马７进６
47. 仕六进五
 将５平６
49. 车七平九
 车６退１
51. 马六退五
 卒５进１
53. 马五退三
 车６进２
55. 马三进一
 车６平９
57. 车九平一
 象７退５
59. 马七进六
 象５退７
61. 马一进三
 车９退３
63. 马三进一
 车２进２
65. 马一退二
 马６进４
67. 兵七进一
 车２进２
69. 马二进三
 车２平４
71. 车八进二
 车４进１
73. 兵九进一
 车４平５
75. 兵九进一
 马４退６
77. 车八进四
 卒５进１
79. 马三退二
 车５平８
81. 马二进四
 车８平６
83. 马四进三
 将６平５
85. 兵九平八
 车６平７
87. 马三退四
 车７平６
89. 马四退二
 车６平８
91. 马二进四
 车８退２
93. 车八平四
 车８平７
95. 兵七进一
 车７平８
97. 相五进三
 车８进２
99. 车四平五
 车８平６
101. 马四进三
 车６平３
103. 兵八进一
 车３进３
105. 仕五退六
 卒５平４
107. 马三退四
 卒４进１
109. 车五平四
 车３退４
111. 车四平三
 车３平５
113. 仕四进五
 车５退１
115. 车三平四
 车５进１
117. 车四平三
 车５平６
119. 马四进六
 马６进４
121. 兵七平六
 象７进９
123. 车三平一
 车６退３
125. 车一退三
 车６平７
127. 相三退一
 象９退７
129. 车一平六
 象７进９
131. 兵八平七
 象９退７
133. 兵六平五
 将５平６
135. 兵五平四
 将６平５
137. 车六平七
 车７平４
139. 兵四平三
 士５退６
141. 兵七进一
 车４平５
143. 兵七进一
 车５退１
145. 兵三平四
 车５平８
147. 相一退三
 车８平６
149. 车七进三
 象７进９
151. 相三进五
 象９退７
153. 仕五进四
 车６平５
155. 兵四进一
 车５平７
157. 车七平五
 车７平５
159. 车五平七
 车５平７
161. 车七进一
 车７平９
163. 仕六进五
 车９进３
165. 兵四进一
 车９退２
167. 车七退一
 车９平６
169. 兵七平六"
5	07等级赛男子组	11	20070627	重庆	张勇	先胜	程吉俊	浙江	65	...	品清于玉	好点子	5370	"1. 炮二平七 *
 马８进７
3. 兵三进一
 炮２平５
5. 马二进三
 马２进３
7. 车一平二
 车１平２
9. 车九进二
 车９平８
11. 车二进六
 炮８平９
13. 车二平三
 车８进２
15. 炮七退一
 车２进１
17. 兵七进一
 炮９退１
19. 相七进五
 炮５平４
21. 仕四进五
 象７进５
23. 车三平四
 车８进２
25. 马八进七
 车２进５
27. 马七进六
 卒３进１
29. 兵七进一
 马３进４
31. 兵七平六
 炮４进３
33. 车四平三
 马７退８
35. 炮八平六
 炮９平１
37. 车三平五
 炮１进５
39. 车五退二
 炮４进１
41. 兵一进一
 士６进５
43. 兵六平五
 马８进７
45. 前兵进一
 马７进６
47. 前兵进一
 马６进７
49. 车五进二
 炮４退１
51. 兵一进一
 车８平６
53. 前兵进一
 士４进５
55. 车九平七
 炮１进３
57. 炮七退一
 象３进１
59. 车七进六
 车６退３
61. 车七平六
 炮４平１
63. 车五平一
 后炮进２
65. 炮六进四"
6	07年男子团体赛	9	20070426	辽宁盘锦	丰鹤	先胜	葛超然	上海棋院	77	...	阿南师傅	任意棋	5860	"1. 炮二平七 *
 马８进７
3. 马二进三
 车９平８
5. 兵三进一
 炮８平９
7. 相七进五
 象３进５
9. 炮七进四
 马２进４
11. 炮七进一
 卒７进１
13. 兵三进一
 象５进７
15. 炮七平一
 炮２平９
17. 马八进六
 车１平２
19. 车九平八
 前象退５
21. 车一进一
 车８进４
23. 炮八平九
 车２进９
25. 马六退八
 车８平２
27. 马八进六
 卒１进１
29. 马六进四
 马７进６
31. 马四进三
 象５进７
33. 车一平六
 马４进３
35. 兵七进一
 马３进４
37. 后马进二
 炮９平４
39. 车六平七
 炮４平３
41. 车七平六
 炮３平４
43. 车六平七
 车２进５
45. 仕四进五
 马４进６
47. 马二退一
 炮４平７
49. 车七进二
 炮７进３
51. 兵五进一
 前马进５
53. 帅五进一
 炮７进３
55. 马一退三
 车２退１
57. 帅五退一
 车２平７
59. 车七平四
 马６退４
61. 车四进三
 马４进２
63. 车四平五
 前象退５
65. 炮九进三
 马２进３
67. 炮九进四
 士４进５
69. 车五平八
 将５平４
71. 车八平六
 将４平５
73. 车六退三
 车７平３
75. 仕六进五
 马３进２
77. 车六平八"
7	2005年启新高尔夫杯全国象棋甲级联赛	3	20050420	广东王老吉	陈富杰	先胜	万春林	上海	147	...	杨柏伟	任意棋	5345	"1. 炮二平七 *
 马８进９
3. 马二进三
 车９平８
5. 车一平二
 象３进５
7. 相七进五
 卒３进１
9. 马八进六
 马２进３
11. 兵七进一
 卒３进１
13. 车二进四
 马３进２
15. 车二平七
 士４进５
17. 车九平八
 马２进１
19. 炮八平九
 车１平４
21. 车八进三
 车４进８
23. 炮九进四
 炮２平１
25. 车七进二
 马１进２
27. 炮七退一
 炮８进６
29. 车八退二
 炮８平３
31. 车八平七
 车４平３
33. 车七退五
 车８进７
35. 马三退五
 马９退８
37. 车七进六
 炮１退１
39. 车七进一
 炮１进１
41. 车七平九
 炮１平２
43. 车九平八
 炮２平１
45. 马五进七
 车８退３
47. 马七进六
 车８平１
49. 车八进一
 士５退４
51. 车八退三
 马８进７
53. 马六进五
 马７进５
55. 炮九平五
 士６进５
57. 炮五平一
 车１平９
59. 车八平三
 车９进２
61. 兵五进一
 车９退２
63. 仕六进五
 炮１进４
65. 车三平六
 炮１平５
67. 帅五平六
 将５平６
69. 炮一平三
 炮５平１
71. 兵三进一
 车９平２
73. 炮三进一
 车２进５
75. 帅六进一
 车２退５
77. 车六退三
 炮１退５
79. 仕五进四
 将６平５
81. 后仕进五
 车２平１
83. 仕五进六
 炮１进１
85. 炮三进一
 炮１退１
87. 车六进五
 炮１进１
89. 车六退二
 炮１退１
91. 炮三退二
 车１平８
93. 帅六平五
 车８退１
95. 兵五进一
 炮１进５
97. 兵五平六
 炮１平９
99. 相三进一
 炮９平４
101. 车六平五
 炮４平９
103. 兵六进一
 炮９退５
105. 炮三进二
 车８平５
107. 兵六平五
 炮９平８
109. 兵五平四
 士５退６
111. 兵三进一
 士４进５
113. 兵三平二
 炮８平９
115. 炮三平二
 炮９进５
117. 兵四平五
 炮９平２
119. 兵五平六
 炮２平５
121. 帅五平六
 炮５平４
123. 仕六退五
 炮４平１
125. 兵六平七
 炮１退２
127. 兵七平八
 炮１平４
129. 兵二进一
 士５进６
131. 炮二进一
 前士退５
133. 兵二平三
 炮４平９
135. 兵八平七
 炮９平４
137. 兵七进一
 炮４平６
139. 兵三进一
 炮６平４
141. 兵七进一
 炮４平６
143. 兵三进一
 士５进６
145. 兵七平六
 炮６退１
147. 兵六进一"
9	00年团体赛		200004??	沈阳	丰鹤	先胜	李轩	吉林	101	金钩炮局	-	...	3266	"1. 炮二平七 *
 马８进７
3. 车一进二
 车９平８
5. 车一平六
 马２进１
7. 马二进三
 炮８平９
9. 相七进五
 车８进４
11. 兵七进一
 象７进５
13. 炮七退一
 士６进５
15. 仕六进五
 炮２平４
17. 马八进九
 卒１进１
19. 车九平八
 车１平２
21. 炮七平八
 车２平１
23. 前炮平七
 车１平２
25. 炮七平八
 车２平１
27. 前炮平七
 车１平２
29. 炮七平八
 车２平１
31. 后炮平七
 车１平２
33. 炮七平八
 车２平１
35. 前炮平七
 车１平２
37. 炮七平八
 车２平１
39. 前炮平七
 车１平２
41. 兵七进一
 车８平３
43. 炮八平七
 车３平２
45. 车八进五
 马１进２
47. 车六进一
 马２退１
49. 兵三进一
 将５平６
51. 相五退七
 车２进４
53. 车六进一
 卒７进１
55. 马九进七
 车２平６
57. 马三进四
 马１进２
59. 车六平八
 炮４平２
61. 车八进一
 车６进１
63. 车八进二
 卒７进１
65. 马七进六
 车６退３
67. 前炮平四
 将６平５
69. 马六进八
 炮９退１
71. 炮四平七
 将５平６
73. 后炮进五
 马７进８
75. 前炮退三
 车６进３
77. 车八平七
 车６平２
79. 车七退一
 炮９平７
81. 前炮进六
 象５退３
83. 炮七进七
 将６进１
85. 炮七退一
 将６退１
87. 炮七平三
 马８进６
89. 相三进五
 马６退４
91. 马八进七
 车２退３
93. 车七平五
 车２平６
95. 相五进三
 车６平３
97. 车五退一
 马４进２
99. 马七退五
 车３平４
101. 炮三退一"
10	93年团体赛		19930428	广西	黄仕清	先胜	王斌	南京	151	兵底炮局	-	...	4793	"1. 炮二平三 *
 马８进９
3. 相三进五
 车９平８
5. 马八进七
 卒３进１
7. 车九进一
 马２进３
9. 车九平四
 象３进５
11. 车四进三
 士４进５
13. 马二进四
 炮８平６
15. 马四进六
 车１平４
17. 兵七进一
 车８进４
19. 仕四进五
 卒９进１
21. 兵一进一
 卒９进１
23. 车四平一
 卒３进１
25. 马六进七
 炮２退２
27. 后马进八
 炮２平３
29. 马七退六
 炮３平２
31. 马六进七
 炮２平３
33. 后车平四
 炮３进５
35. 车一平七
 马３进４
37. 兵五进一
 马４进２
39. 车七平八
 卒５进１
41. 兵三进一
 卒５进１
43. 车八平五
 车４平２
45. 车五进二
 卒１进１
47. 车五平九
 车８平３
49. 炮八平六
 卒７进１
51. 炮六进四
 车２平３
53. 炮六平五
 前车退１
55. 兵三进一
 炮６平７
57. 兵三平四
 马９进７
59. 车九平七
 车３进３
61. 炮三进五
 车３平５
63. 兵四进一
 车５平３
65. 兵四平三
 车３平７
67. 车四平三
 车７平１
69. 车三进四
 车１平２
71. 车三退一
 车２平１
73. 车三进一
 车１平２
75. 炮三退一
 车２平５
77. 相七进九
 车５平６
79. 仕五进六
 车６平５
81. 后仕进五
 车５平２
83. 仕五退六
 车２平５
85. 前仕退五
 车５平４
87. 相五进七
 车４平１
89. 相七退五
 车１平５
91. 相九退七
 车５平４
93. 相五退三
 车４平５
95. 相七进五
 车５平４
97. 相三进一
 车４平５
99. 相五退三
 车５平４
101. 车三退二
 车４平１
103. 车三进二
 车１平５
105. 相三进五
 车５平４
107. 相五进七
 车４平１
109. 相七退九
 车１平５
111. 相一退三
 车５平４
113. 相九退七
 车４平５
115. 相三进一
 车５平４
117. 车三退四
 象７进９
119. 炮三退四
 车４进３
121. 炮三平五
 将５平４
123. 车三进六
 车４平１
125. 车三平九
 车１平３
127. 车九进三
 车３退６
129. 车九退四
 象９退７
131. 相一进三
 车３进９
133. 炮五平三
 车３退９
135. 仕五进六
 将４平５
137. 车九进一
 象７进９
139. 炮三平五
 将５平４
141. 炮五平二
 象９退７
143. 炮二平三
 象７进９
145. 车九平六
 将４平５
147. 车六平一
 象９退７
149. 车一进三
 车３平４
151. 前仕退五"
11	92年团体赛		19920517	陕西	张惠民	先胜	庄玉庭	广州	87	金钩炮局	-	...	3240	"1. 炮二平七 *
 卒７进１
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 车二进四
 炮８平９
9. 车二平四
 马７进８
11. 相七进五
 马８进７
13. 兵七进一
 士４进５
15. 炮七进一
 炮２平７
17. 车四进二
 车８进８
19. 车四平三
 马７进９
21. 车三进一
 马９进７
23. 帅五进一
 马７退５
25. 帅五进一
 车８平２
27. 炮八平六
 象３进５
29. 仕四进五
 马２进１
31. 帅五平四
 车１平４
33. 车九进二
 车４进６
35. 炮七退一
 卒１进１
37. 兵九进一
 马１进２
39. 炮七进四
 车４平５
41. 帅四退一
 车５平６
43. 炮六平四
 马２进４
45. 炮七平一
 车２进１
47. 帅四退一
 车２退４
49. 帅四平五
 卒１进１
51. 车三退一
 车２平３
53. 车九平六
 车６平７
55. 炮四进六
 马４进６
57. 车六平四
 车７进１
59. 车四平三
 马６退８
61. 前车进一
 马８退９
63. 前车平五
 炮９进４
65. 车五退一
 马９进８
67. 车三进三
 炮９平２
69. 仕五进四
 炮２进３
71. 帅五进一
 车３进３
73. 帅五进一
 车３退１
75. 帅五退一
 车３进１
77. 帅五进一
 炮２退９
79. 车三退一
 车３退１
81. 帅五退一
 车３平６
83. 炮四平三
 车６平８
85. 车五平二
 车８进１
87. 帅五退一"
