比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	1	20140510	南京	陈卫武	先负	吕载	浙江	64	中炮过河车互进七兵对屏风马	钱宇新	-	102	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 兵七进一
 象３进５
11. 马八进七
 炮２进１
13. 车二平三
 马３退５
15. 马七进六
 卒３进１
17. 马六进七
 卒３进１
19. 炮八平七
 炮２进３
21. 兵三进一
 卒３进１
23. 车九平八
 炮８进４
25. 炮七退一
 炮８平７
27. 相三进一
 车１平２
29. 马七进六
 车２进３
31. 仕六进五
 车８进５
33. 车八进二
 卒７进１
35. 车三退二
 车８平７
37. 相一进三
 马７进６
39. 炮五进四
 马６进４
41. 炮五平七
 马５进７
43. 车八平六
 炮２平５
45. 帅五平六
 炮５平４
47. 后炮平六
 马４进６
49. 炮六进二
 炮７平４
51. 车六进一
 卒３平４
53. 马三进四
 车２退２
55. 马六退四
 车２平６
57. 炮七进一
 士４进５
59. 前马退五
 车６进４
61. 马五退四
 马７进５
63. 炮七退一
 车６进１"
2	2014年上海第四届“同峰杯”象棋大赛	3	20140307	北京	张军强	先负	赵攀伟	四川	71	中炮过河车互进七兵对屏风马上士	钱宇新	打虎将	800	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 车１进１
11. 马八进七
 车１平４
13. 炮八平九
 炮２进４
15. 兵五进一
 象７进５
17. 车九平八
 车４进５
19. 马七进八
 车４平３
21. 马八进七
 炮８平９
23. 车二进三
 马７退８
25. 兵五进一
 马８进７
27. 兵五进一
 马７进５
29. 马七退五
 炮９退１
31. 炮五进四
 马３进５
33. 炮九平五
 炮９平５
35. 炮五进四
 炮５进２
37. 相七进五
 士６进５
39. 仕六进五
 车３平７
41. 马三退一
 炮５平８
43. 车八平六
 炮２平９
45. 兵七进一
 炮８进１
47. 马五退七
 炮８平９
49. 马一进三
 车７进１
51. 车六进三
 前炮进３
53. 车六平一
 车７平５
55. 车一退三
 车５平３
57. 马七退六
 车３退３
59. 车一进四
 车３进２
61. 兵九进一
 车３平４
63. 相三进五
 士５进６
65. 相五退三
 士４进５
67. 相三进五
 车４平５
69. 相五退三
 车５退３
71. 马六进七"
3	2014年广西北流新圩第7届大地杯象棋公开赛	2	20140208	广东省	吴捷儿	先负	李少庚	四川省	62	...	组委会	...	512	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进四
 炮２进２
11. 马八进九
 马７进８
13. 车二平四
 象３进５
15. 炮八平七
 马８进７
17. 车九平八
 车１平２
19. 车八进三
 士６进５
21. 兵九进一
 炮８平６
23. 兵七进一
 卒３进１
25. 炮七进五
 炮６平３
27. 炮五平八
 车８进８
29. 炮八进三
 炮３进７
31. 仕六进五
 车８退１
33. 车四退二
 炮３退４
35. 车八退一
 炮３平７
37. 炮八退一
 车２进３
39. 车四进一
 卒３进１
41. 车四平三
 卒３平２
43. 相三进五
 卒２进１
45. 车八平六
 炮７平８
47. 兵五进一
 卒２进１
49. 马九退八
 卒２进１
51. 马八进六
 卒２平３
53. 仕五退六
 卒３平４
55. 车六退一
 车２进４
57. 仕六进五
 车２平５
59. 马三进五
 卒７进１
61. 车三平四
 车８平７"
4	2014年重庆合川第五届“隆兴煤业杯”象棋公开赛	7	20140111	四川	陈丙州	先负	李少庚	四川	114	...	组委会	...	2934	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 炮八进二
 象７进５
11. 马八进七
 车１进１
13. 车九进一
 车１平４
15. 马七进六
 炮８进３
17. 炮五平六
 车４平８
19. 相三进五
 卒３进１
21. 兵七进一
 炮８平２
23. 车二进八
 车８进１
25. 兵七进一
 车８平３
27. 炮六平七
 车３平４
29. 兵七进一
 车４进４
31. 兵七平八
 炮２进４
33. 仕四进五
 车４平２
35. 兵八平七
 马７进６
37. 车九平六
 马６进７
39. 车六进一
 卒７进１
41. 马三退二
 卒７平６
43. 兵七进一
 车２进１
45. 炮七进四
 士６进５
47. 相五进七
 车２平５
49. 兵七平六
 车５退１
51. 前相退九
 车５进２
53. 炮七平一
 车５平４
55. 仕五进六
 卒５进１
57. 马二进一
 马７进８
59. 前仕退五
 炮２退３
61. 相七进五
 炮２平５
63. 马一退三
 马８退９
65. 炮一平七
 马９退８
67. 炮七退四
 卒５进１
69. 帅五平四
 士５进４
71. 相九退七
 炮５平４
73. 兵六平七
 卒５进１
75. 马三进一
 炮４进２
77. 仕五进六
 炮４平２
79. 马一进二
 炮２进１
81. 帅四平五
 后士进５
83. 兵七平六
 象３进１
85. 炮七平九
 象１进３
87. 相五退三
 卒６平７
89. 马二退三
 卒５平４
91. 前仕退五
 炮２退６
93. 相三进五
 卒７进１
95. 马三退二
 炮２平４
97. 兵六平七
 炮４平８
99. 马二进四
 炮８退２
101. 兵九进一
 卒７平８
103. 炮九进四
 炮８平３
105. 马四退二
 卒８进１
107. 马二进四
 卒８平７
109. 马四退二
 卒７平８
111. 炮九平二
 马８进７
113. 炮二退三
 马７退６"
5	2014年川渝贵象棋名手赛	7	20140104	达州	曾军	先负	赵攀伟	攀枝花	58	...	fbcfbc	...	581	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 象３进５
11. 车二平三
 马３退５
13. 马八进七
 炮２进１
15. 马七进六
 卒３进１
17. 马六进七
 卒３进１
19. 炮八平七
 炮２进３
21. 兵三进一
 卒３进１
23. 车九平八
 炮８进４
25. 兵五进一
 车１平２
27. 炮七退一
 炮８平４
29. 车三平四
 炮４退３
31. 车四进二
 卒３进１
33. 炮七平九
 炮２平５
35. 马三进五
 车２进９
37. 马五进七
 炮４退１
39. 兵五进一
 马５进３
41. 车四平七
 车２平３
43. 车七退一
 士４进５
45. 仕四进五
 车８进９
47. 炮五平四
 车８平７
49. 炮四退二
 卒３进１
51. 炮九进五
 卒３平４
53. 炮九进三
 车７平６
55. 帅五平四
 卒４平５
57. 车七进二
 士５退４"
6	2013年苏浙皖三省第五届城市象棋比赛	10	20131124	泰州一队	张荣辉	先负	朱志全	扬州队	60	中炮过河车互进七兵对屏风马	钱宇新	...	324	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 兵七进一
 象３进５
11. 马八进七
 炮２进１
13. 炮八平九
 卒３进１
15. 车二退二
 炮２平３
17. 兵五进一
 炮８平９
19. 车二进五
 马７退８
21. 马七进六
 炮３进２
23. 马六进五
 车１平２
25. 车九进一
 士４进５
27. 车九平二
 马３进５
29. 炮五进四
 马８进７
31. 炮五退一
 马７进６
33. 车二平四
 马６进７
35. 车四进二
 炮９平７
37. 炮九进四
 车２进３
39. 炮九进三
 炮３平２
41. 炮九退五
 炮２进２
43. 仕六进五
 卒３进１
45. 车四平六
 炮７进１
47. 帅五平六
 炮７平５
49. 车六平三
 车２平４
51. 帅六平五
 卒３平２
53. 车三平七
 炮２进２
55. 相七进五
 将５平４
57. 仕五进六
 卒２平１
59. 马三进四
 炮５进２"
7	2013年苏浙皖三省第五届城市象棋比赛	10	20131124	无锡个人	华鸣	先负	高云路	常州个人	96	...	钱宇新	...	241	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 兵七进一
 象３进５
11. 马八进七
 炮２进１
13. 车二平三
 马３退５
15. 马七进六
 卒３进１
17. 马六进七
 卒３进１
19. 炮八平七
 炮２进３
21. 兵三进一
 卒３进１
23. 炮七退一
 卒７进１
25. 车三退二
 炮８退１
27. 车三平七
 炮８平７
29. 车七退一
 炮２退４
31. 马七进六
 炮７平４
33. 车九平八
 炮２平１
35. 车八进八
 炮４进７
37. 马三进四
 车８进５
39. 马四进六
 象５进３
41. 车七进二
 车８平４
43. 马六进七
 车１平３
45. 马七退五
 车３进４
47. 马五退七
 炮１平５
49. 炮七平八
 炮５进５
51. 车八平六
 马５进４
53. 炮八进八
 士４进５
55. 相三进五
 马７进６
57. 车六平八
 车４退１
59. 马七退九
 卒１进１
61. 炮八平九
 将５平４
63. 马九退七
 车４进２
65. 车八退五
 炮４平８
67. 仕四进五
 炮８退２
69. 车八进六
 将４进１
71. 马七进八
 马４进２
73. 车八退四
 马６进７
75. 炮九平三
 炮８平５
77. 帅五平四
 马７进８
79. 炮三退八
 炮５退４
81. 车八平二
 车４平６
83. 帅四平五
 车６平９
85. 车二平五
 炮５平７
87. 车五平六
 士５进４
89. 车六平二
 炮７平５
91. 车二进三
 士４退５
93. 帅五平四
 车９进３
95. 帅四进一
 马８退７"
8	2013年石狮·爱乐杯全国象棋个人赛女子组	1	20131104	青岛市象棋协会	刘永寰	先负	刘丽梅	黑龙江队	190	中炮过河车互进七兵对屏风马上士	中国象棋协会	...	436	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 士４进５
11. 马八进七
 炮８平９
13. 车二平三
 炮９退１
15. 马七进六
 炮９平７
17. 车三平四
 马７进８
19. 车四退三
 象７进５
21. 车九进一
 炮２进４
23. 兵五进一
 炮２平７
25. 相三进一
 车１平２
27. 炮八平六
 马８进９
29. 马三进一
 车８进６
31. 车九平三
 车８平９
33. 马六进五
 马３进５
35. 炮五进四
 车９退１
37. 兵五进一
 车２进４
39. 车四进二
 前炮平５
41. 车三平四
 炮５退３
43. 兵五进一
 车２平６
45. 车四进四
 车９平５
47. 仕四进五
 车５退２
49. 炮六平九
 车５进２
51. 炮九进四
 卒９进１
53. 相七进九
 炮７平８
55. 车四退二
 车５进２
57. 车四退一
 车５退１
59. 兵九进一
 炮８进４
61. 兵九进一
 车５平２
63. 车四进四
 卒９进１
65. 炮九进三
 车２退６
67. 炮九退一
 车２进７
69. 车四退四
 车２平６
71. 仕五进四
 炮８退１
73. 炮九进一
 士５退４
75. 炮九平八
 炮８平１
77. 炮八退五
 卒９进１
79. 相一退三
 卒９平８
81. 仕四退五
 炮１平５
83. 帅五平四
 卒８平７
85. 相三进一
 炮５进３
87. 相九退七
 炮５平３
89. 炮八进一
 前卒平６
91. 炮八退一
 卒６平５
93. 相一退三
 卒５平４
95. 相七进五
 卒４平３
97. 炮八平九
 炮３平２
99. 炮九平八
 士６进５
101. 帅四进一
 炮２进１
103. 帅四退一
 炮２平４
105. 相三进一
 炮４退７
107. 炮八进三
 炮４平３
109. 炮八平七
 前卒平４
111. 相五退七
 士５进４
113. 相七进九
 后士进５
115. 相九退七
 士５进６
117. 相七进九
 将５平６
119. 相九退七
 象５退７
121. 相七进五
 象３进５
123. 相五退七
 卒４平５
125. 仕五进四
 炮３平９
127. 炮七平八
 炮９平３
129. 相七进九
 卒５平４
131. 炮八退三
 炮３平７
133. 炮八退四
 卒４平５
135. 炮八平七
 炮７平６
137. 仕六进五
 卒３进１
139. 兵七进一
 象５进３
141. 相九进七
 炮６平３
143. 相七退五
 炮３平８
145. 相一退三
 卒５平６
147. 炮七进四
 卒７进１
149. 炮七平八
 卒７平６
151. 相五进七
 炮８平６
153. 相三进五
 前卒平５
155. 仕五退六
 卒６进１
157. 仕四退五
 卒５平４
159. 帅四平五
 卒６平５
161. 相五退三
 将６平５
163. 相七退九
 象７进９
165. 相九退七
 象９进７
167. 炮八平五
 卒５平６
169. 相三进五
 卒６平７
171. 炮五平九
 卒４平３
173. 炮九退一
 卒３进１
175. 炮九进一
 卒３进１
177. 炮九平一
 卒３平４
179. 炮一退三
 炮６平４
181. 相七进九
 卒７进１
183. 相九进七
 将５平６
185. 帅五平四
 卒７进１
187. 炮一进一
 炮４平２
189. 相七退九
 炮２进８"
9	2013年江苏省句容茅宝杯十一市象棋邀请赛	1	20131116	温州市苍南队	章士卯	先负	徐向海	常州市武进区	98	...	钱宇新	...	274	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 象３进５
11. 马八进七
 炮２进１
13. 车二退二
 士４进５
15. 兵三进一
 卒７进１
17. 车二平三
 马７进６
19. 车三平四
 炮８平７
21. 车四进一
 炮７进７
23. 仕四进五
 炮７平９
25. 炮五平六
 车１平４
27. 炮八进二
 车４进６
29. 相七进五
 炮２进１
31. 车四退三
 炮２平５
33. 马三进二
 卒３进１
35. 车四进二
 车８进４
37. 帅五平四
 炮５进３
39. 兵七进一
 炮５平８
41. 车九进二
 象５进３
43. 炮六平五
 象７进５
45. 炮五平三
 马３进４
47. 车四平五
 卒５进１
49. 车五平四
 马４进５
51. 炮三进七
 象５退７
53. 马七进五
 炮８进２
55. 帅四进一
 车４平５
57. 车九平一
 炮９退３
59. 炮八进二
 车８退１
61. 车一平八
 车５平４
63. 炮八平三
 炮９平８
65. 车八进七
 车４退６
67. 车八退三
 后炮平５
69. 马二进四
 车８进５
71. 帅四进一
 象３退５
73. 马四进三
 车８退６
75. 马三进四
 炮８平６
77. 帅四平五
 炮６退９
79. 车四进四
 车８进５
81. 仕五进四
 车４进９
83. 炮三退五
 车８平７
85. 炮三平四
 炮６进７
87. 车八进三
 车４退９
89. 车八平六
 将５平４
91. 车四退六
 车７平６
93. 帅五平四
 炮５进２
95. 炮四退一
 卒５进１
97. 炮四平九
 炮５平１"
10	2013年石狮·爱乐杯全国象棋个人赛女子组	3	20131106	安徽省棋院	赵冬	先负	吴可欣	浙江波尔轴承象棋队	58	...	中国象棋协会	...	509	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 马２进３
7. 兵七进一
 卒７进１
9. 车二进六
 象３进５
11. 马八进七
 士４进５
13. 炮八平九
 炮２进４
15. 兵五进一
 车１平４
17. 车九平八
 炮２平３
19. 兵五进一
 卒５进１
21. 兵三进一
 卒７进１
23. 车二退三
 炮３平４
25. 车二平五
 炮４退３
27. 车五进二
 卒７进１
29. 马三进五
 卒７平６
31. 马五进四
 马７进６
33. 车五平四
 炮４平５
35. 仕六进五
 炮８进７
37. 车四平五
 车８进８
39. 炮五进四
 马３进５
41. 车五进一
 车４进８
43. 车八进九
 士５退４
45. 炮九退二
 卒６进１
47. 相七进九
 卒６进１
49. 仕五进四
 车８平７
51. 车五平二
 车７进１
53. 车二退六
 车７平８
55. 马七进五
 车４平１
57. 炮九平六
 卒６进１"
