比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年石狮·爱乐杯全国象棋个人赛男子甲组	10	20131114	河北金环钢构象棋队	申鹏	先和	孙逸阳	江苏棋院	243	过宫炮局	组委会	打虎将	541	"1. 炮二平六 *
 卒７进１
3. 马二进三
 马８进７
5. 兵七进一
 车９平８
7. 马八进七
 马２进１
9. 车一平二
 炮８进４
11. 炮六平五
 象３进５
13. 马三退一
 炮８退１
15. 炮八进二
 炮８平２
17. 车二进九
 马７退８
19. 马七进八
 炮２平４
21. 炮五进四
 士４进５
23. 车九进二
 马８进７
25. 炮五退二
 炮４进１
27. 兵七进一
 卒３进１
29. 马八进六
 马７进５
31. 车九平四
 卒３进１
33. 马六进四
 炮４平６
35. 车四进四
 马５进３
37. 炮五平二
 车１平４
39. 相三进五
 卒３进１
41. 仕四进五
 卒９进１
43. 炮二进三
 马１退２
45. 马一进二
 车４进５
47. 兵三进一
 卒７进１
49. 马二进一
 卒７进１
51. 马一退三
 马２进４
53. 车四退一
 卒７平６
55. 马三进四
 士５进６
57. 车四退二
 车４平８
59. 炮二平三
 马４进５
61. 炮三退七
 后士进５
63. 兵五进一
 马３进５
65. 马四退五
 车８平５
67. 车四平七
 马５进７
69. 炮三进四
 卒１进１
71. 仕五进四
 车５平６
73. 仕六进五
 士５退４
75. 相七进九
 士４进５
77. 相九进七
 车６平４
79. 车七平二
 车４退２
81. 车二平八
 车４平８
83. 相五退三
 车８平３
85. 相三进五
 车３平８
87. 仕五退四
 车８平６
89. 前仕退五
 车６平８
91. 炮三平六
 车８进３
93. 车八平二
 马７进８
95. 炮六退三
 象７进９
97. 炮六平九
 将５平４
99. 仕五进六
 马８进６
101. 帅五进一
 马６退５
103. 炮九进四
 将４平５
105. 炮九平八
 马５进４
107. 兵九进一
 马４退２
109. 兵一进一
 象９退７
111. 兵一进一
 象７进９
113. 兵一进一
 象９退７
115. 帅五平六
 马２退４
117. 兵一平二
 马４退３
119. 兵二平三
 马３进５
121. 兵三平四
 马５退３
123. 炮八退二
 马３退４
125. 炮八平五
 将５平６
127. 帅六平五
 马４进２
129. 帅五平四
 马２进３
131. 兵九进一
 马３进５
133. 兵四平三
 将６平５
135. 仕四进五
 将５平４
137. 帅四退一
 将４平５
139. 帅四平五
 将５平４
141. 兵九平八
 马５退７
143. 兵八进一
 马７进５
145. 兵八平七
 象５进７
147. 炮五平六
 前象退５
149. 炮六进二
 将４平５
151. 相五进三
 将５平４
153. 帅五平六
 象５退３
155. 兵七进一
 马５退３
157. 帅六平五
 象３进５
159. 帅五平四
 马３退１
161. 兵七平六
 将４平５
163. 兵六进一
 马１退３
165. 炮六退五
 象７进９
167. 仕五进六
 马３退２
169. 兵三平四
 象９退７
171. 帅四进一
 马２进１
173. 炮六平二
 马１进３
175. 炮二进八
 士５退６
177. 兵六平七
 马３退１
179. 兵七平六
 马１进３
181. 兵六平七
 马３退１
183. 兵七平六
 马１进３
185. 兵六平七
 马３退１
187. 兵七平六
 马１退２
189. 兵六平七
 马２进１
191. 兵七平六
 马１退２
193. 兵六平七
 马２进１
195. 兵七平六
 马１进３
197. 兵六平七
 前士退５
199. 炮二进一
 马３退１
201. 兵七平六
 马１进３
203. 兵六平七
 马３退１
205. 兵七平六
 马１进３
207. 兵六平七
 马３退１
209. 兵七平六
 马１退２
211. 兵六平七
 马２进１
213. 兵七平六
 马１进３
215. 兵六平七
 将５平４
217. 兵四平五
 象５进７
219. 兵五平六
 马３退１
221. 炮二退一
 士５进６
223. 兵七平八
 前士退５
225. 炮二退八
 前象退５
227. 兵六平五
 马１进３
229. 兵八平七
 马３退１
231. 炮二平六
 将４平５
233. 兵七平六
 马１进３
235. 兵五平四
 象７进９
237. 兵四平三
 象９退７
239. 兵三进一
 马３进５
241. 兵三进一
 马５退３
243. 兵三平四"
2	2013年福建省板桥津点杯象棋锦标赛男子组	4	20131201	龙岩永定县	吴建生	先和	康来春	泉州惠安县	106	过宫炮对进左马	中国第一棋迷	...	37	"1. 炮二平六 *
 马８进７
3. 马二进三
 车９平８
5. 兵三进一
 炮８平９
7. 马八进九
 马２进３
9. 兵七进一
 车８进４
11. 车一平二
 车８平４
13. 仕四进五
 卒３进１
15. 兵七进一
 车４平３
17. 相三进五
 卒７进１
19. 车二进四
 象３进５
21. 车九进一
 士４进５
23. 炮八进二
 车１平４
25. 兵三进一
 象５进７
27. 炮八平六
 车４平２
29. 车九平七
 车３进４
31. 马九退七
 炮２平１
33. 前炮平八
 前象退５
35. 车二平七
 马３进４
37. 马七进六
 马４进２
39. 马六进八
 炮１进４
41. 炮六平八
 车２平４
43. 马八进九
 马７进６
45. 马九进八
 车４进６
47. 车七平九
 炮１平５
49. 车九平四
 马６退４
51. 马三进五
 车４平５
53. 马八退七
 车５平２
55. 车四平六
 马４退３
57. 炮八平九
 车２退３
59. 车六平七
 马３进１
61. 马七进六
 炮９退１
63. 车七进五
 士５退４
65. 马六退四
 炮９平６
67. 车七退二
 马１进３
69. 炮九进七
 车２退３
71. 炮九退三
 马３进４
73. 车七平五
 士４进５
75. 炮九平一
 将５平４
77. 马四退三
 车２进４
79. 马三进五
 马４退５
81. 车五退一
 车２平９
83. 车五平六
 将４平５
85. 炮一平五
 士５进６
87. 车六退三
 炮６平９
89. 车六平三
 炮９进５
91. 车三进六
 炮９进３
93. 车三退五
 车９平８
95. 帅五平四
 车８平６
97. 帅四平五
 车６平８
99. 帅五平四
 车８平６
101. 帅四平五
 车６平８
103. 帅五平四
 车８退１
105. 炮五退三
 车８平４"
3	2013年福建省板桥津点杯象棋锦标赛男子组	7	20131202	福州长乐市	兰建成	先和	吴建生	龙岩永定县	106	...	中国第一棋迷	...	44	"1. 炮二平六 *
 马８进７
3. 马二进三
 车９平８
5. 兵三进一
 炮８平９
7. 马八进九
 卒１进１
9. 仕六进五
 马２进３
11. 炮六进四
 卒３进１
13. 炮六平七
 象３进５
15. 炮八平四
 车１平２
17. 马三进四
 车８进４
19. 马四进三
 炮２进４
21. 兵五进一
 炮２平９
23. 马三进一
 炮９退４
25. 炮四平一
 车２进３
27. 炮一进五
 象７进９
29. 炮七平一
 车２进２
31. 车九平八
 车２平５
33. 相七进五
 马３进４
35. 炮一退二
 车８进１
37. 车八平六
 马４进６
39. 车一进三
 士６进５
41. 车六进三
 车５平２
43. 车六平二
 车８进１
45. 车一平二
 车２进２
47. 炮一退二
 马６进５
49. 炮一平八
 马５进７
51. 帅五平六
 前马退８
53. 炮八进五
 马７进６
55. 炮八平一
 马６进５
57. 相三进五
 马５进３
59. 马九退七
 马８退６
61. 帅六平五
 马６进４
63. 仕五进六
 马４进６
65. 帅五进一
 马６进８
67. 炮一退三
 卒５进１
69. 兵九进一
 马８退７
71. 炮一平二
 马７进９
73. 炮二平一
 马９退７
75. 炮一平二
 马７进９
77. 炮二退二
 马９退８
79. 兵九进一
 卒５进１
81. 相五退三
 马３退１
83. 马七进九
 卒５进１
85. 炮二进一
 卒５平４
87. 帅五退一
 马８退７
89. 仕四进五
 将５平６
91. 炮二进三
 士５进４
93. 相三进五
 后士进５
95. 炮二退一
 马７进９
97. 兵三进一
 象５进７
99. 炮二平七
 马９进８
101. 炮七平四
 马８进７
103. 炮四退四
 将６平５
105. 兵九进一
 士５退６"
4	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	6	20140521	上海金外滩	孙勇征	先和	李智屏	湖北武汉光谷地产	50	...	中国象棋协会	...	812	"1. 炮二平六 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进１
9. 兵九进一
 炮２平３
11. 马七进八
 炮８进３
13. 马八进九
 车１平２
15. 车九平八
 炮３进３
17. 相三进五
 炮３进１
19. 炮八进三
 马７进６
21. 兵九进一
 马６进４
23. 车一平二
 士４进５
25. 兵三进一
 卒７进１
27. 马三进二
 卒７平８
29. 车八进四
 马４进６
31. 车二进一
 车２进２
33. 车八退一
 车２平４
35. 车八平七
 车４进５
37. 兵五进一
 马６退７
39. 车七平五
 象７进５
41. 兵五进一
 卒５进１
43. 炮八平三
 象５进７
45. 车五进二
 象７退５
47. 车二平八
 车８进３
49. 马九进七
 卒３进１"
5	2014年第6届句容茅山半岛杯象棋冠军赛男子组决赛	1	20140519	上海	孙勇征	先和	陶汉明	黑龙江	48	过宫炮对横车	中国象棋协会	...	1516	"1. 炮二平六 *
 车９进１
3. 马二进三
 象３进５
5. 马八进七
 马８进９
7. 车一平二
 卒９进１
9. 车二进四
 车９平４
11. 兵七进一
 车４进５
13. 炮六平四
 卒３进１
15. 相七进五
 车４退２
17. 车二平六
 车４进１
19. 马七进六
 卒３进１
21. 马六进五
 马２进４
23. 马五退四
 卒７进１
25. 车九平七
 车１平３
27. 车七进四
 车３进５
29. 相五进七
 炮８平７
31. 炮八进一
 马４进３
33. 炮四平九
 马３进１
35. 炮九进三
 卒１进１
37. 相三进一
 炮２平１
39. 炮八进二
 炮１进４
41. 炮八平一
 卒１进１
43. 炮一进一
 炮７进４
45. 兵一进一
 卒１平２
47. 相七退九
 炮７平８"
6	2014年第6届句容茅山半岛杯象棋冠军赛男子组预赛	5	20140519	上海	孙勇征	先和	王天一	北京	128	过宫炮对进左马	中国象棋协会	...	2522	"1. 炮二平六 *
 马８进７
3. 马二进三
 卒３进１
5. 车一平二
 车９平８
7. 兵三进一
 马２进３
9. 炮八进四
 马３进２
11. 炮八平三
 象７进５
13. 车二进五
 炮８平９
15. 车二平四
 车１进１
17. 马八进九
 车１平４
19. 仕六进五
 车８进３
21. 兵三进一
 马２退３
23. 兵七进一
 卒３进１
25. 车九平八
 象５进７
27. 车八进七
 车８平７
29. 马三进四
 车４进４
31. 炮六平三
 象７退５
33. 炮三进五
 车７退１
35. 车八平七
 车７进７
37. 相七进五
 车７退３
39. 马四进二
 炮９平３
41. 马二退三
 车４进１
43. 马三进二
 士４进５
45. 兵五进一
 卒３平４
47. 兵九进一
 车４平１
49. 相五退七
 卒４平５
51. 马二进四
 士５进６
53. 车四平六
 前卒平６
55. 车六进一
 炮３平１
57. 马九退七
 车１平３
59. 马七进五
 车３进３
61. 仕五退六
 车３退４
63. 车六退二
 车３平４
65. 马五进六
 炮１退１
67. 马四退二
 卒５进１
69. 马六进八
 象５进７
71. 马八进六
 后士进５
73. 马六进七
 将５平４
75. 马七退八
 炮１进１
77. 马二退三
 卒９进１
79. 马三退四
 炮１平５
81. 仕四进五
 炮５进１
83. 马八退六
 炮５平９
85. 马四进五
 炮９进３
87. 马六进七
 将４平５
89. 马七退九
 卒５进１
91. 马五退七
 卒９进１
93. 马九进七
 卒９平８
95. 兵九进一
 炮９退４
97. 前马退五
 炮９进２
99. 兵九进一
 象７退５
101. 马七进八
 卒８进１
103. 仕五进四
 卒８平７
105. 仕六进五
 卒６进１
107. 马五进三
 炮９平５
109. 帅五平六
 卒７进１
111. 马三退四
 卒７平６
113. 仕五进四
 卒６进１
115. 兵九平八
 卒６平５
117. 帅六进一
 后卒平６
119. 马八进六
 将５平４
121. 兵八平七
 卒６进１
123. 兵七平六
 卒６进１
125. 马四退三
 炮５平７
127. 马六退四
 炮７退３"
7	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	5	20140510	南京	袁福来	先和	陈汉华	湖北	122	过宫炮对横车	钱宇新	...	84	"1. 炮二平六 *
 车９进１
3. 马二进三
 车９平４
5. 马八进七
 炮８平５
7. 车一平二
 马８进７
9. 兵七进一
 马２进３
11. 仕六进五
 卒５进１
13. 车二进四
 车４进５
15. 炮六平四
 马３进５
17. 炮八进四
 车４平２
19. 炮八平五
 马７进５
21. 相七进五
 卒５进１
23. 兵五进一
 车２平７
25. 车九平八
 车１进２
27. 马三退一
 车７平９
29. 马一进二
 马５进７
31. 车八进三
 炮２退１
33. 兵五进一
 炮２平５
35. 兵五平四
 马７进８
37. 车八平二
 前炮平７
39. 兵四平五
 车９进３
41. 前车平六
 车９平７
43. 车二进四
 炮５进６
45. 帅五平六
 士４进５
47. 炮四进一
 炮７平４
49. 炮四平六
 炮４进４
51. 车二平九
 象３进１
53. 车六退一
 车７退５
55. 车六进二
 炮５平８
57. 马七进八
 车７进１
59. 马八进七
 车７平３
61. 马七进九
 炮８退５
63. 车六进一
 车３进４
65. 帅六进一
 车３退１
67. 帅六进一
 车３退６
69. 马九进八
 车３退２
71. 马八退九
 象７进５
73. 车六平九
 卒７进１
75. 兵五进一
 车３平４
77. 帅六平五
 象５退３
79. 马九进七
 车４进１
81. 车九平七
 士５退４
83. 兵五进一
 卒７进１
85. 马七退八
 炮８退１
87. 车七平一
 卒７进１
89. 车一平五
 车４平２
91. 兵五平四
 炮８平５
93. 车五平六
 象３进５
95. 帅五平六
 炮５平４
97. 帅六平五
 卒７平６
99. 兵四平五
 卒６平５
101. 帅五平四
 炮４平６
103. 马八进六
 车２平４
105. 车六平五
 士６进５
107. 兵五进一
 士４进５
109. 马六进四
 车４进１
111. 车五退三
 车４平６
113. 帅四平五
 车６退１
115. 车五平八
 将５平４
117. 车八进六
 将４进１
119. 车八退五
 车６进５
121. 兵九进一
 车６平１"
8	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	4	20140512	四川成都瀛嘉	李少庚	先和	蔚强	内蒙古伊泰	70	过宫炮局	中国象棋协会	...	626	"1. 炮二平六 *
 卒７进１
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 车二进四
 炮８平９
9. 车二平六
 士４进５
11. 马八进七
 炮２平４
13. 车六平八
 马２进３
15. 车九平八
 象３进５
17. 相七进五
 炮４退２
19. 炮八平九
 卒３进１
21. 兵七进一
 卒３进１
23. 前车平七
 马７进８
25. 马七进八
 马８进７
27. 马八进九
 马３进１
29. 车八进六
 车８进８
31. 仕六进五
 炮９平７
33. 炮九退一
 车８退１
35. 相五退七
 车８退３
37. 车八平五
 马７退６
39. 相三进五
 马６进４
41. 车七平六
 炮４进７
43. 仕五进六
 炮７进５
45. 车五平九
 车１平３
47. 车九进三
 车８进２
49. 车六平五
 车８平９
51. 车九平七
 象５退３
53. 仕六退五
 卒９进１
55. 炮九平八
 车９退１
57. 炮八进八
 象３进５
59. 车五进二
 车９平２
61. 炮八平九
 炮７退１
63. 车五平七
 士５进４
65. 炮九退四
 炮７平１
67. 炮九平五
 将５平４
69. 车七平六
 车２退３"
9	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	3	20140511	江苏句容茅山	徐超	先和	庄玉庭	广东碧桂园	222	...	中国象棋协会	...	367	"1. 炮二平六 *
 卒７进１
3. 马二进三
 马８进７
5. 车一平二
 车９平８
7. 车二进四
 炮８平９
9. 车二平四
 马２进３
11. 马八进七
 卒３进１
13. 兵七进一
 卒３进１
15. 车四平七
 炮２退１
17. 马七进六
 炮２平３
19. 车七平八
 象３进５
21. 相七进五
 车８进１
23. 车九进一
 车８平６
25. 车九平二
 士４进５
27. 炮八退一
 马７进６
29. 车二进六
 马６进４
31. 车八平六
 车６进３
33. 兵三进一
 车１平２
35. 兵三进一
 车６进４
37. 炮八进三
 车６平４
39. 仕四进五
 马３进２
41. 车六平七
 马２退４
43. 车七进二
 车２进５
45. 帅五平四
 炮９退１
47. 车二退三
 车２退１
49. 车二平六
 车２平７
51. 车六进二
 炮９平７
53. 马三进二
 车７平８
55. 车七退二
 炮７平８
57. 马二退三
 车８平６
59. 帅四平五
 车６进２
61. 车六平五
 车６平７
63. 车五退二
 炮８平７
65. 车五平三
 车７退１
67. 相五进三
 炮７进６
69. 车七进四
 车４平１
71. 车七退五
 炮７退１
73. 兵五进一
 炮７平１
75. 后相进五
 炮１退１
77. 兵五进一
 车１平２
79. 车七进三
 卒１进１
81. 炮六进四
 车２退４
83. 炮六平五
 将５平４
85. 车七平六
 将４平５
87. 兵五平六
 车２进２
89. 车六平七
 将５平４
91. 车七平六
 将４平５
93. 车六平七
 将５平４
95. 炮五退一
 车２平４
97. 车七平六
 将４平５
99. 炮五平九
 卒９进１
101. 炮九进四
 炮１进４
103. 相五退七
 车４平１
105. 炮九平八
 车１平２
107. 炮八平九
 炮１退３
109. 车六平七
 炮１平９
111. 车七进三
 士５退４
113. 车七退六
 车２退６
115. 炮九退四
 卒９进１
117. 兵六进一
 士４进５
119. 炮九平五
 将５平４
121. 炮五退一
 炮９进２
123. 炮五平一
 车２进４
125. 炮一退二
 车２平４
127. 兵六平五
 炮９平８
129. 车七平二
 炮８平６
131. 炮一平四
 炮６平９
133. 炮四平一
 炮９平６
135. 车二平五
 炮６退３
137. 兵五进一
 象７进５
139. 车五进四
 车４平９
141. 炮一平二
 车９平８
143. 炮二平一
 车８进３
145. 炮一进七
 车８退７
147. 炮一退一
 炮６平４
149. 车五平七
 将４平５
151. 仕五退四
 车８进３
153. 炮一进一
 车８退３
155. 炮一退三
 车８进３
157. 炮一进三
 车８退３
159. 炮一退三
 车８进４
161. 炮一平五
 将５平４
163. 车七进二
 将４进１
165. 炮五平一
 车８平５
167. 仕四进五
 炮４平５
169. 仕五进四
 车５平９
171. 车七退一
 将４退１
173. 炮一平二
 车９平８
175. 炮二平一
 炮５退３
177. 炮一进三
 车８退４
179. 炮一退一
 士５进４
181. 车七进一
 将４进１
183. 帅五平四
 车８进９
185. 帅四进一
 车８退１
187. 帅四退一
 车８进１
189. 帅四进一
 车８平４
191. 车七平四
 车４平９
193. 炮一平三
 车９退１
195. 帅四退一
 车９进１
197. 帅四进一
 车９退８
199. 车四平七
 将４平５
201. 车七退一
 将５退１
203. 帅四平五
 车９进７
205. 帅五退一
 车９进１
207. 帅五进一
 车９退６
209. 车七进一
 将５进１
211. 车七退五
 车９平５
213. 帅五平六
 车５平４
215. 帅六平五
 车４平５
217. 帅五平六
 炮５平６
219. 车七平六
 车５退１
221. 相三退五
 车５进５"
10	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	1	20140509	广东碧桂园	许银川	先和	孙勇征	上海金外滩	66	过宫炮对左中炮	中国象棋协会	...	3296	"1. 炮二平六 *
 炮８平５
3. 马二进三
 马８进７
5. 相三进五
 马２进３
7. 仕四进五
 炮２平１
9. 马八进九
 车１平２
11. 车九平八
 卒７进１
13. 兵七进一
 马７进６
15. 炮八进四
 马６进４
17. 车一平四
 炮１进４
19. 马九退七
 车９进１
21. 马七进六
 车９平２
23. 炮八退二
 马４进６
25. 车四进三
 前车进４
27. 车八进四
 车２进５
29. 车四进六
 将５平６
31. 马六进八
 炮１平３
33. 炮六平七
 炮５平７
35. 马八退九
 炮７进４
37. 马九进七
 炮７平３
39. 马三进四
 马３退５
41. 马四进五
 马５进６
43. 兵一进一
 卒７进１
45. 炮七平六
 卒７平８
47. 炮六进四
 马６进８
49. 炮六平一
 卒８平９
51. 炮一进三
 象７进５
53. 炮一平六
 卒１进１
55. 炮六退四
 卒１进１
57. 炮六平九
 马８进７
59. 马五退四
 炮３平１
61. 炮九平八
 卒１平２
63. 马四进三
 象５进３
65. 炮八进三
 卒２进１"
