比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年上海第四届“同峰杯”象棋大赛	7	20140308	江苏	陈伟康	先胜	言缵昭	江苏	57	上仕局	钱宇新	打虎将	1011	"1. 仕四进五 *
 卒７进１
3. 兵七进一
 马８进７
5. 马八进七
 马２进１
7. 相三进五
 象７进５
9. 炮八平九
 车１平２
11. 车九平八
 士６进５
13. 兵九进一
 炮２平４
15. 车八进九
 马１退２
17. 马二进三
 马２进３
19. 马七进六
 卒３进１
21. 兵七进一
 象５进３
23. 炮九平七
 前象退５
25. 炮七进四
 车９平６
27. 车一平四
 车６进９
29. 帅五平四
 炮８进２
31. 兵三进一
 卒７进１
33. 相五进三
 卒５进１
35. 相三退五
 卒１进１
37. 兵九进一
 炮８平１
39. 马三进二
 马３进１
41. 炮七平八
 卒５进１
43. 兵五进一
 炮１进１
45. 马二进三
 炮１平５
47. 炮二平三
 象５进７
49. 马六进八
 马７进５
51. 马八进六
 马５进６
53. 马六退五
 马６进７
55. 帅四平五
 马７退６
57. 马三进二"
2	2014年上海第四届“同峰杯”象棋大赛	1	20140307	江苏	陈伟康	先胜	孙昕昊	浙江	59	上仕局	组委会	打虎将	521	"1. 仕四进五 *
 卒３进１
3. 马八进九
 马２进３
5. 马二进三
 马８进７
7. 兵三进一
 象７进５
9. 车九进一
 卒７进１
11. 兵三进一
 象５进７
13. 车九平七
 马３进２
15. 兵七进一
 炮２平３
17. 相三进五
 炮８退１
19. 炮八平七
 马２进１
21. 马三进四
 炮８平３
23. 马四进六
 前炮进１
25. 车七平八
 卒１进１
27. 炮七进三
 后炮平８
29. 车一平三
 象３进５
31. 车八进六
 士４进５
33. 马六进五
 象７退５
35. 车八平五
 马７进６
37. 车五退一
 车１进３
39. 车五退一
 马６退８
41. 炮二进六
 车９平８
43. 炮二平三
 马８退７
45. 车三进八
 车８进９
47. 仕五退四
 炮３平７
49. 车五平三
 炮７平５
51. 后车平五
 车１平４
53. 仕六进五
 车８退６
55. 车三退一
 卒１进１
57. 车三平九
 士５退４
59. 车九退三"
3	2013年广州市象棋甲组联赛	3	20131116	广东	林川博	先胜	徐国栋	广东	91	上仕局	蓝小朋友	打虎将	2199	"1. 仕四进五 *
 卒７进１
3. 炮八平三
 象７进５
5. 车九进二
 马８进７
7. 车九平四
 马２进１
9. 马八进七
 车１平２
11. 相三进五
 炮２平４
13. 马二进四
 车２进４
15. 车一平三
 士６进５
17. 兵三进一
 卒７进１
19. 炮三进五
 炮４平７
21. 车三进四
 炮７平６
23. 兵七进一
 炮６进６
25. 车四退一
 车９平７
27. 车三进五
 象５退７
29. 车四进五
 车２平８
31. 炮二平一
 炮８平９
33. 炮一进四
 卒５进１
35. 车四退三
 车８退１
37. 炮一退一
 象７进５
39. 车四进二
 炮９进４
41. 炮一平五
 车８进６
43. 仕五退四
 炮９进３
45. 相五退三
 炮９平７
47. 帅五进一
 车８退１
49. 帅五进一
 卒１进１
51. 帅五平四
 车８退８
53. 相七进五
 炮７退５
55. 炮五退一
 马１进２
57. 仕四进五
 马２进３
59. 炮五进二
 炮７进３
61. 仕五进六
 炮７平９
63. 帅四退一
 车８进８
65. 帅四退一
 车８进１
67. 帅四进一
 车８退９
69. 后仕进五
 炮９退５
71. 相五进三
 炮９进７
73. 相三退五
 炮９平５
75. 相五退七
 炮５平９
77. 马七退九
 炮９退４
79. 马九进八
 卒１进１
81. 马八进九
 卒１进１
83. 马九进八
 炮９平４
85. 马八退六
 马３进２
87. 炮五退一
 炮４退１
89. 马六进四
 将５平６
91. 炮五进一"
4	2013年广州市象棋甲组联赛	1	20131116	广东	林川博	先胜	李家林	未知单位	57	上仕局	蓝小朋友	打虎将	928	"1. 仕四进五 *
 马８进７
3. 兵三进一
 炮８平９
5. 炮二平四
 车９平８
7. 马二进三
 马２进３
9. 兵七进一
 炮２平１
11. 炮八平五
 车１平２
13. 马八进七
 车８进４
15. 车一平二
 车２进４
17. 车二进五
 车２平８
19. 车九平八
 卒７进１
21. 兵三进一
 车８平７
23. 相三进一
 象７进５
25. 车八进六
 马７进８
27. 马三进四
 马８进７
29. 车八平七
 炮１退１
31. 马四进五
 马３进５
33. 炮五进四
 炮１平５
35. 炮五进二
 马７进９
37. 炮五平八
 炮９进４
39. 车七平一
 马９进７
41. 炮四退一
 炮９平８
43. 炮八退七
 炮８退５
45. 马七进六
 车７平４
47. 马六退五
 马７退６
49. 车一平四
 马６退７
51. 马五进三
 卒１进１
53. 马三进五
 马７进５
55. 兵五进一
 车４进１
57. 兵五进一"
5	2013年广东省首届四季茶香杯青少年象棋精英赛男子组	8	20130714	汕头棋协	方艺霖	先胜	沈珏韬	东莞棋协	61	上仕局	顺德小丁	打虎将	2125	"1. 仕四进五 *
 卒７进１
3. 炮八平四
 马２进３
5. 马八进七
 车１平２
7. 马二进一
 马８进７
9. 相三进五
 士６进５
11. 车九平八
 炮２进４
13. 兵三进一
 卒７进１
15. 车一平三
 卒７进１
17. 车三进三
 马７进８
19. 炮二进二
 象７进５
21. 车三进一
 炮８进３
23. 车三平二
 马８退７
25. 马一进三
 车９平６
27. 车二进三
 车６进２
29. 炮四平一
 马７退６
31. 车二退三
 马６进７
33. 车二进三
 马７退６
35. 车二退一
 车６平７
37. 马三进二
 车７进２
39. 炮一进四
 炮２平５
41. 炮一进三
 马６进７
43. 帅五平四
 车７平６
45. 帅四平五
 车６平７
47. 帅五平四
 车７平６
49. 帅四平五
 车６平７
51. 帅五平四
 车７平６
53. 帅四平五
 将５平６
55. 车二进三
 将６进１
57. 车二退一
 将６进１
59. 马七进五
 车６平８
61. 炮一退二"
6	2012年磐安伟业杯全国象棋个人赛女子组	8	20121018	天津市	单欣	先胜	陈烨	河南省棋牌院	76	上仕局	对局集	打虎将	3114	"1. 仕四进五 *
 炮２平５
3. 马八进七
 卒３进１
5. 车九平八
 马２进３
7. 兵三进一
 车１平２
9. 马二进三
 马８进９
11. 相三进五
 炮８进４
13. 车一平四
 炮８平３
15. 炮二进二
 车９进１
17. 车四进五
 车２进４
19. 炮八平九
 车２进５
21. 马七退八
 象３进１
23. 炮九平七
 车９平２
25. 马八进九
 车２进６
27. 炮七平六
 炮３进２
29. 炮二进三
 马３进２
31. 炮六进六
 炮３平４
33. 炮二退五
 炮５平３
35. 炮六平七
 炮３进７
37. 炮七退八
 车２平１
39. 车四平六
 炮４平３
41. 车六退一
 车１退１
43. 炮二进一
 车１进１
45. 马三进四
 马２退３
47. 车六进三
 象１退３
49. 炮二退一
 车１退１
51. 马四退六
 炮３退２
53. 马六进七
 象３进５
55. 马七进五
 马３退２
57. 车六退四
 车１平２
59. 马五退六
 车２退１
61. 炮二进二
 炮３退２
63. 马六进四
 车２退４
65. 马四进六
 炮３平８
67. 兵三进一
 炮８退３
69. 炮二平五
 士４进５
71. 车六平七
 将５平４
73. 炮七进二
 士５进４
75. 炮七平六
 将４进１"
7	2012年第05届杨官璘杯全国象棋公开赛海外组	7	20120920	越南	黎明智	先胜	胡伟长	法国	133	上仕局	小猴子	打虎将	3577	"1. 仕四进五 *
 卒７进１
3. 炮二平六
 马８进７
5. 兵七进一
 炮２平３
7. 相三进五
 马２进１
9. 马八进七
 车１平２
11. 车九平八
 卒３进１
13. 炮八进五
 象７进５
15. 炮六进五
 卒３进１
17. 炮六平三
 炮３进５
19. 相五进七
 炮３退１
21. 车八进三
 炮３平７
23. 炮三退四
 车２进２
25. 前相退五
 车９平８
27. 马二进三
 炮８平９
29. 车一平二
 车８进９
31. 马三退二
 卒１进１
33. 马二进三
 车２进２
35. 车八进二
 马１进２
37. 炮三平二
 马２进４
39. 兵五进一
 马４进２
41. 炮二平五
 马２退３
43. 马三进四
 炮９进４
45. 炮五进三
 士４进５
47. 兵五进一
 炮９平６
49. 兵五平六
 马３进２
51. 马四退六
 马２退４
53. 马六进八
 炮６退５
55. 炮五退二
 马４进２
57. 炮五进一
 炮６进５
59. 马八退六
 卒７进１
61. 马六进七
 马２进３
63. 帅五平四
 卒７进１
65. 炮五进一
 炮６退４
67. 帅四进一
 象３进１
69. 炮五平七
 卒７平６
71. 仕五进四
 马３进５
73. 马七退八
 马５退７
75. 马八进九
 炮６进２
77. 马九进八
 卒６进１
79. 帅四平五
 炮６平８
81. 帅五平六
 卒６平５
83. 仕六进五
 炮８进４
85. 马八退六
 士５进４
87. 马六进四
 将５进１
89. 马四退五
 象５进３
91. 炮七平五
 卒９进１
93. 相七进九
 将５平６
95. 相九进七
 卒５进１
97. 炮五退五
 马７退５
99. 帅六退一
 马５退６
101. 马五进六
 象３退５
103. 炮五进三
 士６进５
105. 马六退五
 象１退３
107. 兵六进一
 炮８退８
109. 马五退三
 卒９进１
111. 马三进二
 卒９进１
113. 炮五退三
 炮８平４
115. 帅六平五
 卒９平８
117. 炮五平四
 士５进６
119. 马二进四
 卒８平７
121. 兵六进一
 将６平５
123. 马四进三
 将５退１
125. 马三退二
 将５进１
127. 马二退四
 将５平６
129. 兵六进一
 将６进１
131. 兵六进一
 象３进１
133. 马四退五"
8	2012年重庆长寿首届健康杯象棋公开赛成年组	5	20120601	重庆	秦湎	先胜	梁妍婷	四川	37	上仕局	逍遥君子	打虎将	4159	"1. 仕四进五 *
 卒３进１
3. 兵三进一
 马２进３
5. 马二进三
 马８进９
7. 马八进七
 象３进５
9. 马三进二
 车９平８
11. 马二进三
 炮８平７
13. 马三进一
 象７进９
15. 炮二平四
 士４进５
17. 相七进五
 马３进４
19. 兵一进一
 马４进３
21. 炮八进四
 车１平３
23. 炮八平一
 卒３进１
25. 车九平八
 卒３平４
27. 兵一进一
 车３进４
29. 车八进六
 卒４进１
31. 车一进三
 马３退４
33. 兵五进一
 车３进３
35. 炮四平七
 马４退２
37. 炮一平八"
9	2011年中国移动幸福惠州象棋公开赛	1	20111005		王友元	先胜	梁运龙	东莞	154	上仕局	小猴子	打虎将	4758	"1. 仕四进五 *
 炮８平４
3. 炮二平五
 马８进７
5. 马二进三
 车９平８
7. 马八进九
 象３进５
9. 炮八平七
 马２进１
11. 车九平八
 车１平２
13. 车八进四
 卒１进１
15. 兵三进一
 炮２平３
17. 车八平六
 士４进５
19. 马三进四
 车８进４
21. 马四进五
 马７进５
23. 炮五进四
 炮４进２
25. 相三进五
 车２进７
27. 炮七退一
 马１进２
29. 车六退二
 车２平４
31. 仕五进六
 马２进４
33. 兵五进一
 炮４进３
35. 炮五平四
 炮４进１
37. 车一进二
 车８进５
39. 炮四退六
 卒３进１
41. 仕六进五
 炮３进１
43. 相五退三
 车８平７
45. 车一平六
 马４进２
47. 车六退一
 车７退４
49. 兵五进一
 车７平５
51. 车六进五
 马２进３
53. 马九退七
 炮３进３
55. 马七进五
 炮３平２
57. 车六平八
 炮２平５
59. 兵五平六
 卒７进１
61. 车八退三
 卒３进１
63. 炮四进五
 卒１进１
65. 兵九进一
 卒７进１
67. 兵九进一
 卒７进１
69. 炮四平五
 炮５退２
71. 马五进三
 车５平７
73. 兵六平五
 卒３平２
75. 车八平五
 车７平３
77. 相七进五
 车３退１
79. 兵九进一
 车３退１
81. 兵九进一
 车３退１
83. 兵九进一
 车３退１
85. 车五平九
 卒２进１
87. 车九进二
 卒２平３
89. 马三进五
 卒３进１
91. 兵五进一
 卒３进１
93. 马五进六
 士５进４
95. 车九退四
 卒３平４
97. 相五进七
 车３平８
99. 车九平六
 车８平１
101. 车六进二
 车１进８
103. 仕五退六
 车１退５
105. 车六平五
 士６进５
107. 相七退五
 车１平４
109. 车五进一
 车４进２
111. 兵一进一
 车４平９
113. 兵五进一
 象７进５
115. 车五进三
 车９退１
117. 车五平一
 车９平６
119. 车一进二
 士５退６
121. 车一退三
 车６退４
123. 仕六进五
 车６平２
125. 马六进四
 车２平６
127. 马四退五
 士４退５
129. 车一平八
 士５退４
131. 相五进七
 士６进５
133. 车八平一
 车６进３
135. 马五进七
 车６平３
137. 马七进五
 士５进６
139. 马五进七
 将５平６
141. 马七退六
 士６退５
143. 车一进三
 将６进１
145. 车一退五
 将６退１
147. 车一平四
 将６平５
149. 马六退四
 车３退２
151. 马四进六
 车３平４
153. 车四进二
 车４平３"
10	2011年伊泰杯全国象棋甲级联赛	16	20110720	河北金环钢构象棋队	苗利明	先胜	陶汉明	黑龙江象棋队	63	上仕局	象棋大师网	好点子	8163	"1. 仕四进五 *
 卒７进１
3. 炮二平三
 象３进５
5. 马二进一
 马８进７
7. 车一平二
 车９平８
9. 炮八平四
 马２进４
11. 车九进一
 炮８进６
13. 仕五退四
 炮８退２
15. 马八进七
 卒５进１
17. 兵一进一
 炮２平３
19. 车九平六
 马４进５
21. 车六进三
 炮３退１
23. 相三进五
 卒３进１
25. 仕四进五
 炮３平９
27. 车六平四
 车８进３
29. 马一进二
 炮９进４
31. 马二进三
 车８平７
33. 车二进三
 炮９退１
35. 车四进四
 象５退３
37. 车四平三
 车１进２
39. 兵三进一
 象７进９
41. 炮三退一
 士４进５
43. 炮四平三
 车７平６
45. 兵三进一
 车６进５
47. 前炮进五
 马５进７
49. 车三平二
 将５平４
51. 前炮进二
 将４进１
53. 前炮退一
 车６退７
55. 后车进三
 炮９进２
57. 仕五进六
 马７退６
59. 后炮平六
 车１平４
61. 后车平七
 炮９平３
63. 车七平八"
