比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2013年福建省板桥津点杯象棋锦标赛男子组	4	20131201	南平政和县	刘刚	先负	王晓华	宁德霞浦县	116	中炮过河车左边马对屏风马	中国第一棋迷	打虎将	58	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进六
 马２进３
9. 马八进九
 马７进６
11. 车九进一
 象３进５
13. 车九平四
 炮８平６
15. 车二进三
 炮６进６
17. 车二退八
 炮６平２
19. 炮八进二
 前炮退１
21. 炮八平七
 马６进４
23. 车二平六
 马４进５
25. 相三进五
 前炮平７
27. 炮七进三
 士４进５
29. 车六平八
 炮２进５
31. 仕四进五
 车１平２
33. 仕五进四
 炮７平８
35. 车八平二
 炮８平９
37. 兵九进一
 炮２平６
39. 车二进一
 炮６平１
41. 相七进九
 炮９进２
43. 车二进四
 车２进５
45. 车二平五
 车２平１
47. 炮七平九
 车１平８
49. 车五平七
 车８进１
51. 炮九进二
 士５进６
53. 兵五进一
 车８平７
55. 兵五进一
 卒７进１
57. 兵五进一
 卒７平６
59. 兵五平六
 车７进３
61. 帅五进一
 车７平４
63. 车七进三
 将５进１
65. 车七平六
 车４退４
67. 帅五退一
 炮９平８
69. 炮九退一
 卒６平５
71. 兵七进一
 炮８退３
73. 兵七进一
 炮８平５
75. 相五退三
 炮５平４
77. 兵七进一
 卒５平６
79. 相三进五
 炮４平５
81. 相五退三
 炮５退２
83. 车六平四
 车４平５
85. 帅五平六
 炮５平１
87. 炮九平六
 象５进７
89. 车四退二
 炮１平４
91. 兵六平五
 车５退２
93. 车四平六
 炮４退３
95. 车六进一
 将５退１
97. 兵七进一
 卒６进１
99. 兵七进一
 卒６进１
101. 车六进一
 将５进１
103. 兵七平六
 将５平６
105. 车六平三
 卒６进１
107. 车三退四
 将６进１
109. 车三平四
 将６平５
111. 车四退四
 车５平４
113. 车四平六
 车４进５
115. 帅六进一
 卒９进１"
2	2014年第6届句容茅山半岛杯象棋冠军赛女子组预赛	1	20140517	上海	单霞丽	先负	赵冠芳	云南	84	中炮过河车对屏风马	中国象棋协会	...	1049	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 炮８进２
7. 炮八平六
 马２进３
9. 马八进七
 炮２退１
11. 车二进一
 象７进５
13. 车九平八
 炮２平８
15. 车二平四
 马７进６
17. 兵七进一
 车１进１
19. 车四进三
 车１平４
21. 炮六进二
 后炮平６
23. 车四平二
 车９平８
25. 炮五平六
 车４平３
27. 相七进五
 卒７进１
29. 车二平三
 炮８平７
31. 前炮退一
 炮６进１
33. 马七进六
 炮６平７
35. 马六进四
 后炮进３
37. 兵三进一
 炮７进３
39. 后炮平三
 车８进４
41. 马四进三
 车８平５
43. 车八进一
 车５进２
45. 炮六退一
 车５平６
47. 车八进五
 车３平６
49. 仕六进五
 卒５进１
51. 车八平七
 马３退２
53. 炮三平一
 后车进１
55. 马三退一
 后车进１
57. 车七进二
 马２进１
59. 车七平六
 马１进３
61. 车六退三
 卒５进１
63. 兵三进一
 前车平１
65. 马一退二
 车１退２
67. 车六平九
 马３进１
69. 兵三平四
 车６平８
71. 马二退三
 马１进２
73. 炮六平八
 卒１进１
75. 兵一进一
 卒１进１
77. 兵一进一
 卒１进１
79. 炮一退一
 卒１进１
81. 炮八平六
 车８进４
83. 兵一平二
 卒１平２"
3	2014年四川成都“惠丰杯”街子古镇象棋公开赛	8	20140506	四川	张华明	先负	林建中	四川	112	中炮过河车左边马对屏风马	fbcfbc	...	250	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进六
 马２进３
9. 马八进九
 马７进６
11. 车二退二
 卒７进１
13. 车二平三
 炮８平７
15. 车九进一
 炮２进２
17. 兵七进一
 象３进５
19. 车三进二
 士４进５
21. 车九平六
 车８进４
23. 兵三进一
 炮２退１
25. 炮八进三
 卒３进１
27. 车三进一
 马３进２
29. 兵三进一
 马６退７
31. 兵三平二
 卒３进１
33. 车六进四
 马２进４
35. 兵二平三
 炮２平３
37. 马三进四
 车１平２
39. 兵三进一
 炮３进６
41. 仕六进五
 炮３平１
43. 仕五进六
 车２进９
45. 帅五进一
 车２退１
47. 帅五退一
 车２平６
49. 兵三进一
 车６退３
51. 马九退七
 马４进５
53. 相三进五
 炮１平６
55. 相五进七
 炮６退３
57. 相七退五
 车６平２
59. 马七进六
 车２进４
61. 帅五进一
 车２退３
63. 兵五进一
 炮６平５
65. 帅五平六
 车２进２
67. 帅六退一
 车２平７
69. 马六进八
 炮５平３
71. 马八进七
 车７退６
73. 马七进九
 象５进３
75. 车六退二
 炮３进２
77. 车六平七
 车７平１
79. 车七退二
 车１平４
81. 帅六进一
 车４进４
83. 车七进四
 车４平５
85. 车七进四
 士５退４
87. 车七退三
 车５退１
89. 车七平九
 车５进２
91. 兵一进一
 象７进５
93. 车九平六
 车５退２
95. 兵九进一
 卒５进１
97. 车六平一
 车５平１
99. 车一平五
 卒５进１
101. 车五进一
 士４进５
103. 车五退一
 车１平４
105. 帅六平五
 卒５平６
107. 车五平四
 卒６平７
109. 车四平三
 卒７平８
111. 车三平二
 卒８平９"
4	2013年广东省第2届丘比尔杯青少年象棋精英赛男子乙组	7	20140502	中山	陈荣豪	先负	方力驰	珠海	76	中炮过河车对屏风马	组委会	...	156	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进四
 马２进３
9. 马八进七
 炮８平９
11. 车二进五
 马７退８
13. 车九进一
 马８进７
15. 车九平六
 炮２平１
17. 炮八平九
 车１平２
19. 车六进三
 车２进４
21. 兵三进一
 马７进６
23. 车六平四
 炮９平６
25. 车四平五
 卒７进１
27. 车五平三
 象３进５
29. 兵七进一
 卒３进１
31. 马七进六
 卒３进１
33. 马六进四
 车２平６
35. 车三平七
 炮１退２
37. 车七平六
 炮１平３
39. 仕六进五
 炮３进９
41. 车六平七
 炮３平１
43. 炮九平七
 炮１平３
45. 炮七进五
 炮３退７
47. 炮五进四
 士４进５
49. 相三进五
 车６平７
51. 车七平三
 车７平５
53. 车三平五
 车５平７
55. 车五平三
 车７平５
57. 车三进二
 炮６平７
59. 车三平一
 炮３进５
61. 相五退七
 车５进２
63. 炮五平八
 车５平７
65. 马三退二
 车７进２
67. 炮八退五
 车７进１
69. 马二进一
 炮３平８
71. 车一平二
 车７平９
73. 车二平三
 炮７平９
75. 炮八进三
 车９退２"
5	2014年重庆忠县首届“体彩杯”象棋公开赛	4	20140430	重庆5	肖福发	先负	曾军	四川8	88	...	组委会	...	66	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 马八进七
 马２进３
9. 车二进六
 卒３进１
11. 兵五进一
 士４进５
13. 车二平三
 炮８进４
15. 马七进五
 车８进２
17. 兵五进一
 炮２进１
19. 车三退一
 象３进５
21. 车三退一
 车１平４
23. 炮八平九
 卒５进１
25. 车三平八
 炮２平７
27. 马五进三
 车８进２
29. 车九进一
 炮７进３
31. 车九平二
 炮７进３
33. 仕四进五
 炮７退４
35. 车八平三
 马７进６
37. 车三平四
 车４进６
39. 车二平四
 炮８平３
41. 前车进一
 车８平６
43. 车四进四
 卒５进１
45. 车四进三
 马３进４
47. 车四退三
 炮３退１
49. 炮五平四
 马４进３
51. 相七进五
 炮３平２
53. 炮九平七
 车４平７
55. 马三退四
 卒５进１
57. 相五退七
 炮２进４
59. 车四进一
 卒５进１
61. 车四平八
 炮２平１
63. 车八退六
 卒５平６
65. 仕五进四
 炮１退１
67. 车八进一
 炮１进１
69. 车八进二
 马３退５
71. 车八进六
 士５退４
73. 炮七平五
 车７平３
75. 车八退九
 炮１平３
77. 仕六进五
 炮３平６
79. 仕五退四
 车３进１
81. 炮五退一
 士６进５
83. 炮五平四
 车３平６
85. 炮四平六
 车６平５
87. 炮六平五
 马５进６"
6	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	8	20140502	高邮	李平	先负	苗永鹏	辽宁	90	...	钱宇新	...	135	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 炮８进２
7. 兵七进一
 马２进３
9. 马八进七
 炮２退１
11. 车二进四
 象７进５
13. 车二平四
 卒３进１
15. 兵七进一
 炮８平３
17. 炮八平九
 车１平２
19. 车九平八
 炮３平２
21. 车八平九
 士６进５
23. 车四平七
 前炮平３
25. 车九平八
 炮３平２
27. 炮九平八
 前炮进５
29. 炮八进七
 前炮退９
31. 车七进三
 前炮进５
33. 兵五进一
 后炮平１
35. 马七进六
 炮２进１
37. 马三进五
 马７进６
39. 马五进七
 马６进４
41. 马七退八
 车９平６
43. 车七退三
 马４进５
45. 相七进五
 车６进６
47. 车七进二
 车６平２
49. 马八退七
 炮１进６
51. 车七平九
 车２平７
53. 兵一进一
 炮１平５
55. 仕六进五
 车７进３
57. 马七进八
 将５平６
59. 帅五平六
 车７平８
61. 马八进七
 炮５进２
63. 车九平五
 车８平６
65. 帅六进一
 炮５平９
67. 车五平二
 象５退７
69. 兵五进一
 车６退１
71. 帅六退一
 车６退１
73. 马七进八
 士５进６
75. 相五进七
 车６退２
77. 兵五进一
 士４进５
79. 车二平三
 象３进５
81. 兵五平四
 卒７进１
83. 相七退五
 卒７平８
85. 马八进七
 卒８进１
87. 兵四平五
 车６进４
89. 帅六进一
 卒８进１"
7	2014年广东东莞凤岗镇象棋赛公开赛第一季度	11	20140330	广东	罗祥旗	先负	郑志炜	潮汕陈国伟象棋队	46	中炮过河车七路马对屏风马	华南虎	...	1434	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 马７进６
11. 兵五进一
 卒７进１
13. 车二退一
 马６进４
15. 兵三进一
 马４进３
17. 车九进一
 车１进１
19. 兵五进一
 车１平４
21. 车九平七
 士４进５
23. 车七进一
 炮２进２
25. 兵五进一
 炮２平３
27. 炮八进七
 马３退２
29. 车七平八
 马２进３
31. 相七进九
 车４进４
33. 车八进四
 将５平４
35. 仕四进五
 马３进５
37. 车八平七
 炮８平５
39. 车七进三
 将４进１
41. 车二平四
 马５进６
43. 马三进五
 炮５进５
45. 仕五进六
 车４进２"
8	2014年广东东莞凤岗镇象棋赛公开赛第一季度	10	20140330	广东	吕进	先负	叶译平	广东	48	中炮过河车对屏风马	藍小朋友	...	920	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 马八进七
 马２进３
9. 车二进六
 炮８平９
11. 车二平三
 炮９退１
13. 车九进一
 士４进５
15. 兵五进一
 炮９平７
17. 车三平四
 马７进８
19. 车四进二
 炮２退１
21. 车四退四
 马８进７
23. 车九平六
 马７进５
25. 炮八平五
 炮７进６
27. 马七进五
 炮７退１
29. 兵五进一
 卒５进１
31. 车六进七
 炮２进３
33. 马五进六
 车１进１
35. 车六平九
 马３退１
37. 车四平八
 炮２平３
39. 兵七进一
 炮３进５
41. 仕六进五
 车８进２
43. 车八退四
 车８平４
45. 马六退五
 车４进４
47. 马五进四
 炮３退３"
9	2014年广东东莞凤岗镇象棋赛公开赛第一季度	1	20140328	广东	李伟东	先负	林川博	广东	46	...	藍小朋友	...	226	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 炮８进２
7. 炮八平六
 马２进３
9. 马八进九
 炮２退１
11. 车二进四
 炮２平７
13. 车九平八
 卒７进１
15. 车二退三
 卒７进１
17. 车八进七
 车１进２
19. 车八平九
 象３进１
21. 马三退一
 车９平８
23. 车二平四
 士４进５
25. 兵五进一
 炮８平３
27. 马九退七
 卒７平６
29. 兵七进一
 炮３平６
31. 车四平六
 车８进５
33. 马七进八
 车８平５
35. 车六平七
 炮６平５
37. 仕六进五
 车５平８
39. 相三进一
 车８进３
41. 车七进二
 马７进８
43. 相一进三
 车８平９
45. 车七平四
 车９退２"
10	2014年上海第四届“同峰杯”象棋大赛	8	20140308	广东	蔡佑广	先负	周平荣	江西	86	...	钱宇新	...	3146	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进六
 卒３进１
9. 兵五进一
 马２进３
11. 炮八进四
 炮８退１
13. 马八进七
 炮８平５
15. 车二平三
 炮５进４
17. 仕六进五
 车８进２
19. 车九进一
 象３进５
21. 车九平六
 士４进５
23. 车六进三
 卒５进１
25. 帅五平六
 炮５平８
27. 炮八平一
 车１平４
29. 车六进五
 马３退４
31. 炮一平九
 炮２平１
33. 兵七进一
 炮８进２
35. 马七进六
 马４进２
37. 马三进五
 炮１平４
39. 帅六平五
 马２进１
41. 车三平九
 车８进３
43. 车九进三
 炮４退２
45. 马六进七
 车８平４
47. 马七退五
 炮４平３
49. 兵七进一
 炮８退３
51. 后马退七
 车４进３
53. 马五进七
 炮３平４
55. 前马进九
 炮８退３
57. 马七进五
 车４平３
59. 马五进六
 车３进１
61. 仕五退六
 车３平４
63. 帅五进一
 马７进５
65. 马六进四
 炮８平６
67. 炮五进五
 士５进６
69. 马四进二
 炮６平８
71. 马二进四
 将５进１
73. 车九退一
 炮４进１
75. 马九退七
 将５平６
77. 马七退五
 将６平５
79. 马五进三
 象７进５
81. 马三进二
 马５进３
83. 帅五平四
 车４退１
85. 仕四进五
 马３进４"
