比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	2	20140510	黑龙江农村信用社	陶汉明	先负	蒋川	北京威凯建设	218	中炮过河车七路马对屏风马两头蛇	中国象棋协会	打虎将	2356	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车九平六
 马７进６
15. 兵五进一
 卒７进１
17. 车二平四
 马６进７
19. 马三进五
 炮２进３
21. 车四平二
 卒７平６
23. 兵七进一
 炮２平５
25. 炮五进二
 马７退５
27. 兵七进一
 车１平２
29. 炮八进二
 卒６进１
31. 车六进三
 卒５进１
33. 炮八平五
 卒５进１
35. 车六平五
 卒６平５
37. 马七进五
 马３退４
39. 相七进五
 马４进５
41. 车五进二
 马５退７
43. 车二退二
 马７进９
45. 马五进四
 车２进２
47. 兵一进一
 车２平６
49. 马四进六
 车６平３
51. 车二平七
 炮８平５
53. 仕六进五
 车８进４
55. 兵七进一
 车３平４
57. 马六退五
 象３进１
59. 兵九进一
 卒９进１
61. 兵七进一
 车４退１
63. 车五平六
 车４平２
65. 兵一进一
 车８平９
67. 马五进四
 车９平３
69. 车七进一
 车２进８
71. 车六退六
 车２平４
73. 帅五平六
 象１进３
75. 马四退五
 象３退１
77. 马五退七
 马９进７
79. 马七进六
 将５平４
81. 仕五进六
 炮５进２
83. 兵七平八
 象１进３
85. 兵八进一
 将４平５
87. 兵八平七
 马７进６
89. 马六进七
 卒１进１
91. 兵九进一
 炮５平１
93. 兵七平六
 士５进４
95. 仕六退五
 马６退５
97. 兵六进一
 将５进１
99. 马七退八
 炮１退１
101. 马八退七
 炮１平４
103. 兵六平七
 将５退１
105. 马七进五
 炮４平３
107. 仕五进四
 士６进５
109. 后仕进五
 象３退１
111. 马五退六
 象７进５
113. 马六进七
 马５进４
115. 兵七平八
 象５进３
117. 兵八平九
 士５进６
119. 兵九平八
 炮３平８
121. 相五进三
 炮８退３
123. 后相进五
 马４进６
125. 兵八平七
 象１退３
127. 帅六平五
 将５进１
129. 相三退一
 炮８平５
131. 相一退三
 马６进８
133. 帅五平六
 马８进９
135. 仕五进六
 马９退７
137. 仕六退五
 炮５平４
139. 仕五进六
 后象进５
141. 仕四退五
 将５平６
143. 仕五退四
 象５进７
145. 帅六进一
 马７退６
147. 马七退五
 马６退５
149. 马五进七
 士４退５
151. 仕六退五
 马５进４
153. 仕五进六
 马４进６
155. 帅六平五
 士５进４
157. 帅五平六
 士６退５
159. 帅六退一
 马６退８
161. 帅六进一
 马８进７
163. 帅六退一
 士５退６
165. 帅六进一
 马７退６
167. 马七退五
 士４退５
169. 仕六退五
 马６退５
171. 马五进七
 马５进４
173. 仕五进六
 马４进２
175. 帅六平五
 马２进１
177. 帅五退一
 马１退３
179. 帅五进一
 将６进１
181. 马七进五
 将６平５
183. 马五退七
 士５进６
185. 马七进五
 马３退２
187. 马五退四
 象７退９
189. 帅五退一
 马２进３
191. 帅五进一
 炮４进１
193. 马四进五
 马３退２
195. 帅五平四
 炮４平６
197. 帅四平五
 炮６进８
199. 帅五平四
 炮６平１
201. 马五进四
 士６进５
203. 马四退五
 象９进７
205. 仕六退五
 马２退４
207. 帅四退一
 炮１退５
209. 马五退六
 炮１退４
211. 帅四平五
 炮１平４
213. 马六进四
 马４进６
215. 仕五进四
 马６进４
217. 帅五进一
 马４退５"
2	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	1	20140509	广西跨世纪	张兰天	先负	柳大华	湖北武汉光谷地产	132	...	中国象棋协会	...	2832	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 象３进５
13. 车九平六
 士４进５
15. 兵五进一
 炮２进４
17. 兵七进一
 卒３进１
19. 兵五进一
 卒３进１
21. 马七进五
 车１平４
23. 车六进八
 将５平４
25. 车二退二
 炮８平９
27. 车二平六
 将４平５
29. 马五进七
 象５进３
31. 兵五平六
 炮２退１
33. 车六退二
 马７进６
35. 马七退五
 马６进５
37. 马三进五
 炮９进４
39. 马五进四
 卒３平４
41. 车六平七
 炮２平５
43. 仕六进五
 炮９进３
45. 帅五平六
 车８进９
47. 车七进三
 炮９平７
49. 帅六进一
 炮７退１
51. 帅六退一
 卒４进１
53. 仕五进六
 车８平６
55. 帅六进一
 炮５平８
57. 炮五平二
 车６退５
59. 车七进二
 车６平４
61. 车七进二
 车４退４
63. 车七退五
 炮８退３
65. 兵三进一
 卒７进１
67. 车七平三
 车４平３
69. 炮八平七
 炮７平８
71. 车三进五
 车３进４
73. 车三退三
 卒５进１
75. 车三平一
 卒５进１
77. 车一平五
 卒５平６
79. 帅六平五
 卒６进１
81. 炮二平一
 后炮平９
83. 炮一平二
 炮９平８
85. 车五平九
 车３平５
87. 炮二平五
 将５平４
89. 车九平六
 后炮平４
91. 车六平四
 卒６平７
93. 车四平三
 卒７平６
95. 车三平四
 卒６平７
97. 车四平三
 卒７平６
99. 车三平四
 卒６平７
101. 车四平三
 卒７平６
103. 车三平四
 卒６平７
105. 帅五退一
 炮８平１
107. 帅五平四
 卒７进１
109. 仕六退五
 炮１进１
111. 帅四进一
 炮４进６
113. 仕五进六
 炮１退１
115. 帅四退一
 车５平９
117. 炮五退二
 炮４进１
119. 炮五进四
 车９进５
121. 帅四进一
 炮４退１
123. 炮七退一
 车９平３
125. 车四平七
 车３平５
127. 炮五平九
 车５退２
129. 帅四退一
 炮１退３
131. 兵九进一
 车５平４"
3	2014年重庆忠县首届“体彩杯”象棋公开赛	2	20140430	重庆44	熊谦驰	先负	连泽特	新疆3	66	...	组委会	...	84	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车二平三
 炮８退１
15. 车三退一
 象３进１
17. 炮八进四
 炮８平７
19. 车三平七
 车１平３
21. 兵五进一
 象７进５
23. 车七退一
 马３进４
25. 炮八退一
 马４进３
27. 马三进五
 马７进６
29. 相三进一
 马６进７
31. 相一进三
 炮７平８
33. 炮八平二
 炮８平９
35. 车九平八
 炮９进５
37. 车七进五
 象１退３
39. 马五退三
 炮９进３
41. 炮二退五
 炮２平３
43. 车八进二
 炮３进５
45. 车八平七
 马７退５
47. 车七平五
 炮３平７
49. 炮二平三
 马５退３
51. 炮五进四
 车８进３
53. 炮五退一
 炮７平２
55. 相三退五
 炮２进２
57. 车五平一
 炮９平８
59. 相五进七
 车８平７
61. 前相退五
 车７进４
63. 帅五进一
 车７进１
65. 帅五退一
 车７平４"
4	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	3	20140501	泰兴	罗辑	先负	孙思阳	辽宁	44	...	钱宇新	...	173	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 炮２进１
13. 车二退二
 象３进５
15. 兵三进一
 卒７进１
17. 车二平三
 马７进６
19. 车九平二
 马６退８
21. 车二进五
 炮２平８
23. 车三进二
 后炮平６
25. 兵五进一
 炮８进４
27. 马七进五
 炮８平５
29. 相七进五
 车１平２
31. 炮八平六
 车８进４
33. 马五进三
 车８平７
35. 车三平一
 车２进６
37. 兵一进一
 车２平３
39. 兵一进一
 炮６进４
41. 后马进一
 炮６平１
43. 兵一平二
 车７退３"
5	2013年广东省第2届丘比尔杯青少年象棋精英赛男子甲组	1	20140501	顺德	梁泽华	先负	程宇东	广州	34	...	组委会	...	253	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 兵五进一
 炮２进１
13. 车二退二
 士４进５
15. 马七进五
 象３进５
17. 兵五进一
 卒５进１
19. 炮五进三
 炮２平５
21. 炮八平五
 车１平４
23. 仕六进五
 车４进６
25. 兵七进一
 炮５进３
27. 马三进五
 车４平５
29. 前炮退一
 炮８平９
31. 车二进五
 马７退８
33. 前炮平二
 卒３进１"
6	2014年上海第四届“同峰杯”象棋大赛	5	20140308	江苏	陈伟康	先负	张志刚	安徽	76	...	钱宇新	...	577	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车九平六
 炮２平１
15. 兵五进一
 车１平２
17. 马三进五
 马７进６
19. 炮八平九
 卒７进１
21. 车二退一
 马６退７
23. 车二平七
 卒７平６
25. 马五进七
 卒６平５
27. 车七进一
 马３退４
29. 炮九进四
 炮８进１
31. 炮九平五
 炮１平５
33. 前炮退一
 炮５进１
35. 车七进二
 马４进５
37. 车七退一
 炮８平７
39. 相三进一
 车８进４
41. 车七退二
 马５进３
43. 仕六进五
 卒５平４
45. 后马进五
 马３进５
47. 炮五进三
 卒４平３
49. 帅五平六
 象３进５
51. 炮五进二
 象７进５
53. 车七平二
 车２进９
55. 车六平七
 卒３平４
57. 车二平六
 炮５平３
59. 马五退七
 马７进５
61. 帅六平五
 马５进６
63. 车六退一
 马６进５
65. 车六退二
 马５进７
67. 帅五平六
 炮３退３
69. 相一进三
 炮３平４
71. 车六进七
 士５退４
73. 马七进五
 炮７平４
75. 仕五进四
 士４进５"
7	2014年广西北流新圩第7届大地杯象棋公开赛	3	20140208	广西	玉业团	先负	欧照芳	广西	161	...	组委会	...	437	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车九平六
 炮２平１
15. 车六进三
 车１平２
17. 炮八平九
 车２进６
19. 炮五平四
 车２平３
21. 相七进五
 马７进６
23. 车六平四
 炮８平６
25. 车二进三
 炮６进３
27. 车二退五
 炮６平３
29. 车二平四
 炮３进２
31. 炮四进一
 炮３进２
33. 相五退七
 车３进３
35. 马三退五
 车３平１
37. 炮九平七
 马３进４
39. 车四进一
 马４进５
41. 车四平七
 象３进５
43. 车七退二
 马５退６
45. 炮七平八
 车１平２
47. 马五退七
 炮１退２
49. 炮八平三
 马６进４
51. 马七进六
 车２退５
53. 仕四进五
 炮１平４
55. 炮四平六
 马４退６
57. 炮六平四
 马６进４
59. 炮四进三
 车２平６
61. 炮四平九
 炮４进４
63. 炮三平五
 炮４平２
65. 炮九进三
 士５进４
67. 马六进八
 马４进２
69. 车七平八
 炮２平３
71. 车八平七
 炮３平２
73. 仕五退四
 炮２进５
75. 仕六进五
 车６平１
77. 炮五平九
 车１平２
79. 后炮平一
 车２平１
81. 炮九平八
 炮２平１
83. 炮八退五
 车１平２
85. 车七进一
 车２平４
87. 炮八平九
 炮１平２
89. 车七平八
 炮２平３
91. 相三进五
 炮３退３
93. 兵一进一
 车４进２
95. 车八进五
 将５进１
97. 车八退六
 车４平７
99. 炮一进四
 车７平８
101. 炮一进二
 炮３平７
103. 相五退三
 卒７进１
105. 车八进五
 将５退１
107. 炮一平七
 炮７平５
109. 相三进五
 炮５退２
111. 车八进一
 象５退３
113. 车八平七
 将５进１
115. 炮九进四
 将５进１
117. 炮七退一
 将５退１
119. 炮七进一
 将５进１
121. 炮九退一
 将５退１
123. 炮七退五
 车８平５
125. 车七退一
 将５退１
127. 车七进一
 将５进１
129. 车七退三
 象７进５
131. 炮九退一
 炮５进３
133. 仕五进六
 将５平６
135. 兵九进一
 士６进５
137. 帅五平六
 将６退１
139. 炮七退二
 炮５平８
141. 炮九进三
 车５平２
143. 车七进三
 将６进１
145. 炮七进七
 士５退６
147. 车七平六
 炮８退７
149. 车六退一
 士６进５
151. 炮七平八
 炮８进９
153. 仕四进五
 车２进３
155. 帅六进一
 炮８退３
157. 仕五进四
 炮８平４
159. 帅六平五
 炮４退５
161. 炮八平七"
8	2014年重庆合川第五届“隆兴煤业杯”象棋公开赛	1	20140110	大渡口	何成华	先负	张若愚	南岸	40	...	组委会	...	559	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车九平六
 马７进６
15. 兵五进一
 卒７进１
17. 车二退一
 炮２进２
19. 兵三进一
 马６进５
21. 车二退三
 马５进７
23. 车二平三
 炮８平７
25. 车三平一
 炮７进７
27. 仕四进五
 车８进９
29. 炮五平三
 象３进５
31. 炮三退一
 炮７平４
33. 仕五退四
 炮４平６
35. 车一平二
 车８平７
37. 车六平四
 炮６平３
39. 帅五进一
 炮３退１"
9	2013年“孚日家纺杯”全国象棋女子甲级联赛	12	20140108	江苏棋院天一队	伍霞	先负	左文静	湖北武汉光谷地产队	100	...	中国象棋协会	...	1556	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一平二
 卒７进１
7. 车二进六
 马２进３
9. 马八进七
 卒３进１
11. 车九进一
 士４进５
13. 车九平六
 象３进５
15. 兵五进一
 炮２进４
17. 兵七进一
 卒３进１
19. 兵五进一
 卒３进１
21. 马七进五
 车１平４
23. 车六进八
 将５平４
25. 马五进七
 炮８平９
27. 车二进三
 马７退８
29. 炮八平六
 将４平５
31. 马七进八
 炮９退１
33. 炮五进四
 马３进５
35. 兵五进一
 马８进７
37. 兵五进一
 象７进５
39. 马八退六
 卒３平４
41. 炮六平九
 马７进６
43. 炮九进四
 炮９平７
45. 马三退五
 卒４进１
47. 马五进四
 炮２平５
49. 马六退五
 马６进５
51. 仕四进五
 卒４进１
53. 炮九平三
 马５进３
55. 兵九进一
 士５进６
57. 炮三平四
 炮７平３
59. 相七进九
 炮３平２
61. 相九退七
 炮２进８
63. 炮四平九
 马３退２
65. 炮九平五
 将５平４
67. 炮五平六
 马２进３
69. 相三进五
 将４平５
71. 炮六平五
 后士进５
73. 炮五平九
 马３退５
75. 炮九平五
 马５进３
77. 炮五平九
 马３退２
79. 炮九平二
 马２进４
81. 炮二退五
 马４进２
83. 马四进六
 马２进３
85. 马六退七
 炮２平１
87. 马七退八
 马３退２
89. 兵九进一
 卒４进１
91. 帅五平四
 卒４平５
93. 帅四进一
 炮１退１
95. 马八进六
 马２进４
97. 帅四进一
 炮１退１
99. 相五进七
 马４退３"
10	2013年“孚日家纺杯”全国象棋女子甲级联赛	10	20140106	江苏棋院天一队	张国凤	先负	赵寅	安徽省棋院队	192	...	中国象棋协会	...	982	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 车一平二
 车９平８
7. 车二进六
 马２进３
9. 马八进七
 马７进６
11. 车九进一
 卒７进１
13. 车二退一
 卒７进１
15. 车二平四
 卒７进１
17. 车九平二
 车１进１
19. 炮八进二
 车１平８
21. 车二进五
 炮８平７
23. 车二平三
 前车进８
25. 马七退五
 后车进４
27. 车四平二
 车８退５
29. 马五进三
 炮７进５
31. 炮八平七
 车８平３
33. 车三退四
 象３进５
35. 炮五退一
 炮２进４
37. 兵五进一
 炮２平９
39. 车三进一
 炮９进３
41. 兵五进一
 马３退２
43. 兵五进一
 车３平５
45. 车三平一
 炮９平８
47. 车一平二
 炮８平９
49. 兵五进一
 象７进５
51. 炮七平三
 士４进５
53. 车二进四
 将５平４
55. 炮三平六
 车５进１
57. 炮六退二
 马２进３
59. 车二退七
 炮９退５
61. 车二进五
 车５平６
63. 车二平六
 将４平５
65. 炮六平五
 车６退３
67. 车六进二
 马３退４
69. 车六进一
 炮９平８
71. 前炮平八
 炮８退３
73. 炮八平二
 车６进５
75. 炮二进五
 车６平８
77. 车六退二
 车８退５
79. 车六平一
 马４进２
81. 相七进五
 车８平６
83. 车一平二
 炮８平９
85. 车二平一
 炮９平８
87. 车一平二
 炮８平９
89. 车二平一
 炮９平８
91. 车一平二
 炮８平９
93. 兵七进一
 炮９进８
95. 车二退六
 炮９退１
97. 车二进六
 炮９进１
99. 车二退六
 车６平９
101. 车二进五
 马２进４
103. 炮五平三
 车９进５
105. 车二退五
 车９退３
107. 车二进七
 车９平７
109. 炮三平一
 马４进５
111. 车二退四
 象５退７
113. 炮一平五
 车７平６
115. 炮五进四
 车６平５
117. 仕六进五
 车５平１
119. 车二平一
 炮９平８
121. 车一平二
 炮８平９
123. 车二进三
 车１进２
125. 车二平七
 炮９退７
127. 兵七进一
 炮９平５
129. 帅五平六
 车１平４
131. 帅六平五
 卒１进１
133. 车七平五
 卒１进１
135. 兵七进一
 卒１进１
137. 车五退二
 卒１平２
139. 车五进一
 将５平４
141. 车五进一
 将４平５
143. 车五平六
 车４平３
145. 兵七平八
 卒２进１
147. 车六平五
 车３平７
149. 车五平七
 士５退４
151. 车七平五
 卒２平３
153. 车五退二
 车７退３
155. 兵八进一
 士４进５
157. 兵八进一
 车７平４
159. 仕五退六
 车４退２
161. 仕四进五
 车４平２
163. 车五平七
 卒３平４
165. 车七平六
 卒４平３
167. 车六平三
 车２进８
169. 车三平五
 卒３进１
171. 车五进二
 卒３平４
173. 车五退一
 卒４平５
175. 帅五进一
 车２平４
177. 车五进一
 车４平２
179. 相三进一
 车２平９
181. 相一进三
 车９平７
183. 帅五平六
 车７平５
185. 车五平七
 炮５平４
187. 车七进二
 炮４退２
189. 车七平八
 士５进４
191. 车八平六
 象７进９"
