比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2012年第05届杨官璘杯全国象棋公开赛海外组	2	20120917	中国香港	黄志强	先胜	翁德強	中国香港	193	五八炮对反宫马	小猴子	打虎将	2838	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 卒３进１
9. 马八进九
 象７进５
11. 炮八平七
 车１平２
13. 车九平八
 炮２进４
15. 兵九进一
 士６进５
17. 兵五进一
 车９平８
19. 车二进九
 马７退８
21. 车八进一
 马８进７
23. 马三进二
 炮２平１
25. 车八平三
 车２进５
27. 马二进三
 车２平５
29. 兵三进一
 车５进１
31. 兵三平四
 马３进４
33. 马三进五
 象３进５
35. 车三进六
 车５平６
37. 仕六进五
 车６退２
39. 炮七平八
 炮１平２
41. 马九进八
 卒３进１
43. 兵七进一
 炮２平５
45. 马八退七
 炮５退１
47. 车三退四
 象５退３
49. 马七进五
 炮６平５
51. 炮五进二
 炮５进３
53. 相三进五
 马４进３
55. 炮八平七
 象３进５
57. 马五进三
 马３退１
59. 车三平八
 卒１进１
61. 炮七平九
 将５平６
63. 车八平五
 车６进１
65. 马三退四
 炮５退１
67. 马四进二
 车６退２
69. 帅五平六
 车６平８
71. 马二退四
 车８平６
73. 马四进二
 象５进３
75. 车五平三
 将６平５
77. 车三平八
 车６退１
79. 车八进一
 车６平４
81. 炮九平六
 象３退５
83. 车八退一
 车４进３
85. 马二退四
 炮５平４
87. 帅六平五
 炮４进３
89. 仕五进六
 车４进２
91. 马四进五
 车４平２
93. 车八平五
 卒５进１
95. 马五退三
 车２退３
97. 马三进四
 卒５进１
99. 车五平四
 车２平５
101. 马四进二
 车５平７
103. 马二退四
 象５退３
105. 马四进六
 车７平４
107. 车四进三
 象３进５
109. 车四平一
 象５退７
111. 车一平三
 象７进５
113. 车三平二
 象５退７
115. 车二平三
 象７进５
117. 车三平二
 象５退７
119. 车二平三
 象７进５
121. 车三平二
 将５平６
123. 车二平四
 将６平５
125. 车四平二
 将５平６
127. 马六进七
 车４平６
129. 仕四进五
 马１进２
131. 马七退五
 车６退２
133. 马五退六
 马２进１
135. 马六进四
 马１退３
137. 帅五平六
 卒５进１
139. 兵七进一
 马３退４
141. 马四退三
 卒５进１
143. 相七进五
 将６平５
145. 兵七平六
 车６平２
147. 仕五进六
 车２进７
149. 帅六进一
 车２平５
151. 车二平七
 车５退２
153. 车七退三
 马４退６
155. 马三进四
 车５平６
157. 车七平三
 马６退５
159. 车三进六
 士５退６
161. 车三退三
 车６进１
163. 帅六退一
 车６退１
165. 帅六进一
 车６进１
167. 帅六退一
 士４进５
169. 马四进三
 车６退７
171. 车三平五
 车６平７
173. 兵六进一
 车７进５
175. 兵一进一
 车７平４
177. 兵一进一
 车４进１
179. 帅六平五
 卒１进１
181. 兵一平二
 卒１进１
183. 兵二进一
 卒１进１
185. 兵二进一
 卒１平２
187. 兵二平三
 将５平４
189. 兵三进一
 车４平６
191. 兵三进一
 车６退５
193. 兵六平七"
2	2012年重庆第二届沙外杯象棋赛成年组	5	20120713	河南	姚洪新	先胜	黎德志	广东	65	...	逍遥君子	...	3636	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 车９进１
9. 兵七进一
 炮２平１
11. 炮八平七
 象３进５
13. 车二进六
 车９平４
15. 车二平三
 马７退８
17. 马八进九
 车１平２
19. 车九平八
 车２进９
21. 马九退八
 车４进４
23. 兵三进一
 炮１进４
25. 兵三平四
 炮１进３
27. 兵四进一
 炮１平３
29. 仕六进五
 炮６平７
31. 兵四平五
 车４平３
33. 前兵进一
 象７进５
35. 炮五进五
 车３平２
37. 炮五退三
 炮７进５
39. 车三退四
 车２进４
41. 车三进三
 炮３退１
43. 仕五退六
 炮３进１
45. 仕六进五
 卒３进１
47. 炮七平五
 炮３平６
49. 仕五退六
 炮６平４
51. 车三平七
 炮４退８
53. 帅五进一
 车２退１
55. 帅五退一
 车２退６
57. 后炮平七
 炮４平３
59. 车七平五
 马３退５
61. 炮七进四
 马８进７
63. 车五平八
 车２平５
65. 炮五进一"
3	2012年茨竹杯杯柳大华1对5象棋盲棋	1	20120323	重庆	朱乃衡	先胜	柳大华	湖北	119	...	逍遥君子	...	2965	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 车９进１
9. 炮八进四
 卒３进１
11. 炮八平三
 象７进５
13. 车九进一
 车９平４
15. 车九平四
 士４进５
17. 车二进八
 车１平２
19. 车二平三
 炮２进６
21. 车四平七
 车４进４
23. 炮三平二
 马７退９
25. 车三平一
 车４平７
27. 炮二进三
 象５退７
29. 车七进一
 象３进５
31. 炮五退一
 车７平４
33. 炮五进一
 车４平７
35. 炮五退一
 车７平４
37. 炮五平七
 车４进３
39. 仕四进五
 炮２平１
41. 炮二退八
 炮１进１
43. 马八进九
 车４退３
45. 车一退二
 车４平２
47. 炮二进一
 前车平７
49. 车七平四
 炮６平７
51. 相三进五
 车７进１
53. 马三退四
 车７平５
55. 车一退二
 卒１进１
57. 马四进三
 车５平７
59. 车一平三
 车７退１
61. 相五进三
 马３进４
63. 马三进四
 马４进５
65. 相三退五
 车２进３
67. 车四进一
 炮１退３
69. 炮二进一
 马５退６
71. 兵七进一
 炮１平８
73. 马四退二
 马６进４
75. 车四平三
 炮７平６
77. 兵七进一
 卒５进１
79. 车三进一
 马４进２
81. 车三平七
 车２平８
83. 马二退四
 卒１进１
85. 车七平九
 马２退３
87. 车九平七
 马３退４
89. 炮七平八
 炮６进４
91. 车七退一
 炮６退３
93. 马九进八
 马４进３
95. 炮八平七
 车８进６
97. 相五退三
 马３退４
99. 马八进七
 车８退６
101. 马七进九
 炮６退２
103. 马四进三
 车８平７
105. 相七进五
 卒５进１
107. 车七进一
 炮６平８
109. 车七平五
 车７平１
111. 马九进八
 车１平２
113. 马八退七
 车２平３
115. 车五平七
 象５进３
117. 车七平八
 象３退１
119. 相五进七"
4	2011年重庆棋友会所“庆中秋”象棋公开赛	5	20110912	河南	姚洪新	先胜	李超林	四川	34	...	逍遥君子	...	3471	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 卒３进１
9. 马八进九
 象７进５
11. 炮八平六
 车１平２
13. 车九平八
 炮２进４
15. 马九退七
 炮２退１
17. 兵九进一
 车９平８
19. 车二进九
 马７退８
21. 车八进三
 炮６进４
23. 炮六平七
 马８进７
25. 马七进九
 炮２平４
27. 车八进六
 马３退２
29. 马三进四
 炮４平７
31. 马四进五
 马７进５
33. 炮五进四
 士６进６"
5	2011年第七届南京弈杰杯象棋公开赛	1	20110527	上海	李俊峰	先胜	赵勇霖	山东	69	...	钱宇新	好点子	2656	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 车９进１
9. 炮八进四
 卒３进１
11. 炮八平三
 象７进５
13. 马八进九
 车１平２
15. 车九平八
 炮２进５
17. 兵三进一
 车９平４
19. 马三进二
 车４进３
21. 马二进四
 炮６进７
23. 帅五平四
 车４进５
25. 帅四进一
 车２进５
27. 兵五进一
 马３进４
29. 车二进三
 炮２进１
31. 车二平四
 马７退９
33. 炮五进四
 士４进５
35. 马四进五
 马９进７
37. 炮五平一
 将５平４
39. 炮一进三
 将４进１
41. 马五退七
 马４退３
43. 相七进五
 车４退６
45. 兵七进一
 车２进２
47. 帅四退一
 卒３进１
49. 相五进七
 车２退３
51. 兵五进一
 车２平５
53. 车四平六
 车４进３
55. 马七退五
 车４退２
57. 炮一退四
 炮２平８
59. 马五进四
 将４退１
61. 炮一平六
 炮８进１
63. 相三进五
 炮８平２
65. 马九退八
 马３进４
67. 马四退五
 马７进５
69. 兵三平四"
6	2010年藏谷私藏杯全国象棋个人赛男子组	6	20101123	湖南队	程进超	先胜	胡荣华	上海队	26	...	淡墨青衫	...	8127	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 卒３进１
9. 马八进九
 象３进５
11. 炮八平七
 车１平２
13. 车九平八
 炮２进４
15. 兵五进一
 士６进５
17. 兵七进一
 卒３进１
19. 车二进三
 炮２退２
21. 兵五进一
 卒５进１
23. 马三进五
 卒３平４
25. 炮五进三
 卒４进１"
7	2010年全国象棋甲级联赛	4	20100622	上海	谢靖	先胜	徐天红	江苏	83	...	宗永生	...	4614	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 卒３进１
9. 马八进九
 象７进５
11. 炮八平七
 车１平２
13. 兵九进一
 车９平８
15. 车二进九
 马７退８
17. 车九进一
 炮２进６
19. 马三进四
 马８进６
21. 炮五平二
 马６进８
23. 相三进五
 炮２退２
25. 车九平二
 炮２平５
27. 仕四进五
 卒７进１
29. 马四退三
 炮５退２
31. 炮二平一
 马８进６
33. 兵三进一
 马６进５
35. 马三进四
 象５进７
37. 车二进三
 炮５平６
39. 马四退二
 后炮平５
41. 车二平四
 炮６平４
43. 马二进三
 炮４进１
45. 马三进四
 将５进１
47. 车四进一
 炮４退３
49. 马四进二
 马５进７
51. 车四进四
 炮４退１
53. 马二退一
 炮４进１
55. 车四退六
 马７进９
57. 炮七平一
 车２进３
59. 车四进三
 将５平４
61. 马一退三
 炮４进６
63. 帅五平四
 车２平４
65. 车四进一
 炮５平４
67. 车四退二
 象３进１
69. 车四进一
 士４进５
71. 车四平五
 车４进１
73. 马三退五
 车４平８
75. 帅四平五
 车８进５
77. 仕五退四
 车８退２
79. 相五退三
 后炮进４
81. 车五平七
 后炮平５
83. 车七平六"
8	2007年七斗星杯全国象棋甲级联赛	7	20070704	黑龙江大庆市红岗队	聂铁文	先胜	于幼华	浙江球冠	85	...	人淡如菊	任意棋	13256	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 兵三进一
 马８进７
7. 车一平二
 卒３进１
9. 马八进九
 象３进５
11. 炮八平七
 车９进１
13. 车九平八
 车１平２
15. 车八进四
 车９平４
17. 仕四进五
 士４进５
19. 车二进六
 炮２进１
21. 车二进二
 炮２退２
23. 车二退五
 卒３进１
25. 兵七进一
 车４进４
27. 炮五平四
 马３进４
29. 车八进一
 炮６进２
31. 车八进二
 车４平３
33. 相三进五
 车３退５
35. 兵五进一
 炮２平３
37. 车八进二
 车３平２
39. 车二平六
 车２进４
41. 马九进七
 马４进３
43. 炮七进六
 马３退４
45. 马三进二
 马４退３
47. 马二进三
 炮６退２
49. 炮四平二
 车２平４
51. 车六平八
 车４平２
53. 车八平四
 车２平８
55. 炮二平三
 车８进３
57. 炮三退二
 车８平７
59. 车四平二
 马３进４
61. 兵五进一
 卒５进１
63. 马三退四
 车７进２
65. 相五退三
 卒５进１
67. 马四进三
 炮６进１
69. 车二平六
 马４退３
71. 相三进五
 马７进５
73. 兵三进一
 马５进４
75. 兵三平四
 炮６平４
77. 车六平三
 卒５平６
79. 兵四平五
 卒６进１
81. 车三进一
 马４退２
83. 炮七平八
 炮４退２
85. 炮八退二"
9	07年男子团体赛	7	20070424	四川	李智屏	先胜	赵庆阁	辽宁	47	...	阿南师傅	打虎将	5802	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 炮八进四
 炮６平５
11. 马八进七
 车１进１
13. 马七进六
 炮２退１
15. 仕六进五
 炮２平５
17. 车九平八
 车１平４
19. 马六进七
 马７进６
21. 车二进四
 车９进２
23. 炮五进四
 车４进５
25. 炮五进二
 士４进５
27. 车二平四
 车９平６
29. 炮八进三
 象３进１
31. 炮八平九
 将５平４
33. 相七进五
 马６退４
35. 车四平二
 车６进６
37. 车八进九
 将４进１
39. 车八退七
 象７进９
41. 兵七进一
 车６退４
43. 车八进六
 将４进１
45. 兵七平八
 车６进４
47. 车八平七"
10	07年男子团体赛	6	20070423	上海棋院队	刘弈达	先胜	杨柏林	吉林	43	...	阿南师傅	...	4540	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一平二
 马８进７
7. 兵七进一
 卒７进１
9. 炮八进四
 象３进５
11. 马八进七
 士４进５
13. 炮八平五
 马３进５
15. 炮五进四
 卒３进１
17. 兵七进一
 车１平３
19. 车九平八
 车３进４
21. 马三退五
 车９进２
23. 车八进六
 马７进６
25. 车二进四
 车９平７
27. 马七进六
 马６进７
29. 车八平九
 炮２平４
31. 马六进七
 炮４退２
33. 马五进六
 车３进５
35. 车二平六
 车３退６
37. 车九平七
 车７进１
39. 马六进八
 卒７进１
41. 炮五退一
 车７进１
43. 车六进一"
