比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	3	20140510	泰州	张荣辉	先负	王广书	徐州	72	中炮右横车对屏风马	钱宇新	-	92	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 车一进一
 象３进５
11. 车一平四
 士４进５
13. 炮八平九
 炮２进４
15. 车九平八
 炮２平７
17. 相三进一
 卒７进１
19. 车八进七
 马７进８
21. 相一进三
 卒３进１
23. 兵七进一
 马３进４
25. 车八退三
 马４进６
27. 马三退一
 马６进４
29. 车八平六
 马８进９
31. 炮五平二
 炮８平７
33. 相三退一
 车１平４
35. 车六平一
 后炮平９
37. 车一进二
 马９进７
39. 车一平三
 车８进７
41. 马一进三
 炮７退２
43. 车四平八
 车８平９
45. 马七退五
 车９退２
47. 马五进六
 车４进６
49. 车三平五
 车９平７
51. 马三退一
 炮７平８
53. 车五平二
 车４平５
55. 仕六进五
 炮８平５
57. 帅五平六
 车７平４
59. 炮九平六
 象５进３
61. 车八进八
 士５退４
63. 车二平五
 士６进５
65. 车八退三
 车５平３
67. 车五退一
 车３进３
69. 帅六进一
 炮９平４
71. 车八退五
 车３退２"
2	2013年广东省第2届丘比尔杯青少年象棋精英赛男子乙组	7	20140502	顺德	黄家辉	先负	高劭杰	佛山	72	...	组委会	打虎将	149	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一进一
 马２进３
7. 马八进七
 卒７进１
9. 兵五进一
 象７进５
11. 马七进五
 马７进６
13. 兵五进一
 马６进７
15. 炮五退一
 卒５进１
17. 炮五进四
 士４进５
19. 车一平六
 炮８进２
21. 炮八平五
 炮２进５
23. 前炮平二
 车８进４
25. 车六进七
 卒７进１
27. 炮五进五
 士５进６
29. 炮五退三
 马７退５
31. 马五进三
 车８平７
33. 前马退五
 后士进５
35. 车六退四
 马５退６
37. 车九进一
 炮２退３
39. 相七进五
 象３进５
41. 仕六进五
 车１平４
43. 车六进五
 马３退４
45. 车九平六
 车７进２
47. 马五进六
 马６进４
49. 车六进四
 卒３进１
51. 车六进一
 车７进１
53. 车六平一
 炮２退２
55. 车一平九
 车７退１
57. 兵一进一
 车７平３
59. 兵一进一
 炮２进７
61. 帅五平六
 炮２平１
63. 车九平六
 车３平１
65. 兵一进一
 马４进２
67. 兵一平二
 车１退３
69. 车六平九
 马２进１
71. 兵二平三
 马１进２"
3	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	7	20140502	福建	林伯宁	先负	张慕鸿	泰州	56	...	钱宇新	...	98	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 车一进一
 象３进５
11. 车一平四
 士４进５
13. 炮八平九
 炮２进４
15. 兵五进一
 炮８进４
17. 车九平八
 车１平２
19. 车四进三
 炮２平５
21. 炮五平六
 车２进９
23. 马七退八
 卒７进１
25. 兵三进一
 炮５平７
27. 相七进五
 车８进４
29. 马八进七
 卒３进１
31. 马三退一
 炮８进３
33. 车四退一
 炮７进２
35. 车四平二
 卒３进１
37. 相五进七
 炮７平８
39. 车二进二
 马７进８
41. 炮六平二
 前炮退２
43. 炮九平二
 马８进９
45. 相七退五
 马９进７
47. 炮二进五
 马３进４
49. 炮二退五
 卒９进１
51. 马七进六
 卒９进１
53. 炮二进三
 马４退６
55. 炮二平四
 马７进９"
4	2013年广东省第2届丘比尔杯青少年象棋精英赛男子甲组	3	20140501	顺德	黄逸超	先负	张泽岭	广州	50	...	组委会	...	531	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一进一
 马２进３
7. 马八进七
 卒７进１
9. 车一平四
 炮２平１
11. 车九平八
 车１平２
13. 炮八进五
 象７进５
15. 兵五进一
 炮８进５
17. 马三进五
 炮８平３
19. 马五退七
 车８进６
21. 车四进六
 马７退８
23. 兵五进一
 卒５进１
25. 马七进五
 车８退３
27. 马五进四
 士６进５
29. 马四进五
 士５进６
31. 马五退七
 士４进５
33. 马七退五
 将５平４
35. 炮八进一
 车８平４
37. 车八进七
 车４进６
39. 帅五进一
 车４退５
41. 马五退四
 炮１进４
43. 兵七进一
 炮１平５
45. 炮五平七
 马３进５
47. 车八退四
 车４进４
49. 帅五退一
 马５进４"
5	2014年广东东莞凤岗镇象棋赛公开赛第一季度	3	20140329	广东	谢福林	先负	王发根	广东	68	...	藍小朋友	...	295	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 马八进七
 车９平８
7. 兵七进一
 炮２进４
9. 马七进八
 象３进５
11. 车一平二
 炮８进４
13. 仕六进五
 马２进３
15. 兵五进一
 马７进６
17. 炮五平四
 马６退４
19. 相七进五
 马４进５
21. 马八进七
 士４进５
23. 马七退六
 炮２平３
25. 车九平七
 车１平２
27. 炮八平九
 马３进４
29. 炮四进一
 炮３平７
31. 炮四平二
 马４进６
33. 炮二进一
 卒５进１
35. 马六进七
 车２进７
37. 炮二平五
 车８进９
39. 马三退二
 卒５进１
41. 马二进一
 炮７平８
43. 炮九退一
 卒５进１
45. 马七退六
 卒５进１
47. 马六退五
 马６进５
49. 相三进五
 车２平５
51. 车七进三
 炮８退１
53. 车七平二
 炮８平７
55. 马一进三
 车５退１
57. 炮九平六
 车５平１
59. 炮六进三
 炮７平５
61. 仕五进六
 车１平４
63. 炮六进二
 卒７进１
65. 车二进三
 卒７进１
67. 兵七进一
 卒９进１"
6	2014年广东东莞凤岗镇象棋赛公开赛第一季度	2	20140328	广东医学院队	吴飞旺	先负	叶译平	广东	64	...	藍小朋友	...	247	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 兵七进一
 车９平８
7. 马八进七
 马２进３
9. 车一平二
 炮２进４
11. 兵五进一
 炮８进４
13. 车九进一
 炮２平３
15. 炮八进四
 士４进５
17. 相七进九
 车１平２
19. 车九平八
 象３进５
21. 仕四进五
 卒３进１
23. 兵七进一
 象５进３
25. 车八退一
 象３退５
27. 炮八进一
 马７进６
29. 马七进五
 马６退４
31. 炮八退一
 炮３平７
33. 兵九进一
 卒９进１
35. 相九退七
 马３进４
37. 炮八进二
 前马进６
39. 帅五平四
 炮８退５
41. 帅四平五
 炮７平８
43. 车二平一
 马６进７
45. 马五退三
 车２进１
47. 车八进八
 后炮平２
49. 炮五进四
 马４进５
51. 相三进五
 马５退３
53. 炮五退三
 马３进２
55. 马三进四
 马２进３
57. 帅五平四
 车８进５
59. 马四退二
 车８进１
61. 车一进二
 车８平５
63. 车一平四
 车５平９"
7	2014年上海第四届“同峰杯”象棋大赛	4	20140307	山东	赵勇霖	先负	王建鸣	安徽	48	...	钱宇新	...	444	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 兵七进一
 车９平８
7. 马八进七
 马２进３
9. 车一进一
 象３进５
11. 车一平六
 车８进１
13. 车九进一
 炮２平１
15. 马七进六
 车８平２
17. 炮八平七
 车２进４
19. 炮五平四
 马７进８
21. 相三进五
 士４进５
23. 马六进七
 车２进１
25. 马七退六
 车２平５
27. 炮四进三
 车５退１
29. 炮四平二
 车１平４
31. 马六进七
 车５进２
33. 仕四进五
 车５平３
35. 马三进五
 车３平８
37. 车六进八
 马３退４
39. 马五进四
 车８退３
41. 马四进六
 炮１平４
43. 马七进九
 炮８退１
45. 兵七进一
 象５退３
47. 马九退七
 卒７进１"
8	2014江苏省第23届金箔杯象棋公开赛预赛	4	20140302	南京	张荣辉	先负	袁福来	南京	80	...	汪霞萍	...	353	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 卒７进１
7. 马八进七
 马２进３
9. 车一进一
 象７进５
11. 车一平四
 士６进５
13. 炮八进二
 马７进８
15. 车四进三
 马８进７
17. 车四平二
 炮２进２
19. 车二进二
 炮２退１
21. 车九进一
 卒３进１
23. 车二退二
 卒３进１
25. 车二平七
 炮８平７
27. 炮五平六
 炮２退２
29. 炮八进二
 炮２平３
31. 炮八平七
 马３退１
33. 炮七平六
 马１进２
35. 车七进二
 炮３进６
37. 后炮进七
 士５退４
39. 炮六平八
 炮３平６
41. 炮八平五
 士４进５
43. 车九平四
 炮６退７
45. 车七进二
 车８进１
47. 车四进六
 马７退８
49. 马三退五
 卒７进１
51. 炮五退一
 炮７进１
53. 车四退二
 炮７平６
55. 车四平三
 前炮平５
57. 车三退一
 马８进９
59. 车三平四
 车８进３
61. 炮五退一
 车１进２
63. 车四进四
 车１平４
65. 马五进七
 马９退７
67. 车七退二
 车８退１
69. 仕四进五
 马７进５
71. 相七进五
 马５进３
73. 车七退四
 车４进３
75. 炮五进一
 将５平４
77. 车四退三
 车８平７
79. 相三进一
 车４退１"
9	2014年广东顺德龙江第三届东信石材竹园居杯象棋公开赛	1	20140214	个人	刘婷	先负	叶怿平	珠海一号酒店	60	...	藍小朋友	...	412	"1. 炮二平五 *
 马２进３
3. 兵七进一
 卒７进１
5. 马八进七
 马８进７
7. 马二进三
 车９平８
9. 车一平二
 炮２进４
11. 车二进四
 炮２平７
13. 相三进一
 车１平２
15. 车九平八
 车２进４
17. 兵七进一
 车２平３
19. 马七进六
 象７进５
21. 仕六进五
 士６进５
23. 炮八进一
 炮７平２
25. 马六退八
 车３进２
27. 兵一进一
 炮８平９
29. 车二平四
 车８进６
31. 兵九进一
 车８平７
33. 仕五进四
 车３平５
35. 马八进六
 卒３进１
37. 兵九进一
 车７进１
39. 后仕进五
 车７退１
41. 车四平二
 车７平８
43. 车二退一
 车５平８
45. 马六进七
 马７进６
47. 车八进四
 炮９平６
49. 相一退三
 车８平４
51. 兵九平八
 马６进４
53. 炮五平七
 炮６进３
55. 车八退二
 马４进２
57. 兵八进一
 炮６平２
59. 车八平九
 马２进３"
10	2014年广东顺德龙江第三届东信石材竹园居杯象棋公开赛	1	20140214	竹园居酒楼	梁耀平	先负	曹岩磊	聚龙阁海鲜酒家	60	...	藍小朋友	...	643	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 车一进一
 马２进３
7. 车一平六
 卒３进１
9. 兵五进一
 士４进５
11. 马八进七
 马３进２
13. 炮八进五
 炮８平２
15. 马七进五
 车８进４
17. 兵七进一
 象３进５
19. 车六进五
 卒３进１
21. 车六平八
 炮２平４
23. 马五进七
 车１平３
25. 马三进五
 马２进３
27. 炮五平七
 车３平４
29. 车九平八
 马３退５
31. 前车进三
 马５退３
33. 相七进五
 车４平２
35. 车八进九
 士５退４
37. 车八退三
 士６进５
39. 车八平六
 卒９进１
41. 炮七平八
 象５退３
43. 炮八进三
 马３进５
45. 炮八进四
 马５退４
47. 马七进六
 象７进５
49. 马五进七
 车８平４
51. 马六进八
 炮４平３
53. 马七进八
 车４进２
55. 前马进九
 将５平６
57. 马八进七
 车４平２
59. 炮八退二
 卒７进１"
11	2014年重庆合川第五届“隆兴煤业杯”象棋公开赛	1	20140110	丰都	余元龙	先负	曾军	四川	104	...	组委会	...	570	"1. 炮二平五 *
 马８进７
3. 马二进三
 卒７进１
5. 兵七进一
 车９平８
7. 马八进七
 炮８平９
9. 炮八进二
 象３进５
11. 马七进六
 马２进１
13. 仕六进五
 士４进５
15. 炮五平六
 炮２平４
17. 炮六平八
 卒３进１
19. 兵七进一
 象５进３
21. 相七进五
 马１退３
23. 车九平七
 象７进５
25. 车一进一
 卒１进１
27. 车一平四
 卒１进１
29. 前炮平七
 马３进４
31. 马六进四
 马４进３
33. 车七进四
 车１平２
35. 马四进三
 炮４平７
37. 炮八平六
 卒１平２
39. 车七平五
 车８进３
41. 车四进三
 卒２进１
43. 车五平八
 车２进５
45. 车四平八
 卒２平３
47. 兵三进一
 卒７进１
49. 车八平三
 炮７进２
51. 车三平二
 车８平６
53. 车二平四
 车６平７
55. 马三进二
 车７平８
57. 车四平八
 炮９进４
59. 炮六进四
 卒５进１
61. 炮六平一
 卒３平４
63. 炮一退一
 炮７退４
65. 马二退三
 车８进４
67. 马三进二
 车８退１
69. 马二进三
 车８平５
71. 炮一进一
 象５退３
73. 车八进五
 车５进１
75. 马三进二
 车５平７
77. 车八平七
 士５退４
79. 马二退四
 将５进１
81. 车七退一
 将５进１
83. 马四进三
 车７退７
85. 车七退三
 车７进４
87. 相三进一
 将５平６
89. 炮一平八
 炮９平８
91. 车七进二
 将６退１
93. 车七平二
 炮８平５
95. 帅五平六
 卒５进１
97. 车二进一
 将６进１
99. 车二平六
 卒４平３
101. 炮八退四
 卒３进１
103. 炮八进七
 车７平２"
