比赛名称		轮	日期	红方			黑方		步数	开局	棋源	录入	览	招法
1	2014年江苏仪征市芍药棋缘佳和杯象棋公开赛	5	20140510	北京	周涛	先胜	陈新军	盐城	79	中炮对单提马	钱宇新	打虎将	196	"1. 炮二平五 *
 马２进３
3. 马二进三
 车９进１
5. 车一平二
 马８进９
7. 马八进七
 车９平４
9. 炮八进二
 车４进３
11. 炮八平七
 车４平３
13. 车九平八
 炮８平７
15. 兵三进一
 车１平２
17. 马三进四
 士４进５
19. 车八进六
 象３进５
21. 炮五平四
 炮２平１
23. 车八进三
 马３退２
25. 相七进五
 马２进４
27. 车二进一
 炮７平６
29. 炮四进五
 炮１平６
31. 车二平六
 车３平６
33. 马四进六
 卒３进１
35. 炮七平八
 马４进２
37. 炮八进一
 车６进２
39. 车六进三
 卒５进１
41. 兵七进一
 马９退７
43. 兵七进一
 马２进３
45. 车六平七
 车６退３
47. 炮八退四
 车６平５
49. 马七进六
 马３退２
51. 前马退八
 车５平４
53. 炮八平六
 车４平６
55. 马八进七
 马２进１
57. 马七退九
 卒１进１
59. 马六进七
 车６平４
61. 炮六平八
 炮６进４
63. 炮八进五
 车４退３
65. 兵九进一
 卒１进１
67. 马七退五
 炮６退２
69. 车七平九
 卒９进１
71. 车九进二
 马７进９
73. 炮八退二
 车４进５
75. 车九进三
 车４退５
77. 炮八进五
 车４进４
79. 炮八退四"
2	2014年“QQ游戏·天下棋弈”全国象棋甲级联赛正赛	5	20140513	四川成都瀛嘉	李少庚	先胜	陶汉明	黑龙江农村信用社	125	中炮进七兵对单提马横车	中国象棋协会	...	3759	"1. 炮二平五 *
 马２进３
3. 马二进三
 车９进１
5. 车一平二
 车９平４
7. 兵七进一
 车４进３
9. 马八进七
 马８进９
11. 车二进四
 士４进５
13. 马七进六
 炮２平１
15. 炮八平六
 车４平２
17. 马六进七
 炮８平７
19. 车九进二
 象３进５
21. 仕四进五
 炮７进４
23. 车九平八
 车２进３
25. 炮五平八
 炮１进４
27. 相三进五
 炮１平３
29. 兵七进一
 车１平２
31. 炮八平七
 象５进３
33. 车二平七
 象７进５
35. 马七进五
 象３退５
37. 车七进三
 马９退７
39. 车七退一
 卒７进１
41. 车七平五
 卒１进１
43. 车五平九
 卒７进１
45. 兵五进一
 车２进５
47. 兵五进一
 车２平５
49. 兵五平六
 卒１进１
51. 车九平七
 炮３平６
53. 车七平八
 炮６平３
55. 车八平七
 炮３平６
57. 车七平一
 卒１进１
59. 炮七进六
 象５退３
61. 炮七平九
 马７进５
63. 炮九进一
 士５退４
65. 兵六进一
 车５平１
67. 炮九平八
 车１平２
69. 炮八平九
 车２平１
71. 炮九平八
 车１平２
73. 炮八平九
 车２退５
75. 炮九退五
 车２进５
77. 炮九进五
 车２退５
79. 炮九退五
 马５进７
81. 炮九平五
 车２进５
83. 相五进七
 车２进１
85. 兵六平五
 马７进５
87. 车一退一
 炮６平５
89. 炮六平五
 卒７平６
91. 前炮平六
 马５进６
93. 炮六退三
 车２平４
95. 车一平四
 车４进２
97. 车四退一
 马６进７
99. 帅五平四
 马７退５
101. 车四进五
 将５进１
103. 马三进五
 车４进１
105. 帅四进一
 车４退３
107. 马五进三
 马５进７
109. 马三进四
 将５平４
111. 车四退一
 士４进５
113. 兵五进一
 炮７退５
115. 车四平三
 车４平６
117. 仕五进四
 车６退３
119. 兵五进一
 将４进１
121. 车三退一
 象３进５
123. 车三退六
 车６进３
125. 车三进五"
3	2014年重庆忠县首届“体彩杯”象棋公开赛	9	20140501	重庆26	谭斌	先胜	安娜	湖南2	91	中炮对左三步虎	组委会	...	152	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 炮８平９
7. 马八进七
 炮２平５
9. 车一进一
 马２进３
11. 马七进六
 车８进４
13. 马六进七
 车１平２
15. 车九平八
 车２进３
17. 炮五平七
 炮５退１
19. 车八进一
 车８平４
21. 炮八平九
 车２进５
23. 车一平八
 车４进２
25. 车八平二
 车４平３
27. 马七退六
 卒５进１
29. 炮七平五
 卒５进１
31. 炮五进二
 马７进５
33. 炮九平五
 炮９平５
35. 前炮进三
 象３进５
37. 马六进四
 马５进６
39. 车二平四
 马３进４
41. 马四进二
 炮５平６
43. 马二进三
 将５进１
45. 车四平六
 马６进５
47. 相三进五
 马４进６
49. 车六进八
 马６进７
51. 马三退四
 炮６进１
53. 车六平四
 车３平５
55. 车四退二
 车５平６
57. 仕六进五
 马７退５
59. 兵七进一
 将５平４
61. 车四进一
 将４退１
63. 车四进一
 将４进１
65. 兵七进一
 马５退４
67. 兵七平六
 车６退３
69. 兵六进一
 将４平５
71. 车四平六
 象７进９
73. 兵六进一
 将５平６
75. 车六平五
 马４退３
77. 车五退二
 车６退１
79. 车五退二
 卒７进１
81. 车五退一
 象９退７
83. 车五平二
 车６进１
85. 车二进四
 将６退１
87. 车二平三
 象７进５
89. 车三退一
 车６平５
91. 仕五进六"
4	2014年江苏扬州·江都“双汇国际杯”象棋公开赛	2	20140501	镇江	范越	先胜	薛胜	泰兴	65	...	钱宇新	...	154	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 炮８平９
7. 马八进七
 象３进５
9. 兵三进一
 马２进４
11. 车九进一
 卒３进１
13. 车九平六
 车１进１
15. 兵七进一
 车８进４
17. 车六进四
 车８平４
19. 兵七平六
 车１平３
21. 马七进六
 车３进８
23. 兵六进一
 车３退５
25. 马六进五
 车３平４
27. 车一进一
 车４退１
29. 马五退四
 炮２平４
31. 车一平七
 马４进２
33. 车七进六
 马２退３
35. 车七进二
 车４平２
37. 炮八平六
 士６进５
39. 车七退五
 卒７进１
41. 马四进六
 车２进１
43. 炮六进五
 士５进４
45. 马六进四
 后士进５
47. 马四进三
 将５平４
49. 炮五平六
 车２平４
51. 仕六进五
 卒７进１
53. 车七平三
 马７进５
55. 后马进四
 马５进６
57. 车三平四
 炮９平７
59. 兵五进一
 象５进７
61. 相三进五
 炮７平５
63. 兵五进一
 炮５进５
65. 帅五平六"
5	2014年朱宝位杯全国象棋团体赛男子组	1	20140418	福建深圳科士达代表队	王晓华	先胜	郝继超	黑龙江队	121	中炮对士角炮转单提马	中国象棋协会	...	3239	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一进一
 车９进１
7. 车一平六
 车１进１
9. 炮八平七
 车９平４
11. 车九进一
 卒７进１
13. 炮七进四
 士４进５
15. 马八进七
 马８进７
17. 兵七进一
 象３进１
19. 兵五进一
 炮２退２
21. 兵五进一
 卒５进１
23. 炮七平三
 象７进９
25. 炮三平二
 炮２进２
27. 炮二进二
 车４进７
29. 车九平六
 车１退１
31. 车六进五
 车１平４
33. 车六平七
 车４进２
35. 马三进五
 炮２进４
37. 兵七进一
 卒５进１
39. 兵七平六
 卒５进１
41. 兵六进一
 车４退２
43. 马七进五
 马３进５
45. 炮五进四
 炮６平５
47. 仕四进五
 马７进５
49. 马五进四
 车４平３
51. 车七进三
 象１退３
53. 兵六平五
 炮５平１
55. 兵一进一
 炮１进４
57. 相三进五
 炮１退２
59. 马四进三
 将５平４
61. 炮二进一
 将４进１
63. 马三退一
 炮１进２
65. 兵三进一
 卒７进１
67. 相五进三
 象３进１
69. 相三退五
 卒１进１
71. 马一进三
 象９退７
73. 兵一进一
 卒１进１
75. 兵五平六
 炮２退４
77. 马三退五
 将４退１
79. 马五进三
 将４进１
81. 炮二退五
 将４退１
83. 炮二平三
 象７进５
85. 马三退四
 象１退３
87. 兵一平二
 卒１平２
89. 炮三平六
 将４平５
91. 炮六平一
 象５退７
93. 炮一进五
 炮２进２
95. 马四进三
 炮１退５
97. 兵六平五
 士５退４
99. 兵二平三
 炮２退３
101. 兵三平四
 炮２平７
103. 兵四进一
 士４进５
105. 马三退四
 炮７平９
107. 马四进二
 卒２进１
109. 马二退四
 卒２平３
111. 兵四平三
 卒３平４
113. 兵三进一
 炮９进２
115. 兵三平二
 卒４平３
117. 马四进三
 士５退４
119. 兵二进一
 炮９平７
121. 马三进四"
6	2014年广东东莞凤岗镇象棋赛公开赛第一季度	2	20140328	潮汕陈国伟象棋队	郑志炜	先胜	杨祖强	广东医学院队	123	中炮进七兵对单提马横车	华南虎	...	959	"1. 炮二平五 *
 马２进３
3. 马二进三
 车９进１
5. 车一平二
 车９平４
7. 兵七进一
 车４进３
9. 马八进七
 马８进９
11. 兵三进一
 卒９进１
13. 兵五进一
 炮８平５
15. 车二进三
 车１进１
17. 炮八平九
 车１平４
19. 车九平八
 前车进２
21. 车二平六
 车４进５
23. 车八进六
 炮２平１
25. 车八平七
 车４退４
27. 炮五进四
 士４进５
29. 马七进五
 将５平４
31. 炮五平六
 将４平５
33. 炮九平六
 炮５进１
35. 后炮进五
 炮５平３
37. 前炮平九
 炮３进６
39. 仕六进五
 象３进１
41. 相三进五
 炮３退３
43. 兵五进一
 马９进８
45. 马五进四
 士５进６
47. 炮六平八
 马３进２
49. 兵五进一
 后士进５
51. 炮八平三
 象７进９
53. 炮三平二
 马２退３
55. 兵五平六
 马８退６
57. 兵六平五
 马６退８
59. 马四退六
 卒１进１
61. 兵三进一
 马３进４
63. 兵三进一
 炮３平７
65. 兵三进一
 马８退９
67. 马六进四
 炮７平２
69. 炮二退五
 马４进３
71. 相五退三
 马３退５
73. 炮二平一
 将５平４
75. 炮一进四
 象９进７
77. 马四进六
 马５退４
79. 兵五平六
 炮２平７
81. 相三进五
 炮７退４
83. 马三进五
 象７退５
85. 马五进四
 炮７平８
87. 炮一平九
 马９进７
89. 炮九平六
 将４平５
91. 兵六平五
 象１退３
93. 兵一进一
 马７进９
95. 兵一进一
 炮８进７
97. 相五退三
 马９进７
99. 炮六平八
 象５退７
101. 兵一进一
 马７进６
103. 炮八退四
 马６进８
105. 兵七进一
 马８退７
107. 兵一平二
 炮８退５
109. 炮八进四
 马７进６
111. 马四进六
 炮８进５
113. 马六进七
 将５平４
115. 炮八退四
 马６进８
117. 炮八平六
 将４进１
119. 兵五平六
 士５进４
121. 仕五进四
 炮８退６
123. 兵六进一"
7	2014年江苏省淮安市第八届白玫杯象棋锦标赛	6	20140323	淮安区	王华疆	先胜	王永贵	淮阴区	97	中炮对左三步虎	钱宇新	...	1078	"1. 炮二平五 *
 马８进７
3. 马二进三
 车９平８
5. 兵七进一
 象３进５
7. 马八进七
 卒７进１
9. 车一进一
 马２进３
11. 车一平四
 士４进５
13. 炮八平九
 炮２进４
15. 兵五进一
 炮８进５
17. 车四进二
 炮２退２
19. 车九平八
 炮２平１
21. 车八进七
 炮１进３
23. 炮五平九
 车１平３
25. 相七进五
 车８进６
27. 马七进六
 卒７进１
29. 马六进七
 车８平７
31. 车四进五
 马３退４
33. 马七进五
 马４进５
35. 车八平五
 卒７平６
37. 车五平八
 炮８退５
39. 车八退二
 卒６平５
41. 车四平三
 炮８进２
43. 仕四进五
 象７进５
45. 兵九进一
 炮８平５
47. 炮九进四
 卒９进１
49. 马三退一
 前卒进１
51. 车八退二
 前卒平４
53. 炮九进一
 象５退７
55. 兵七进一
 炮５进２
57. 车八平六
 车３进４
59. 马一进三
 车７进１
61. 车六平五
 马７进６
63. 车三退六
 马６进５
65. 车三进七
 车３退２
67. 炮九退二
 马５进３
69. 车三退六
 马３退４
71. 车三平六
 车３平４
73. 炮九平三
 将５平４
75. 炮三进四
 将４进１
77. 炮三退八
 马４退６
79. 车六平七
 车４进３
81. 炮三平一
 车４平１
83. 炮一进四
 车１平４
85. 车七进五
 将４进１
87. 炮一进三
 士５退４
89. 车七退五
 马６退４
91. 兵一进一
 马４进５
93. 车七进四
 将４退１
95. 车七平三
 车４进１
97. 兵一进一"
8	2014年上海第四届“同峰杯”象棋大赛	3	20140307	安徽	王建鸣	先胜	韩勇	上海	99	中炮对士角炮转单提马	钱宇新	...	830	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一进一
 马８进７
7. 车一平四
 士４进５
9. 马八进七
 车９平８
11. 兵五进一
 炮６平５
13. 炮八退一
 卒３进１
15. 炮八平五
 马３进２
17. 车四进四
 象３进１
19. 兵五进一
 炮５进２
21. 后炮进四
 卒５进１
23. 车四平五
 马２进３
25. 炮五退一
 车８进７
27. 车九平八
 炮２平５
29. 炮五进六
 象７进５
31. 马三进五
 象１退３
33. 相三进五
 车１进２
35. 车八进三
 马３进５
37. 相七进五
 车８平５
39. 仕六进五
 车１平４
41. 马七退六
 车４进６
43. 车八进三
 卒７进１
45. 车八平三
 马７退９
47. 车三平一
 马９退７
49. 车一平九
 马７进６
51. 车九平四
 将５平４
53. 车五平六
 车４退４
55. 马五进六
 车５平７
57. 兵一进一
 车７退１
59. 兵一进一
 车７平１
61. 兵一平二
 卒７进１
63. 兵二平三
 车１平４
65. 前马进七
 将４平５
67. 兵三进一
 象５退７
69. 兵三进一
 马６进４
71. 兵三进一
 象７进５
73. 兵三平四
 马４进５
75. 车四平三
 卒７平６
77. 马七进五
 将５平４
79. 马五退七
 将４进１
81. 车三平九
 卒６进１
83. 车九进三
 将４进１
85. 马七退九
 马５进６
87. 仕五进四
 车４进３
89. 帅五进一
 车４平２
91. 车九退一
 车２退６
93. 马九进八
 将４退１
95. 马八退七
 将４退１
97. 车九平六
 将４平５
99. 帅五平六"
9	2014年上海第四届“同峰杯”象棋大赛	1	20140307	上海	胡迪	先胜	俞云涛	浙江	47	...	组委会	...	873	"1. 炮二平五 *
 马２进３
3. 马二进三
 炮８平６
5. 车一进一
 马８进７
7. 车一平四
 士４进５
9. 马八进七
 车９平８
11. 兵五进一
 卒３进１
13. 炮八退一
 车８进４
15. 炮八平五
 车１平２
17. 车九平八
 卒３进１
19. 兵七进一
 马３进２
21. 后炮平八
 象３进５
23. 兵五进一
 车８平５
25. 马三进五
 车５平８
27. 车四进四
 车８平６
29. 马五进四
 炮６进１
31. 炮八进六
 车２进２
33. 兵七进一
 象５进３
35. 马四退六
 卒５进１
37. 车八进五
 车２进２
39. 马六进八
 卒５进１
41. 马七进八
 炮６平５
43. 前马进七
 炮５进４
45. 相七进五
 卒７进１
47. 马八进六"
10	2014江苏省第23届金箔杯象棋公开赛预赛	5	20140302	徐州	鲁天	先胜	张军强	北京	53	中炮对单提马横车	汪霞萍	...	694	"1. 炮二平五 *
 马２进３
3. 马二进三
 车９进１
5. 车一平二
 车９平４
7. 马八进七
 车４进４
9. 炮八平九
 马８进９
11. 车九平八
 士４进５
13. 车八进六
 炮８平６
15. 车八平七
 象３进５
17. 兵七进一
 车４进１
19. 炮五平四
 车４平３
21. 相三进五
 车１平４
23. 车二进四
 炮２退１
25. 仕四进五
 炮２平３
27. 车七平八
 车４进４
29. 炮九进四
 马３进１
31. 车八平九
 车４平６
33. 炮四进五
 士５进６
35. 马七退八
 车３进３
37. 车九进三
 将５进１
39. 车九平八
 车３平２
41. 车八退九
 将５退１
43. 车二平六
 前士退５
45. 兵三进一
 炮３退１
47. 车八进九
 卒９进１
49. 马三进四
 马９进８
51. 车六进四
 炮３平４
53. 马四进六"
